date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-02,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-03,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-04,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-05,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-06,KEALY,diesel,92.9,92.9,92.9,92.9,1
2004-01-07,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-08,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-09,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-10,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-11,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-12,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-13,KEALY,diesel,94.9,94.9,94.9,94.9,1
2004-01-14,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-15,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-16,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-17,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-18,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-19,KEALY,diesel,95.9,95.9,95.9,95.9,1
2004-01-20,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-21,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-22,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-23,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-24,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-25,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-26,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-27,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-28,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-29,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-30,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-01-31,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-02-01,KEALY,diesel,96.9,96.9,96.9,96.9,1
2004-02-02,KEALY,diesel,96.9,96.9,96.9,96.9,1
