date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-02,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-03,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-04,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-05,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-06,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-07,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-08,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-09,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-10,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-11,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-12,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-13,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-14,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-15,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-16,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-17,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-18,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-19,KEALY,premium_98,142.9,142.9,142.9,142.9,1
2016-01-20,KEALY,premium_98,141.9,141.9,141.9,141.9,1
2016-01-21,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-22,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-23,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-24,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-25,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-26,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-27,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-28,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-29,KEALY,premium_98,140.9,140.9,140.9,140.9,1
2016-01-30,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-01-31,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-01,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-02,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-03,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-04,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-05,KEALY,premium_98,139.9,139.9,139.9,139.9,1
2016-02-06,KEALY,premium_98,138.9,138.9,138.9,138.9,1
2016-02-07,KEALY,premium_98,138.9,138.9,138.9,138.9,1
2016-02-08,KEALY,premium_98,138.9,138.9,138.9,138.9,1
2016-02-09,KEALY,premium_98,138.9,138.9,138.9,138.9,1
2016-02-10,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-11,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-12,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-13,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-14,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-15,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-16,KEALY,premium_98,136.9,136.9,136.9,136.9,1
2016-02-17,KEALY,premium_98,134.9,134.9,134.9,134.9,1
