date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2018-01-01,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-02,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-03,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-04,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-05,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-06,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-07,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-08,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-09,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-10,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-11,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-12,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-13,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-14,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-15,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-16,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-17,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-18,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-19,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-20,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-21,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-22,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-23,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-24,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-25,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-26,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-27,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-28,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-29,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-30,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-01-31,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-01,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-02,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-03,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-04,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-05,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-06,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-07,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
2018-02-08,KELLERBERRIN,premium_98,144.7,144.7,144.7,144.7,1
