date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-02,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-03,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-04,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-05,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-06,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-07,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-08,KEWDALE,diesel,85.4,86.0,87.9,85.4,4
2002-01-09,KEWDALE,diesel,85.4,85.5,85.9,85.4,4
2002-01-10,KEWDALE,diesel,85.4,85.5,85.9,85.4,4
2002-01-11,KEWDALE,diesel,84.4,85.3,85.9,84.4,4
2002-01-12,KEWDALE,diesel,84.4,85.0,85.9,84.4,4
2002-01-13,KEWDALE,diesel,84.4,85.0,85.9,84.4,4
2002-01-14,KEWDALE,diesel,84.4,85.0,85.9,84.4,4
2002-01-15,KEWDALE,diesel,84.4,85.0,85.9,84.4,4
2002-01-16,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-17,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-18,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-19,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-20,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-21,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-22,KEWDALE,diesel,84.4,84.8,85.9,84.4,4
2002-01-23,KEWDALE,diesel,83.9,84.7,85.9,83.9,4
2002-01-24,KEWDALE,diesel,83.5,84.4,85.9,83.5,4
2002-01-25,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-26,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-27,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-28,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-29,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-30,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-01-31,KEWDALE,diesel,83.5,84.1,85.9,83.5,4
2002-02-01,KEWDALE,diesel,83.5,84.3,85.9,83.5,4
2002-02-02,KEWDALE,diesel,83.4,84.3,85.9,83.4,4
2002-02-03,KEWDALE,diesel,83.4,84.3,85.9,83.4,4
2002-02-04,KEWDALE,diesel,82.9,83.9,85.9,82.9,4
2002-02-05,KEWDALE,diesel,82.9,83.0,83.4,82.9,4
2002-02-06,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-07,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-08,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-09,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-10,KEWDALE,diesel,82.9,83.2,83.9,82.9,4
2002-02-11,KEWDALE,diesel,82.9,83.2,83.9,82.9,4
2002-02-12,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-13,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-14,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-15,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-16,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-17,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-18,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
2002-02-19,KEWDALE,diesel,82.9,82.9,82.9,82.9,4
