date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KEWDALE,premium_95,85.9,87.5,88.8,85.9,3
2002-01-02,KEWDALE,premium_95,85.5,86.7,87.8,85.5,3
2002-01-03,KEWDALE,premium_95,83.9,88.0,94.3,83.9,3
2002-01-04,KEWDALE,premium_95,82.9,84.5,85.8,82.9,3
2002-01-05,KEWDALE,premium_95,81.5,82.3,82.9,81.5,3
2002-01-06,KEWDALE,premium_95,80.5,81.8,82.5,80.5,3
2002-01-07,KEWDALE,premium_95,80.5,82.0,83.9,80.5,3
2002-01-08,KEWDALE,premium_95,79.3,84.6,92.9,79.3,3
2002-01-09,KEWDALE,premium_95,89.9,91.7,93.4,89.9,3
2002-01-10,KEWDALE,premium_95,89.5,90.8,91.9,89.5,3
2002-01-11,KEWDALE,premium_95,88.3,89.7,90.9,88.3,3
2002-01-12,KEWDALE,premium_95,86.3,88.1,89.7,86.3,3
2002-01-13,KEWDALE,premium_95,85.6,87.2,88.9,85.6,3
2002-01-14,KEWDALE,premium_95,84.7,86.5,88.9,84.7,3
2002-01-15,KEWDALE,premium_95,83.3,84.8,85.7,83.3,3
2002-01-16,KEWDALE,premium_95,82.3,83.8,85.3,82.3,3
2002-01-17,KEWDALE,premium_95,86.5,89.3,91.5,86.5,3
2002-01-18,KEWDALE,premium_95,85.9,87.9,89.9,85.9,3
2002-01-19,KEWDALE,premium_95,85.3,86.8,88.2,85.3,3
2002-01-20,KEWDALE,premium_95,84.5,86.2,88.2,84.5,3
2002-01-21,KEWDALE,premium_95,83.9,84.8,85.9,83.9,3
2002-01-22,KEWDALE,premium_95,81.9,83.9,85.9,81.9,3
2002-01-23,KEWDALE,premium_95,81.3,82.6,83.5,81.3,3
2002-01-24,KEWDALE,premium_95,79.5,84.4,91.9,79.5,3
2002-01-25,KEWDALE,premium_95,86.9,89.1,90.9,86.9,3
2002-01-26,KEWDALE,premium_95,86.3,88.3,90.9,86.3,3
2002-01-27,KEWDALE,premium_95,84.9,86.3,87.3,84.9,3
2002-01-28,KEWDALE,premium_95,83.5,85.4,87.3,83.5,3
2002-01-29,KEWDALE,premium_95,82.7,84.2,84.9,82.7,3
2002-01-30,KEWDALE,premium_95,80.9,82.6,83.9,80.9,3
2002-01-31,KEWDALE,premium_95,82.2,83.5,85.5,82.2,3
2002-02-01,KEWDALE,premium_95,84.5,88.0,92.9,84.5,3
2002-02-02,KEWDALE,premium_95,83.9,87.6,92.9,83.9,3
2002-02-03,KEWDALE,premium_95,83.5,86.2,90.5,83.5,3
2002-02-04,KEWDALE,premium_95,81.9,84.9,89.3,81.9,3
2002-02-05,KEWDALE,premium_95,80.9,82.4,83.5,80.9,3
2002-02-06,KEWDALE,premium_95,80.7,82.0,82.9,80.7,3
2002-02-07,KEWDALE,premium_95,80.7,81.7,82.5,80.7,3
2002-02-08,KEWDALE,premium_95,81.5,81.9,82.3,81.5,3
2002-02-09,KEWDALE,premium_95,81.5,81.9,82.3,81.5,3
2002-02-10,KEWDALE,premium_95,81.5,81.9,82.3,81.5,3
2002-02-11,KEWDALE,premium_95,81.5,89.6,95.9,81.5,3
