date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KIARA,ulp_91,83.5,85.2,87.0,83.5,2
2002-01-02,KIARA,ulp_91,81.8,83.5,85.3,81.8,2
2002-01-03,KIARA,ulp_91,80.9,82.7,84.4,80.9,2
2002-01-04,KIARA,ulp_91,79.9,81.7,83.4,79.9,2
2002-01-05,KIARA,ulp_91,78.9,80.7,82.4,78.9,2
2002-01-06,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-01-07,KIARA,ulp_91,77.5,79.2,81.0,77.5,2
2002-01-08,KIARA,ulp_91,77.5,79.2,81.0,77.5,2
2002-01-09,KIARA,ulp_91,79.9,81.7,83.4,79.9,2
2002-01-10,KIARA,ulp_91,85.3,87.0,88.8,85.3,2
2002-01-11,KIARA,ulp_91,85.2,87.0,88.7,85.2,2
2002-01-12,KIARA,ulp_91,83.5,85.2,87.0,83.5,2
2002-01-13,KIARA,ulp_91,82.4,84.2,85.9,82.4,2
2002-01-14,KIARA,ulp_91,80.4,82.2,83.9,80.4,2
2002-01-15,KIARA,ulp_91,79.7,81.5,83.2,79.7,2
2002-01-16,KIARA,ulp_91,78.5,80.2,82.0,78.5,2
2002-01-17,KIARA,ulp_91,78.5,80.2,82.0,78.5,2
2002-01-18,KIARA,ulp_91,84.5,86.2,88.0,84.5,2
2002-01-19,KIARA,ulp_91,81.9,83.7,85.4,81.9,2
2002-01-20,KIARA,ulp_91,81.3,83.0,84.8,81.3,2
2002-01-21,KIARA,ulp_91,80.5,82.2,84.0,80.5,2
2002-01-22,KIARA,ulp_91,79.5,81.2,83.0,79.5,2
2002-01-23,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-01-24,KIARA,ulp_91,77.5,79.2,81.0,77.5,2
2002-01-25,KIARA,ulp_91,84.9,86.7,88.4,84.9,2
2002-01-26,KIARA,ulp_91,83.7,85.5,87.2,83.7,2
2002-01-27,KIARA,ulp_91,81.8,83.5,85.3,81.8,2
2002-01-28,KIARA,ulp_91,80.6,82.3,84.1,80.6,2
2002-01-29,KIARA,ulp_91,78.4,80.2,81.9,78.4,2
2002-01-30,KIARA,ulp_91,77.8,79.5,81.3,77.8,2
2002-01-31,KIARA,ulp_91,77.5,79.2,81.0,77.5,2
2002-02-01,KIARA,ulp_91,81.8,83.5,85.3,81.8,2
2002-02-02,KIARA,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-03,KIARA,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-04,KIARA,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-05,KIARA,ulp_91,78.5,80.2,82.0,78.5,2
2002-02-06,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-07,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-08,KIARA,ulp_91,76.5,78.2,80.0,76.5,2
2002-02-09,KIARA,ulp_91,76.5,78.2,80.0,76.5,2
2002-02-10,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-11,KIARA,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-12,KIARA,ulp_91,87.9,89.7,91.4,87.9,2
2002-02-13,KIARA,ulp_91,86.5,88.2,90.0,86.5,2
2002-02-14,KIARA,ulp_91,84.9,86.7,88.4,84.9,2
2002-02-15,KIARA,ulp_91,82.5,84.2,86.0,82.5,2
2002-02-16,KIARA,ulp_91,81.7,83.5,85.2,81.7,2
2002-02-17,KIARA,ulp_91,81.3,83.0,84.8,81.3,2
2002-02-18,KIARA,ulp_91,80.9,82.7,84.4,80.9,2
2002-02-19,KIARA,ulp_91,80.5,82.2,84.0,80.5,2
2002-02-20,KIARA,ulp_91,81.9,83.7,85.4,81.9,2
2002-02-21,KIARA,ulp_91,87.5,89.2,91.0,87.5,2
2002-02-22,KIARA,ulp_91,86.7,88.5,90.2,86.7,2
2002-02-23,KIARA,ulp_91,84.9,86.7,88.4,84.9,2
2002-02-24,KIARA,ulp_91,84.3,86.0,87.8,84.3,2
2002-02-25,KIARA,ulp_91,82.5,84.2,86.0,82.5,2
2002-02-26,KIARA,ulp_91,81.5,83.2,85.0,81.5,2
2002-02-27,KIARA,ulp_91,80.5,82.2,84.0,80.5,2
2002-02-28,KIARA,ulp_91,80.5,82.2,84.0,80.5,2
2003-01-01,KIARA,ulp_91,95.9,97.7,99.4,95.9,2
2003-01-02,KIARA,ulp_91,93.9,95.7,97.4,93.9,2
2003-01-03,KIARA,ulp_91,91.9,93.7,95.4,91.9,2
2003-01-04,KIARA,ulp_91,90.7,92.5,94.2,90.7,2
2003-01-05,KIARA,ulp_91,89.9,91.7,93.4,89.9,2
2003-01-06,KIARA,ulp_91,88.9,90.7,92.4,88.9,2
2003-01-07,KIARA,ulp_91,89.9,91.7,93.4,89.9,2
2003-01-08,KIARA,ulp_91,89.9,91.7,93.4,89.9,2
2003-01-09,KIARA,ulp_91,94.5,96.2,98.0,94.5,2
2003-01-10,KIARA,ulp_91,97.5,99.2,101.0,97.5,2
2003-01-11,KIARA,ulp_91,96.9,98.7,100.4,96.9,2
2003-01-12,KIARA,ulp_91,95.9,97.7,99.4,95.9,2
2003-01-13,KIARA,ulp_91,93.5,95.2,97.0,93.5,2
2003-01-14,KIARA,ulp_91,92.7,94.5,96.2,92.7,2
2003-01-15,KIARA,ulp_91,91.7,93.5,95.2,91.7,2
2003-01-16,KIARA,ulp_91,90.5,92.2,94.0,90.5,2
2003-01-17,KIARA,ulp_91,90.5,92.2,94.0,90.5,2
2003-01-18,KIARA,ulp_91,90.5,92.2,94.0,90.5,2
2003-01-19,KIARA,ulp_91,97.9,99.7,101.4,97.9,2
2003-01-20,KIARA,ulp_91,97.9,99.7,101.4,97.9,2
2003-01-21,KIARA,ulp_91,96.5,98.2,100.0,96.5,2
2003-01-22,KIARA,ulp_91,95.9,97.7,99.4,95.9,2
2003-01-23,KIARA,ulp_91,94.9,96.7,98.4,94.9,2
2003-01-24,KIARA,ulp_91,93.9,95.7,97.4,93.9,2
2003-01-25,KIARA,ulp_91,92.5,94.2,96.0,92.5,2
2003-01-26,KIARA,ulp_91,92.5,94.2,96.0,92.5,2
2003-01-27,KIARA,ulp_91,92.5,94.2,96.0,92.5,2
2003-01-28,KIARA,ulp_91,91.7,93.5,95.2,91.7,2
2003-01-29,KIARA,ulp_91,91.7,93.5,95.2,91.7,2
2003-01-30,KIARA,ulp_91,98.9,100.7,102.4,98.9,2
2003-01-31,KIARA,ulp_91,97.9,99.7,101.4,97.9,2
2003-02-01,KIARA,ulp_91,96.9,98.7,100.4,96.9,2
2003-02-02,KIARA,ulp_91,95.5,97.2,99.0,95.5,2
2003-02-03,KIARA,ulp_91,94.3,96.0,97.8,94.3,2
2003-02-04,KIARA,ulp_91,92.9,94.7,96.4,92.9,2
2003-02-05,KIARA,ulp_91,92.9,94.7,96.4,92.9,2
2003-02-06,KIARA,ulp_91,92.9,94.7,96.4,92.9,2
2003-02-07,KIARA,ulp_91,98.5,100.2,102.0,98.5,2
2003-02-08,KIARA,ulp_91,97.9,99.7,101.4,97.9,2
2003-02-09,KIARA,ulp_91,97.3,99.0,100.8,97.3,2
2003-02-10,KIARA,ulp_91,96.3,98.0,99.8,96.3,2
2003-02-11,KIARA,ulp_91,95.3,97.0,98.8,95.3,2
2003-02-12,KIARA,ulp_91,94.9,96.7,98.4,94.9,2
2003-02-13,KIARA,ulp_91,94.9,96.7,98.4,94.9,2
