date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2017-01-01,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-02,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-03,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-04,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-05,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-06,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-07,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-08,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-09,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-10,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-11,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-12,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-13,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-14,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-15,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-16,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-17,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-18,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-19,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-20,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-21,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-22,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-23,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-24,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-25,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-26,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-27,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-28,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-29,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-30,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-01-31,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-01,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-02,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-03,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-04,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-05,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-06,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-07,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-08,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-09,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-10,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-11,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-12,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-13,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-14,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-15,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-16,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-17,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-18,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-19,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-20,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-21,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-22,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-23,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-24,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-25,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-26,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-27,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2017-02-28,KING RIVER,premium_98,150.0,150.0,150.0,150.0,1
2018-01-01,KING RIVER,premium_98,156.0,156.0,156.0,156.0,1
2018-01-02,KING RIVER,premium_98,156.0,156.0,156.0,156.0,1
2018-01-03,KING RIVER,premium_98,156.0,156.0,156.0,156.0,1
