date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KINGSLEY,premium_95,87.5,87.6,87.7,87.5,2
2002-01-02,KINGSLEY,premium_95,84.7,85.7,86.7,84.7,2
2002-01-03,KINGSLEY,premium_95,82.5,83.5,84.5,82.5,2
2002-01-04,KINGSLEY,premium_95,81.7,82.1,82.5,81.7,2
2002-01-05,KINGSLEY,premium_95,81.5,81.5,81.5,81.5,2
2002-01-06,KINGSLEY,premium_95,81.3,81.4,81.5,81.3,2
2002-01-07,KINGSLEY,premium_95,79.7,81.3,82.9,79.7,2
2002-01-08,KINGSLEY,premium_95,80.5,86.7,92.9,80.5,2
2002-01-09,KINGSLEY,premium_95,91.5,92.0,92.4,91.5,2
2002-01-10,KINGSLEY,premium_95,89.7,90.3,90.9,89.7,2
2002-01-11,KINGSLEY,premium_95,88.7,89.3,89.9,88.7,2
2002-01-12,KINGSLEY,premium_95,87.5,88.1,88.7,87.5,2
2002-01-13,KINGSLEY,premium_95,85.5,85.9,86.3,85.5,2
2002-01-14,KINGSLEY,premium_95,84.3,84.8,85.3,84.3,2
2002-01-15,KINGSLEY,premium_95,83.3,83.8,84.3,83.3,2
2002-01-16,KINGSLEY,premium_95,83.2,86.6,89.9,83.2,2
2002-01-17,KINGSLEY,premium_95,88.5,89.5,90.5,88.5,2
2002-01-18,KINGSLEY,premium_95,87.7,88.1,88.5,87.7,2
2002-01-19,KINGSLEY,premium_95,85.3,86.2,87.2,85.3,2
2002-01-20,KINGSLEY,premium_95,84.7,86.0,87.2,84.7,2
2002-01-21,KINGSLEY,premium_95,83.5,84.7,85.9,83.5,2
2002-01-22,KINGSLEY,premium_95,83.3,83.4,83.5,83.3,2
2002-01-23,KINGSLEY,premium_95,82.3,82.4,82.5,82.3,2
2002-01-24,KINGSLEY,premium_95,80.7,85.8,90.9,80.7,2
2002-01-25,KINGSLEY,premium_95,89.5,89.7,89.9,89.5,2
2002-01-26,KINGSLEY,premium_95,86.7,87.3,87.9,86.7,2
2002-01-27,KINGSLEY,premium_95,85.3,85.8,86.3,85.3,2
2002-01-28,KINGSLEY,premium_95,84.3,84.6,84.9,84.3,2
2002-01-29,KINGSLEY,premium_95,83.9,84.2,84.5,83.9,2
2002-01-30,KINGSLEY,premium_95,82.5,82.8,83.2,82.5,2
2002-01-31,KINGSLEY,premium_95,81.7,82.0,82.3,81.7,2
2002-02-01,KINGSLEY,premium_95,87.5,89.7,91.9,87.5,2
2002-02-02,KINGSLEY,premium_95,86.5,89.2,91.9,86.5,2
2002-02-03,KINGSLEY,premium_95,85.9,86.7,87.5,85.9,2
2002-02-04,KINGSLEY,premium_95,84.5,84.6,84.7,84.5,2
2002-02-05,KINGSLEY,premium_95,82.9,83.6,84.3,82.9,2
2002-02-06,KINGSLEY,premium_95,82.5,82.5,82.5,82.5,2
2002-02-07,KINGSLEY,premium_95,81.5,81.6,81.7,81.5,2
2002-02-08,KINGSLEY,premium_95,81.5,81.5,81.5,81.5,2
2002-02-09,KINGSLEY,premium_95,80.9,81.2,81.5,80.9,2
2002-02-10,KINGSLEY,premium_95,81.5,87.7,93.9,81.5,2
2002-02-11,KINGSLEY,premium_95,93.5,93.7,93.9,93.5,2
2002-02-12,KINGSLEY,premium_95,92.5,92.6,92.7,92.5,2
2002-02-13,KINGSLEY,premium_95,90.5,91.0,91.5,90.5,2
2002-02-14,KINGSLEY,premium_95,89.3,89.3,89.3,89.3,2
2002-02-15,KINGSLEY,premium_95,87.5,87.7,87.9,87.5,2
2002-02-16,KINGSLEY,premium_95,85.5,86.0,86.5,85.5,2
2002-02-17,KINGSLEY,premium_95,84.9,84.9,84.9,84.9,2
2002-02-18,KINGSLEY,premium_95,83.7,84.3,84.9,83.7,2
2002-02-19,KINGSLEY,premium_95,83.5,90.2,96.9,83.5,2
2002-02-20,KINGSLEY,premium_95,85.5,90.7,95.9,85.5,2
2002-02-21,KINGSLEY,premium_95,92.7,93.3,93.9,92.7,2
2002-02-22,KINGSLEY,premium_95,90.7,90.8,90.9,90.7,2
2002-02-23,KINGSLEY,premium_95,89.3,89.5,89.7,89.3,2
2002-02-24,KINGSLEY,premium_95,87.9,88.3,88.7,87.9,2
2002-02-25,KINGSLEY,premium_95,86.5,87.2,87.9,86.5,2
2002-02-26,KINGSLEY,premium_95,84.9,85.7,86.5,84.9,2
2002-02-27,KINGSLEY,premium_95,83.7,84.3,84.9,83.7,2
2002-02-28,KINGSLEY,premium_95,83.5,83.7,83.9,83.5,2
2003-01-01,KINGSLEY,premium_95,99.3,100.4,101.5,99.3,2
2003-01-02,KINGSLEY,premium_95,98.1,99.8,101.5,98.1,2
2003-01-03,KINGSLEY,premium_95,94.9,95.9,96.9,94.9,2
2003-01-04,KINGSLEY,premium_95,94.9,95.4,95.9,94.9,2
2003-01-05,KINGSLEY,premium_95,94.9,94.9,94.9,94.9,2
2003-01-06,KINGSLEY,premium_95,92.5,93.7,94.9,92.5,2
2003-01-07,KINGSLEY,premium_95,92.5,93.7,94.9,92.5,2
2003-01-08,KINGSLEY,premium_95,94.5,95.2,95.9,94.5,2
2003-01-09,KINGSLEY,premium_95,104.9,104.9,104.9,104.9,2
2003-01-10,KINGSLEY,premium_95,102.9,103.4,103.9,102.9,2
2003-01-11,KINGSLEY,premium_95,101.9,102.2,102.5,101.9,2
2003-01-12,KINGSLEY,premium_95,99.5,101.0,102.5,99.5,2
2003-01-13,KINGSLEY,premium_95,97.5,98.2,98.9,97.5,2
2003-01-14,KINGSLEY,premium_95,97.5,97.7,97.9,97.5,2
