date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-02,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-03,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-04,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-05,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-06,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-07,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-08,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-09,KIRUP,ulp_91,99.5,99.5,99.5,99.5,1
2004-01-10,KIRUP,ulp_91,100.5,100.5,100.5,100.5,1
2004-01-11,KIRUP,ulp_91,100.5,100.5,100.5,100.5,1
2004-01-12,KIRUP,ulp_91,100.5,100.5,100.5,100.5,1
2004-01-13,KIRUP,ulp_91,101.5,101.5,101.5,101.5,1
2004-01-14,KIRUP,ulp_91,101.5,101.5,101.5,101.5,1
2004-01-15,KIRUP,ulp_91,101.5,101.5,101.5,101.5,1
2004-01-16,KIRUP,ulp_91,102.5,102.5,102.5,102.5,1
2004-01-17,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-18,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-19,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-20,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-21,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-22,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-23,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-24,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-25,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-26,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-27,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-28,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-29,KIRUP,ulp_91,103.5,103.5,103.5,103.5,1
2004-01-30,KIRUP,ulp_91,102.9,102.9,102.9,102.9,1
2004-01-31,KIRUP,ulp_91,102.9,102.9,102.9,102.9,1
2004-02-01,KIRUP,ulp_91,102.9,102.9,102.9,102.9,1
2004-02-02,KIRUP,ulp_91,101.9,101.9,101.9,101.9,1
2004-02-03,KIRUP,ulp_91,101.9,101.9,101.9,101.9,1
2004-02-04,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-05,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-06,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-07,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-08,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-09,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-10,KIRUP,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-11,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-12,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-13,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-14,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-15,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-16,KIRUP,ulp_91,98.9,98.9,98.9,98.9,1
2004-02-17,KIRUP,ulp_91,97.5,97.5,97.5,97.5,1
2004-02-18,KIRUP,ulp_91,97.5,97.5,97.5,97.5,1
2004-02-19,KIRUP,ulp_91,97.5,97.5,97.5,97.5,1
2004-02-20,KIRUP,ulp_91,97.5,97.5,97.5,97.5,1
2004-02-21,KIRUP,ulp_91,97.5,97.5,97.5,97.5,1
