date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-02,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-03,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-04,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-05,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-06,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-07,KOJONUP,premium_95,104.9,104.9,105.0,104.9,3
2004-01-08,KOJONUP,premium_95,104.9,105.3,105.9,104.9,3
2004-01-09,KOJONUP,premium_95,105.0,105.7,106.1,105.0,3
2004-01-10,KOJONUP,premium_95,105.9,106.8,108.5,105.9,3
2004-01-11,KOJONUP,premium_95,105.9,106.8,108.5,105.9,3
2004-01-12,KOJONUP,premium_95,105.9,106.8,108.5,105.9,3
2004-01-13,KOJONUP,premium_95,105.9,106.8,108.5,105.9,3
2004-01-14,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-15,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-16,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-17,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-18,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-19,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-20,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-21,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-22,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-23,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-24,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-25,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-26,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-27,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-28,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-29,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-30,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-01-31,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-01,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-02,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-03,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-04,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-05,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-06,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-07,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-08,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-09,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-10,KOJONUP,premium_95,107.7,108.0,108.5,107.7,3
2004-02-11,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-12,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-13,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-14,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-15,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-16,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-17,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-18,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-19,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-20,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-21,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-22,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-23,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-24,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-25,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-26,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-27,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-28,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2004-02-29,KOJONUP,premium_95,105.9,107.4,108.5,105.9,3
2005-01-01,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-02,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-03,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-04,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-05,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-06,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-07,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-08,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-09,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-10,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-11,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-12,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-13,KOJONUP,premium_95,111.5,113.2,114.9,111.5,2
2005-01-14,KOJONUP,premium_95,110.9,111.5,112.0,110.9,2
2005-01-15,KOJONUP,premium_95,110.9,111.5,112.0,110.9,2
2005-01-16,KOJONUP,premium_95,110.9,111.5,112.0,110.9,2
2005-01-17,KOJONUP,premium_95,110.9,111.5,112.0,110.9,2
