date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KWINANA BEACH,premium_95,87.8,87.8,87.8,87.8,1
2002-01-02,KWINANA BEACH,premium_95,85.5,85.5,85.5,85.5,1
2002-01-03,KWINANA BEACH,premium_95,84.4,84.4,84.4,84.4,1
2002-01-04,KWINANA BEACH,premium_95,83.2,83.2,83.2,83.2,1
2002-01-05,KWINANA BEACH,premium_95,82.9,82.9,82.9,82.9,1
2002-01-06,KWINANA BEACH,premium_95,82.3,82.3,82.3,82.3,1
2002-01-07,KWINANA BEACH,premium_95,81.9,81.9,81.9,81.9,1
2002-01-08,KWINANA BEACH,premium_95,81.6,81.6,81.6,81.6,1
2002-01-09,KWINANA BEACH,premium_95,90.9,90.9,90.9,90.9,1
2002-01-10,KWINANA BEACH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-11,KWINANA BEACH,premium_95,87.4,87.4,87.4,87.4,1
2002-01-12,KWINANA BEACH,premium_95,84.5,84.5,84.5,84.5,1
2002-01-13,KWINANA BEACH,premium_95,83.9,83.9,83.9,83.9,1
2002-01-14,KWINANA BEACH,premium_95,82.9,82.9,82.9,82.9,1
2002-01-15,KWINANA BEACH,premium_95,82.5,82.5,82.5,82.5,1
2002-01-16,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-01-17,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-01-18,KWINANA BEACH,premium_95,88.5,88.5,88.5,88.5,1
2002-01-19,KWINANA BEACH,premium_95,85.9,85.9,85.9,85.9,1
2002-01-20,KWINANA BEACH,premium_95,84.7,84.7,84.7,84.7,1
2002-01-21,KWINANA BEACH,premium_95,83.8,83.8,83.8,83.8,1
2002-01-22,KWINANA BEACH,premium_95,83.5,83.5,83.5,83.5,1
2002-01-23,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-01-24,KWINANA BEACH,premium_95,81.2,81.2,81.2,81.2,1
2002-01-25,KWINANA BEACH,premium_95,81.2,81.2,81.2,81.2,1
2002-01-26,KWINANA BEACH,premium_95,87.5,87.5,87.5,87.5,1
2002-01-27,KWINANA BEACH,premium_95,84.8,84.8,84.8,84.8,1
2002-01-28,KWINANA BEACH,premium_95,83.9,83.9,83.9,83.9,1
2002-01-29,KWINANA BEACH,premium_95,83.3,83.3,83.3,83.3,1
2002-01-30,KWINANA BEACH,premium_95,81.8,81.8,81.8,81.8,1
2002-01-31,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-01,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-02,KWINANA BEACH,premium_95,85.5,85.5,85.5,85.5,1
2002-02-03,KWINANA BEACH,premium_95,84.5,84.5,84.5,84.5,1
2002-02-04,KWINANA BEACH,premium_95,83.5,83.5,83.5,83.5,1
2002-02-05,KWINANA BEACH,premium_95,83.2,83.2,83.2,83.2,1
2002-02-06,KWINANA BEACH,premium_95,82.5,82.5,82.5,82.5,1
2002-02-07,KWINANA BEACH,premium_95,81.9,81.9,81.9,81.9,1
2002-02-08,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-09,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-10,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-11,KWINANA BEACH,premium_95,81.5,81.5,81.5,81.5,1
2002-02-12,KWINANA BEACH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-13,KWINANA BEACH,premium_95,90.9,90.9,90.9,90.9,1
2002-02-14,KWINANA BEACH,premium_95,89.5,89.5,89.5,89.5,1
2002-02-15,KWINANA BEACH,premium_95,87.9,87.9,87.9,87.9,1
2002-02-16,KWINANA BEACH,premium_95,86.7,86.7,86.7,86.7,1
2002-02-17,KWINANA BEACH,premium_95,85.9,85.9,85.9,85.9,1
2002-02-18,KWINANA BEACH,premium_95,85.9,85.9,85.9,85.9,1
2002-02-19,KWINANA BEACH,premium_95,85.9,85.9,85.9,85.9,1
2002-02-20,KWINANA BEACH,premium_95,95.5,95.5,95.5,95.5,1
2002-02-21,KWINANA BEACH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-22,KWINANA BEACH,premium_95,91.7,91.7,91.7,91.7,1
2002-02-23,KWINANA BEACH,premium_95,87.9,87.9,87.9,87.9,1
2002-02-24,KWINANA BEACH,premium_95,87.5,87.5,87.5,87.5,1
2002-02-25,KWINANA BEACH,premium_95,84.8,84.8,84.8,84.8,1
2002-02-26,KWINANA BEACH,premium_95,84.5,84.5,84.5,84.5,1
2002-02-27,KWINANA BEACH,premium_95,83.9,83.9,83.9,83.9,1
2002-02-28,KWINANA BEACH,premium_95,83.9,83.9,83.9,83.9,1
