date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-02,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-03,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-04,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-05,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-06,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-07,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-08,KWINANA TOWN CENTRE,diesel,85.9,86.9,87.9,85.9,3
2002-01-09,KWINANA TOWN CENTRE,diesel,85.9,86.2,86.9,85.9,3
2002-01-10,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-11,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-12,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-13,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-14,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-15,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-16,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-17,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-18,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-19,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-20,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-21,KWINANA TOWN CENTRE,diesel,85.5,85.8,85.9,85.5,3
2002-01-22,KWINANA TOWN CENTRE,diesel,84.4,85.4,85.9,84.4,3
2002-01-23,KWINANA TOWN CENTRE,diesel,84.4,85.4,85.9,84.4,3
2002-01-24,KWINANA TOWN CENTRE,diesel,84.4,85.4,85.9,84.4,3
2002-01-25,KWINANA TOWN CENTRE,diesel,84.4,85.4,85.9,84.4,3
