date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-02,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-03,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-04,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-05,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-06,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-07,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-08,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-09,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-10,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-11,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-12,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-13,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-14,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-15,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-16,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-17,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-18,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-19,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-20,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-21,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-22,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-23,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-24,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-25,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-26,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-27,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-28,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-29,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-30,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-01-31,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-02-01,LATHLAIN,diesel,87.9,87.9,87.9,87.9,1
2002-02-02,LATHLAIN,diesel,86.9,86.9,86.9,86.9,1
2002-02-03,LATHLAIN,diesel,86.9,86.9,86.9,86.9,1
2002-02-04,LATHLAIN,diesel,86.9,86.9,86.9,86.9,1
2002-02-05,LATHLAIN,diesel,86.9,86.9,86.9,86.9,1
2002-02-06,LATHLAIN,diesel,86.9,86.9,86.9,86.9,1
2002-02-07,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-08,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-09,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-10,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-11,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-12,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-13,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-14,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-15,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-16,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-17,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-18,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-19,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-20,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-21,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-22,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-23,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-24,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-25,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-26,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-27,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2002-02-28,LATHLAIN,diesel,85.9,85.9,85.9,85.9,1
2003-01-01,LATHLAIN,diesel,98.9,98.9,98.9,98.9,1
2003-01-02,LATHLAIN,diesel,98.9,98.9,98.9,98.9,1
2003-01-03,LATHLAIN,diesel,98.9,98.9,98.9,98.9,1
2003-01-04,LATHLAIN,diesel,98.9,98.9,98.9,98.9,1
