date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LATHLAIN,premium_95,88.7,88.7,88.7,88.7,1
2002-01-02,LATHLAIN,premium_95,86.9,86.9,86.9,86.9,1
2002-01-03,LATHLAIN,premium_95,84.5,84.5,84.5,84.5,1
2002-01-04,LATHLAIN,premium_95,83.9,83.9,83.9,83.9,1
2002-01-05,LATHLAIN,premium_95,82.5,82.5,82.5,82.5,1
2002-01-06,LATHLAIN,premium_95,82.5,82.5,82.5,82.5,1
2002-01-07,LATHLAIN,premium_95,81.9,81.9,81.9,81.9,1
2002-01-08,LATHLAIN,premium_95,81.9,81.9,81.9,81.9,1
2002-01-09,LATHLAIN,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,LATHLAIN,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,LATHLAIN,premium_95,89.9,89.9,89.9,89.9,1
2002-01-12,LATHLAIN,premium_95,88.7,88.7,88.7,88.7,1
2002-01-13,LATHLAIN,premium_95,87.5,87.5,87.5,87.5,1
2002-01-14,LATHLAIN,premium_95,85.9,85.9,85.9,85.9,1
2002-01-15,LATHLAIN,premium_95,84.9,84.9,84.9,84.9,1
2002-01-16,LATHLAIN,premium_95,82.5,82.5,82.5,82.5,1
2002-01-17,LATHLAIN,premium_95,90.5,90.5,90.5,90.5,1
2002-01-18,LATHLAIN,premium_95,87.9,87.9,87.9,87.9,1
2002-01-19,LATHLAIN,premium_95,87.2,87.2,87.2,87.2,1
2002-01-20,LATHLAIN,premium_95,87.2,87.2,87.2,87.2,1
2002-01-21,LATHLAIN,premium_95,85.9,85.9,85.9,85.9,1
2002-01-22,LATHLAIN,premium_95,84.7,84.7,84.7,84.7,1
2002-01-23,LATHLAIN,premium_95,82.9,82.9,82.9,82.9,1
2002-01-24,LATHLAIN,premium_95,90.9,90.9,90.9,90.9,1
2002-01-25,LATHLAIN,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,LATHLAIN,premium_95,87.5,87.5,87.5,87.5,1
2002-01-27,LATHLAIN,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,LATHLAIN,premium_95,84.9,84.9,84.9,84.9,1
2002-01-29,LATHLAIN,premium_95,83.9,83.9,83.9,83.9,1
2002-01-30,LATHLAIN,premium_95,82.7,82.7,82.7,82.7,1
2002-01-31,LATHLAIN,premium_95,81.6,81.6,81.6,81.6,1
2002-02-01,LATHLAIN,premium_95,91.9,91.9,91.9,91.9,1
2002-02-02,LATHLAIN,premium_95,91.9,91.9,91.9,91.9,1
2002-02-03,LATHLAIN,premium_95,87.5,87.5,87.5,87.5,1
2002-02-04,LATHLAIN,premium_95,84.5,84.5,84.5,84.5,1
2002-02-05,LATHLAIN,premium_95,82.7,82.7,82.7,82.7,1
2002-02-06,LATHLAIN,premium_95,82.3,82.3,82.3,82.3,1
2002-02-07,LATHLAIN,premium_95,81.5,81.5,81.5,81.5,1
2002-02-08,LATHLAIN,premium_95,81.5,81.5,81.5,81.5,1
2002-02-09,LATHLAIN,premium_95,81.5,81.5,81.5,81.5,1
2002-02-10,LATHLAIN,premium_95,81.5,81.5,81.5,81.5,1
2002-02-11,LATHLAIN,premium_95,94.9,94.9,94.9,94.9,1
