date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LATHLAIN,ulp_91,83.7,85.3,87.0,83.7,2
2002-01-02,LATHLAIN,ulp_91,81.9,83.6,85.2,81.9,2
2002-01-03,LATHLAIN,ulp_91,79.5,81.2,82.8,79.5,2
2002-01-04,LATHLAIN,ulp_91,78.9,80.6,82.2,78.9,2
2002-01-05,LATHLAIN,ulp_91,77.5,79.2,80.8,77.5,2
2002-01-06,LATHLAIN,ulp_91,77.5,79.2,80.8,77.5,2
2002-01-07,LATHLAIN,ulp_91,76.9,78.6,80.2,76.9,2
2002-01-08,LATHLAIN,ulp_91,76.9,78.6,80.2,76.9,2
2002-01-09,LATHLAIN,ulp_91,87.4,89.1,90.7,87.4,2
2002-01-10,LATHLAIN,ulp_91,85.9,87.6,89.2,85.9,2
2002-01-11,LATHLAIN,ulp_91,84.9,86.6,88.2,84.9,2
2002-01-12,LATHLAIN,ulp_91,83.7,85.3,87.0,83.7,2
2002-01-13,LATHLAIN,ulp_91,82.5,84.2,85.8,82.5,2
2002-01-14,LATHLAIN,ulp_91,80.9,82.6,84.2,80.9,2
2002-01-15,LATHLAIN,ulp_91,79.9,81.6,83.2,79.9,2
2002-01-16,LATHLAIN,ulp_91,77.5,79.2,80.8,77.5,2
2002-01-17,LATHLAIN,ulp_91,85.5,87.2,88.8,85.5,2
2002-01-18,LATHLAIN,ulp_91,82.9,84.6,86.2,82.9,2
2002-01-19,LATHLAIN,ulp_91,82.2,83.8,85.5,82.2,2
2002-01-20,LATHLAIN,ulp_91,82.2,83.8,85.5,82.2,2
2002-01-21,LATHLAIN,ulp_91,80.9,82.6,84.2,80.9,2
2002-01-22,LATHLAIN,ulp_91,79.7,81.3,83.0,79.7,2
2002-01-23,LATHLAIN,ulp_91,77.9,79.6,81.2,77.9,2
2002-01-24,LATHLAIN,ulp_91,85.9,87.6,89.2,85.9,2
2002-01-25,LATHLAIN,ulp_91,84.9,86.6,88.2,84.9,2
2002-01-26,LATHLAIN,ulp_91,82.5,84.2,85.8,82.5,2
2002-01-27,LATHLAIN,ulp_91,81.3,82.9,84.6,81.3,2
2002-01-28,LATHLAIN,ulp_91,79.9,81.6,83.2,79.9,2
2002-01-29,LATHLAIN,ulp_91,78.9,80.6,82.2,78.9,2
2002-01-30,LATHLAIN,ulp_91,77.7,79.3,81.0,77.7,2
2002-01-31,LATHLAIN,ulp_91,76.6,78.2,79.9,76.6,2
2002-02-01,LATHLAIN,ulp_91,86.9,88.6,90.2,86.9,2
2002-02-02,LATHLAIN,ulp_91,86.9,88.6,90.2,86.9,2
2002-02-03,LATHLAIN,ulp_91,82.5,84.2,85.8,82.5,2
2002-02-04,LATHLAIN,ulp_91,79.5,81.2,82.8,79.5,2
2002-02-05,LATHLAIN,ulp_91,77.7,79.3,81.0,77.7,2
2002-02-06,LATHLAIN,ulp_91,77.3,78.9,80.6,77.3,2
2002-02-07,LATHLAIN,ulp_91,76.5,78.2,79.8,76.5,2
