date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-02,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-03,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-04,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-05,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-06,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-07,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-08,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-09,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-10,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-11,LEDA,diesel,86.9,86.9,86.9,86.9,1
2002-01-12,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-13,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-14,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-15,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-16,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-17,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-18,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-19,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-20,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-21,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-22,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-23,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-24,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-25,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-26,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-27,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-28,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-29,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-30,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-01-31,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-01,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-02,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-03,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-04,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-05,LEDA,diesel,85.9,85.9,85.9,85.9,1
2002-02-06,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,LEDA,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,LEDA,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-02,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-03,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-04,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-05,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-06,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-07,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-08,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-09,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-10,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-11,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-12,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-13,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-14,LEDA,diesel,97.9,97.9,97.9,97.9,1
2003-01-15,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-16,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-17,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-18,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-19,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-20,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-21,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-22,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-23,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-24,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-25,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-26,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-27,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-28,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-29,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-30,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-01-31,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-01,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-02,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-03,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-04,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-05,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-06,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-07,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-08,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-09,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-10,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-11,LEDA,diesel,96.9,96.9,96.9,96.9,1
2003-02-12,LEDA,diesel,102.9,102.9,102.9,102.9,1
2003-02-13,LEDA,diesel,102.9,102.9,102.9,102.9,1
2003-02-14,LEDA,diesel,102.9,102.9,102.9,102.9,1
2003-02-15,LEDA,diesel,102.9,102.9,102.9,102.9,1
2003-02-16,LEDA,diesel,102.9,102.9,102.9,102.9,1
