date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2008-01-01,LEDA,premium_98,142.4,142.4,142.4,142.4,1
2008-01-02,LEDA,premium_98,141.8,141.8,141.8,141.8,1
2008-01-03,LEDA,premium_98,141.8,141.8,141.8,141.8,1
2008-01-04,LEDA,premium_98,141.8,141.8,141.8,141.8,1
2008-01-05,LEDA,premium_98,141.8,141.8,141.8,141.8,1
2008-01-06,LEDA,premium_98,152.8,152.8,152.8,152.8,1
2008-01-07,LEDA,premium_98,152.4,152.4,152.4,152.4,1
2008-01-08,LEDA,premium_98,149.8,149.8,149.8,149.8,1
2008-01-09,LEDA,premium_98,149.3,149.3,149.3,149.3,1
2008-01-10,LEDA,premium_98,148.4,148.4,148.4,148.4,1
2008-01-11,LEDA,premium_98,147.7,147.7,147.7,147.7,1
2008-01-12,LEDA,premium_98,145.8,145.8,145.8,145.8,1
2008-01-13,LEDA,premium_98,145.4,145.4,145.4,145.4,1
2008-01-14,LEDA,premium_98,144.4,144.4,144.4,144.4,1
2008-01-15,LEDA,premium_98,143.9,143.9,143.9,143.9,1
2008-01-16,LEDA,premium_98,143.7,143.7,143.7,143.7,1
2008-01-17,LEDA,premium_98,142.8,142.8,142.8,142.8,1
2008-01-18,LEDA,premium_98,142.8,142.8,142.8,142.8,1
2008-01-19,LEDA,premium_98,155.5,155.5,155.5,155.5,1
2008-01-20,LEDA,premium_98,152.8,152.8,152.8,152.8,1
2008-01-21,LEDA,premium_98,143.5,143.5,143.5,143.5,1
2008-01-22,LEDA,premium_98,149.4,149.4,149.4,149.4,1
2008-01-23,LEDA,premium_98,148.7,148.7,148.7,148.7,1
2008-01-24,LEDA,premium_98,148.5,148.5,148.5,148.5,1
2008-01-25,LEDA,premium_98,147.4,147.4,147.4,147.4,1
2008-01-26,LEDA,premium_98,145.8,145.8,145.8,145.8,1
2008-01-27,LEDA,premium_98,144.9,144.9,144.9,144.9,1
2008-01-28,LEDA,premium_98,144.4,144.4,144.4,144.4,1
2008-01-29,LEDA,premium_98,143.8,143.8,143.8,143.8,1
2008-01-30,LEDA,premium_98,142.8,142.8,142.8,142.8,1
2008-01-31,LEDA,premium_98,142.2,142.2,142.2,142.2,1
2008-02-01,LEDA,premium_98,135.8,135.8,135.8,135.8,1
2008-02-02,LEDA,premium_98,134.8,134.8,134.8,134.8,1
2008-02-03,LEDA,premium_98,134.8,134.8,134.8,134.8,1
2008-02-04,LEDA,premium_98,134.8,134.8,134.8,134.8,1
2008-02-05,LEDA,premium_98,134.8,134.8,134.8,134.8,1
2008-02-06,LEDA,premium_98,133.3,133.3,133.3,133.3,1
2008-02-07,LEDA,premium_98,145.9,145.9,145.9,145.9,1
2008-02-08,LEDA,premium_98,144.4,144.4,144.4,144.4,1
2008-02-09,LEDA,premium_98,142.7,142.7,142.7,142.7,1
2008-02-10,LEDA,premium_98,142.4,142.4,142.4,142.4,1
2008-02-11,LEDA,premium_98,141.8,141.8,141.8,141.8,1
2008-02-12,LEDA,premium_98,140.8,140.8,140.8,140.8,1
2008-02-13,LEDA,premium_98,139.4,139.4,139.4,139.4,1
2008-02-14,LEDA,premium_98,138.4,138.4,138.4,138.4,1
2008-02-15,LEDA,premium_98,137.7,137.7,137.7,137.7,1
2008-02-16,LEDA,premium_98,135.8,135.8,135.8,135.8,1
2008-02-17,LEDA,premium_98,135.4,135.4,135.4,135.4,1
2008-02-18,LEDA,premium_98,134.8,134.8,134.8,134.8,1
