date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-01-02,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-01-03,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-04,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-05,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-06,LESMURDIE,premium_98,84.8,84.8,84.8,84.8,1
2002-01-07,LESMURDIE,premium_98,84.8,84.8,84.8,84.8,1
2002-01-08,LESMURDIE,premium_98,84.8,84.8,84.8,84.8,1
2002-01-09,LESMURDIE,premium_98,84.8,84.8,84.8,84.8,1
2002-01-10,LESMURDIE,premium_98,92.5,92.5,92.5,92.5,1
2002-01-11,LESMURDIE,premium_98,92.5,92.5,92.5,92.5,1
2002-01-12,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-13,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-14,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-15,LESMURDIE,premium_98,84.9,84.9,84.9,84.9,1
2002-01-16,LESMURDIE,premium_98,84.9,84.9,84.9,84.9,1
2002-01-17,LESMURDIE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-18,LESMURDIE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-19,LESMURDIE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-20,LESMURDIE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-21,LESMURDIE,premium_98,87.5,87.5,87.5,87.5,1
2002-01-22,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-01-23,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-01-24,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-01-25,LESMURDIE,premium_98,83.7,83.7,83.7,83.7,1
2002-01-26,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-27,LESMURDIE,premium_98,87.8,87.8,87.8,87.8,1
2002-01-28,LESMURDIE,premium_98,87.8,87.8,87.8,87.8,1
2002-01-29,LESMURDIE,premium_98,87.8,87.8,87.8,87.8,1
2002-01-30,LESMURDIE,premium_98,84.9,84.9,84.9,84.9,1
2002-01-31,LESMURDIE,premium_98,84.9,84.9,84.9,84.9,1
2002-02-01,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-02,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-03,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-02-04,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-02-05,LESMURDIE,premium_98,85.9,85.9,85.9,85.9,1
2002-02-06,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-07,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-08,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-09,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-10,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-11,LESMURDIE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-12,LESMURDIE,premium_98,91.9,91.9,91.9,91.9,1
2002-02-13,LESMURDIE,premium_98,90.9,90.9,90.9,90.9,1
2002-02-14,LESMURDIE,premium_98,90.9,90.9,90.9,90.9,1
2002-02-15,LESMURDIE,premium_98,89.9,89.9,89.9,89.9,1
2002-02-16,LESMURDIE,premium_98,89.5,89.5,89.5,89.5,1
2002-02-17,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-18,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-19,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-20,LESMURDIE,premium_98,87.9,87.9,87.9,87.9,1
2002-02-21,LESMURDIE,premium_98,93.9,93.9,93.9,93.9,1
2002-02-22,LESMURDIE,premium_98,90.9,90.9,90.9,90.9,1
2002-02-23,LESMURDIE,premium_98,90.9,90.9,90.9,90.9,1
2002-02-24,LESMURDIE,premium_98,89.7,89.7,89.7,89.7,1
2002-02-25,LESMURDIE,premium_98,89.7,89.7,89.7,89.7,1
2002-02-26,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-02-27,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2002-02-28,LESMURDIE,premium_98,88.9,88.9,88.9,88.9,1
2003-01-01,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-02,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-03,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-04,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-05,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-06,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-07,LESMURDIE,premium_98,105.9,105.9,105.9,105.9,1
2003-01-08,LESMURDIE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-09,LESMURDIE,premium_98,102.9,102.9,102.9,102.9,1
