date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LESMURDIE,ulp_91,79.5,82.2,84.9,79.5,4
2002-01-02,LESMURDIE,ulp_91,79.5,82.2,84.9,79.5,4
2002-01-03,LESMURDIE,ulp_91,79.9,81.4,82.9,79.9,4
2002-01-04,LESMURDIE,ulp_91,78.9,80.9,82.9,78.9,4
2002-01-05,LESMURDIE,ulp_91,78.9,80.9,82.9,78.9,4
2002-01-06,LESMURDIE,ulp_91,78.5,80.2,81.8,78.5,4
2002-01-07,LESMURDIE,ulp_91,78.5,80.2,81.8,78.5,4
2002-01-08,LESMURDIE,ulp_91,77.9,79.8,81.8,77.9,4
2002-01-09,LESMURDIE,ulp_91,77.9,79.8,81.8,77.9,4
2002-01-10,LESMURDIE,ulp_91,79.9,84.7,89.5,79.9,4
2002-01-11,LESMURDIE,ulp_91,84.9,87.2,89.5,84.9,4
2002-01-12,LESMURDIE,ulp_91,82.9,84.9,86.9,82.9,4
2002-01-13,LESMURDIE,ulp_91,81.5,83.7,85.9,81.5,4
2002-01-14,LESMURDIE,ulp_91,81.2,83.6,85.9,81.2,4
2002-01-15,LESMURDIE,ulp_91,78.9,81.2,83.5,78.9,4
2002-01-16,LESMURDIE,ulp_91,77.9,79.9,81.9,77.9,4
2002-01-17,LESMURDIE,ulp_91,77.5,82.2,86.9,77.5,4
2002-01-18,LESMURDIE,ulp_91,83.5,85.2,86.9,83.5,4
2002-01-19,LESMURDIE,ulp_91,82.4,84.7,86.9,82.4,4
2002-01-20,LESMURDIE,ulp_91,81.2,84.1,86.9,81.2,4
2002-01-21,LESMURDIE,ulp_91,79.9,82.2,84.5,79.9,4
2002-01-22,LESMURDIE,ulp_91,78.9,80.7,82.5,78.9,4
2002-01-23,LESMURDIE,ulp_91,77.7,80.1,82.5,77.7,4
2002-01-24,LESMURDIE,ulp_91,76.7,79.6,82.5,76.7,4
2002-01-25,LESMURDIE,ulp_91,77.7,80.3,82.9,77.7,4
2002-01-26,LESMURDIE,ulp_91,82.9,84.4,85.9,82.9,4
2002-01-27,LESMURDIE,ulp_91,81.5,83.2,84.8,81.5,4
2002-01-28,LESMURDIE,ulp_91,80.5,82.7,84.8,80.5,4
2002-01-29,LESMURDIE,ulp_91,79.2,82.0,84.8,79.2,4
2002-01-30,LESMURDIE,ulp_91,78.2,80.1,81.9,78.2,4
2002-01-31,LESMURDIE,ulp_91,76.9,79.4,81.9,76.9,4
2002-02-01,LESMURDIE,ulp_91,76.9,80.9,84.9,76.9,4
2002-02-02,LESMURDIE,ulp_91,81.9,84.7,87.5,81.9,4
2002-02-03,LESMURDIE,ulp_91,79.9,81.4,82.9,79.9,4
2002-02-04,LESMURDIE,ulp_91,79.5,81.2,82.9,79.5,4
2002-02-05,LESMURDIE,ulp_91,78.3,80.6,82.9,78.3,4
2002-02-06,LESMURDIE,ulp_91,77.3,79.9,82.5,77.3,4
2002-02-07,LESMURDIE,ulp_91,76.9,79.7,82.5,76.9,4
2002-02-08,LESMURDIE,ulp_91,76.9,79.7,82.5,76.9,4
2002-02-09,LESMURDIE,ulp_91,78.9,80.7,82.5,78.9,4
2002-02-10,LESMURDIE,ulp_91,78.9,80.7,82.5,78.9,4
2002-02-11,LESMURDIE,ulp_91,78.9,80.7,82.5,78.9,4
2002-02-12,LESMURDIE,ulp_91,79.9,84.4,88.9,79.9,4
2002-02-13,LESMURDIE,ulp_91,84.9,86.4,87.9,84.9,4
2002-02-14,LESMURDIE,ulp_91,83.7,85.8,87.9,83.7,4
2002-02-15,LESMURDIE,ulp_91,83.5,85.2,86.9,83.5,4
2002-02-16,LESMURDIE,ulp_91,81.5,84.0,86.5,81.5,4
2002-02-17,LESMURDIE,ulp_91,81.5,83.2,84.9,81.5,4
2002-02-18,LESMURDIE,ulp_91,81.5,83.2,84.9,81.5,4
2002-02-19,LESMURDIE,ulp_91,80.5,82.7,84.9,80.5,4
2002-02-20,LESMURDIE,ulp_91,81.9,85.4,88.9,81.9,4
2002-02-21,LESMURDIE,ulp_91,85.9,88.4,90.9,85.9,4
2002-02-22,LESMURDIE,ulp_91,84.9,86.9,88.9,84.9,4
2002-02-23,LESMURDIE,ulp_91,83.9,85.9,87.9,83.9,4
2002-02-24,LESMURDIE,ulp_91,83.5,85.1,86.7,83.5,4
2002-02-25,LESMURDIE,ulp_91,82.5,84.6,86.7,82.5,4
2002-02-26,LESMURDIE,ulp_91,81.5,83.7,85.9,81.5,4
2002-02-27,LESMURDIE,ulp_91,81.5,83.7,85.9,81.5,4
2002-02-28,LESMURDIE,ulp_91,79.9,82.9,85.9,79.9,4
2003-01-01,LESMURDIE,ulp_91,94.5,98.2,101.9,94.5,4
2003-01-02,LESMURDIE,ulp_91,92.9,97.4,101.9,92.9,4
2003-01-03,LESMURDIE,ulp_91,91.9,96.9,101.9,91.9,4
2003-01-04,LESMURDIE,ulp_91,90.5,96.2,101.9,90.5,4
