date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-02,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-03,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-04,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-05,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-06,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-07,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-08,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-09,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-10,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-11,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-12,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-13,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-14,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-15,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-16,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-17,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-18,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-19,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-20,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-21,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-22,LEXIA,diesel,84.9,84.9,84.9,84.9,1
2002-01-23,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-24,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-25,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-26,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-27,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-28,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-29,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-01-30,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-01-31,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-02-01,LEXIA,diesel,83.5,83.5,83.5,83.5,1
2002-02-02,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-02-03,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-02-04,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-02-05,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-02-06,LEXIA,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-08,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-09,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-10,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-11,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-12,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-13,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-14,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2002-02-15,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2002-02-16,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2002-02-17,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2002-02-18,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2002-02-19,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-20,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-21,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-22,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-23,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-24,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-25,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-26,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-27,LEXIA,diesel,82.5,82.5,82.5,82.5,1
2002-02-28,LEXIA,diesel,81.9,81.9,81.9,81.9,1
2003-01-01,LEXIA,diesel,92.9,92.9,92.9,92.9,1
2003-01-02,LEXIA,diesel,92.9,92.9,92.9,92.9,1
2003-01-03,LEXIA,diesel,92.9,92.9,92.9,92.9,1
2003-01-04,LEXIA,diesel,95.9,95.9,95.9,95.9,1
2003-01-05,LEXIA,diesel,95.9,95.9,95.9,95.9,1
2003-01-06,LEXIA,diesel,95.9,95.9,95.9,95.9,1
2003-01-07,LEXIA,diesel,95.9,95.9,95.9,95.9,1
2003-01-08,LEXIA,diesel,95.9,95.9,95.9,95.9,1
2003-01-09,LEXIA,diesel,95.9,95.9,95.9,95.9,1
