date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-02,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-03,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-04,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-05,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-06,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-07,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-08,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-01-09,LEXIA,lpg,40.3,40.3,40.3,40.3,1
2002-01-10,LEXIA,lpg,40.3,40.3,40.3,40.3,1
2002-01-11,LEXIA,lpg,40.3,40.3,40.3,40.3,1
2002-01-12,LEXIA,lpg,47.9,47.9,47.9,47.9,1
2002-01-13,LEXIA,lpg,47.9,47.9,47.9,47.9,1
2002-01-14,LEXIA,lpg,47.9,47.9,47.9,47.9,1
2002-01-15,LEXIA,lpg,47.9,47.9,47.9,47.9,1
2002-01-16,LEXIA,lpg,47.9,47.9,47.9,47.9,1
2002-01-17,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-18,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-19,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-20,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-21,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-22,LEXIA,lpg,44.3,44.3,44.3,44.3,1
2002-01-23,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-24,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-25,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-26,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-27,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-28,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-29,LEXIA,lpg,43.3,43.3,43.3,43.3,1
2002-01-30,LEXIA,lpg,42.9,42.9,42.9,42.9,1
2002-01-31,LEXIA,lpg,42.9,42.9,42.9,42.9,1
2002-02-01,LEXIA,lpg,42.7,42.7,42.7,42.7,1
2002-02-02,LEXIA,lpg,45.9,45.9,45.9,45.9,1
2002-02-03,LEXIA,lpg,45.9,45.9,45.9,45.9,1
