date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2013-01-01,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-02,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-03,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-04,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-05,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-06,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-07,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-08,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-09,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-10,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-11,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-12,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-13,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-14,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-15,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-16,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-17,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-18,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-19,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-20,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-21,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-22,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-23,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-24,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-25,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-26,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-27,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-28,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-29,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-30,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-01-31,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-02-01,LITTLE GROVE,premium_98,156.8,156.8,156.8,156.8,1
2013-02-02,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-03,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-04,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-05,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-06,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-07,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-08,LITTLE GROVE,premium_98,158.8,158.8,158.8,158.8,1
2013-02-09,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-10,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-11,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-12,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-13,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-14,LITTLE GROVE,premium_98,164.8,164.8,164.8,164.8,1
2013-02-15,LITTLE GROVE,premium_98,166.8,166.8,166.8,166.8,1
2013-02-16,LITTLE GROVE,premium_98,166.8,166.8,166.8,166.8,1
2013-02-17,LITTLE GROVE,premium_98,166.8,166.8,166.8,166.8,1
2013-02-18,LITTLE GROVE,premium_98,166.8,166.8,166.8,166.8,1
2013-02-19,LITTLE GROVE,premium_98,166.8,166.8,166.8,166.8,1
2013-02-20,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-21,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-22,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-23,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-24,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-25,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-26,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-27,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2013-02-28,LITTLE GROVE,premium_98,168.8,168.8,168.8,168.8,1
2014-01-01,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-02,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-03,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-04,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-05,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-06,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-07,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-08,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-09,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-10,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-11,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-12,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-13,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-14,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-15,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-16,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-17,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-18,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-19,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-20,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-21,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-22,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-23,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-24,LITTLE GROVE,premium_98,171.9,171.9,171.9,171.9,1
2014-01-25,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-26,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-27,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-28,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-29,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-30,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-01-31,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-01,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-02,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-03,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-04,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-05,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-06,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-07,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-08,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-09,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-10,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-11,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-12,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-13,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-14,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-15,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-16,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-17,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-18,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-19,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-20,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-21,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-22,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-23,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-24,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-25,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-26,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-27,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2014-02-28,LITTLE GROVE,premium_98,169.9,169.9,169.9,169.9,1
2015-01-01,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-02,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-03,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-04,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-05,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-06,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-07,LITTLE GROVE,premium_98,147.9,147.9,147.9,147.9,1
2015-01-08,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-09,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-10,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-11,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-12,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-13,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-14,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-01-15,LITTLE GROVE,premium_98,140.9,140.9,140.9,140.9,1
2015-01-16,LITTLE GROVE,premium_98,140.9,140.9,140.9,140.9,1
2015-01-17,LITTLE GROVE,premium_98,140.9,140.9,140.9,140.9,1
2015-01-18,LITTLE GROVE,premium_98,140.9,140.9,140.9,140.9,1
2015-01-19,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2015-01-20,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2015-01-21,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2015-01-22,LITTLE GROVE,premium_98,135.9,135.9,135.9,135.9,1
2015-01-23,LITTLE GROVE,premium_98,135.9,135.9,135.9,135.9,1
2015-01-24,LITTLE GROVE,premium_98,135.9,135.9,135.9,135.9,1
2015-01-25,LITTLE GROVE,premium_98,135.9,135.9,135.9,135.9,1
2015-01-26,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-01-27,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-01-28,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-01-29,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-01-30,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-01-31,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-01,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-02,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-03,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-04,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-05,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-06,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-07,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-08,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-09,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-10,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-11,LITTLE GROVE,premium_98,132.9,132.9,132.9,132.9,1
2015-02-12,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-13,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-14,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-15,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-16,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-17,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-18,LITTLE GROVE,premium_98,136.9,136.9,136.9,136.9,1
2015-02-19,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-20,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-21,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-22,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-23,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-24,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-25,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-26,LITTLE GROVE,premium_98,143.9,143.9,143.9,143.9,1
2015-02-27,LITTLE GROVE,premium_98,144.9,144.9,144.9,144.9,1
2015-02-28,LITTLE GROVE,premium_98,144.9,144.9,144.9,144.9,1
2016-01-01,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-02,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-03,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-04,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-05,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-06,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-07,LITTLE GROVE,premium_98,141.9,141.9,141.9,141.9,1
2016-01-08,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-09,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-10,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-11,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-12,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-13,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-14,LITTLE GROVE,premium_98,139.9,139.9,139.9,139.9,1
2016-01-15,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-16,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-17,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-18,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-19,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-20,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-21,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-22,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-23,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-24,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-25,LITTLE GROVE,premium_98,138.9,138.9,138.9,138.9,1
2016-01-26,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-01-27,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-01-28,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-01-29,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-01-30,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-01-31,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-01,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-02,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-03,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-04,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-05,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-06,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-07,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-08,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-09,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-10,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-11,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-12,LITTLE GROVE,premium_98,137.9,137.9,137.9,137.9,1
2016-02-13,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-14,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-15,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-16,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-17,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-18,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-19,LITTLE GROVE,premium_98,133.9,133.9,133.9,133.9,1
2016-02-20,LITTLE GROVE,premium_98,129.9,129.9,129.9,129.9,1
2016-02-21,LITTLE GROVE,premium_98,129.9,129.9,129.9,129.9,1
2016-02-22,LITTLE GROVE,premium_98,129.9,129.9,129.9,129.9,1
