date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-02,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-03,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-04,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-05,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-06,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-07,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-08,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-09,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-10,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-11,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-12,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-13,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-14,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-15,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-16,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-17,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-18,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-19,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-20,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-21,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-22,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-23,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-24,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-25,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-26,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-27,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-28,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-29,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-30,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-01-31,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-01,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-02,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2004-02-03,LOWDEN,ulp_91,99.9,99.9,99.9,99.9,1
2006-01-01,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-02,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-03,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-04,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-05,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-06,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-07,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-08,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-09,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-10,LOWDEN,ulp_91,127.9,127.9,127.9,127.9,1
2006-01-11,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-12,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-13,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-14,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-15,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-16,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-17,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-18,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-19,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-20,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-21,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-22,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-23,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-24,LOWDEN,ulp_91,130.9,130.9,130.9,130.9,1
2006-01-25,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-26,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-27,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-28,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-29,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-30,LOWDEN,ulp_91,132.9,132.9,132.9,132.9,1
2006-01-31,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-01,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-02,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-03,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-04,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-05,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-06,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-07,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-08,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-09,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-10,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-11,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-12,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-13,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-14,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-15,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-16,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-17,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-18,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-19,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-20,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-21,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-22,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-23,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-24,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-25,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-26,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-27,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
2006-02-28,LOWDEN,ulp_91,135.4,135.4,135.4,135.4,1
