date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LYNWOOD,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-02,LYNWOOD,ulp_91,81.7,83.2,84.7,81.7,2
2002-01-03,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-01-04,LYNWOOD,ulp_91,79.5,81.0,82.5,79.5,2
2002-01-05,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-01-06,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-01-07,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-01-08,LYNWOOD,ulp_91,77.9,79.4,80.9,77.9,2
2002-01-09,LYNWOOD,ulp_91,77.9,79.4,80.9,77.9,2
2002-01-10,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2002-01-11,LYNWOOD,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-12,LYNWOOD,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-13,LYNWOOD,ulp_91,81.7,83.2,84.7,81.7,2
2002-01-14,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-01-15,LYNWOOD,ulp_91,79.3,80.8,82.3,79.3,2
2002-01-16,LYNWOOD,ulp_91,77.9,79.4,80.9,77.9,2
2002-01-17,LYNWOOD,ulp_91,77.5,79.0,80.5,77.5,2
2002-01-18,LYNWOOD,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-19,LYNWOOD,ulp_91,82.2,83.7,85.2,82.2,2
2002-01-20,LYNWOOD,ulp_91,80.7,82.2,83.7,80.7,2
2002-01-21,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2002-01-22,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-01-23,LYNWOOD,ulp_91,77.7,79.2,80.7,77.7,2
2002-01-24,LYNWOOD,ulp_91,76.6,78.1,79.6,76.6,2
2002-01-25,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2002-01-26,LYNWOOD,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-27,LYNWOOD,ulp_91,81.5,83.0,84.5,81.5,2
2002-01-28,LYNWOOD,ulp_91,80.3,81.8,83.3,80.3,2
2002-01-29,LYNWOOD,ulp_91,77.7,79.2,80.7,77.7,2
2002-01-30,LYNWOOD,ulp_91,77.7,79.2,80.7,77.7,2
2002-01-31,LYNWOOD,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-01,LYNWOOD,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-02,LYNWOOD,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-03,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2002-02-04,LYNWOOD,ulp_91,79.5,81.2,82.9,79.5,2
2002-02-05,LYNWOOD,ulp_91,78.3,79.8,81.3,78.3,2
2002-02-06,LYNWOOD,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-07,LYNWOOD,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-08,LYNWOOD,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-09,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-02-10,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-02-11,LYNWOOD,ulp_91,78.9,80.4,81.9,78.9,2
2002-02-12,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2002-02-13,LYNWOOD,ulp_91,85.9,87.4,88.9,85.9,2
2002-02-14,LYNWOOD,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-15,LYNWOOD,ulp_91,83.5,85.0,86.5,83.5,2
2002-02-16,LYNWOOD,ulp_91,81.9,82.9,83.9,81.9,2
2002-02-17,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-02-18,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-02-19,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-02-20,LYNWOOD,ulp_91,85.9,87.4,88.9,85.9,2
2002-02-21,LYNWOOD,ulp_91,85.9,87.4,88.9,85.9,2
2002-02-22,LYNWOOD,ulp_91,85.9,87.4,88.9,85.9,2
2002-02-23,LYNWOOD,ulp_91,83.5,85.0,86.5,83.5,2
2002-02-24,LYNWOOD,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-25,LYNWOOD,ulp_91,81.5,83.0,84.5,81.5,2
2002-02-26,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-02-27,LYNWOOD,ulp_91,80.5,82.0,83.5,80.5,2
2002-02-28,LYNWOOD,ulp_91,79.9,81.4,82.9,79.9,2
2003-01-01,LYNWOOD,ulp_91,94.5,96.5,98.5,94.5,2
2003-01-02,LYNWOOD,ulp_91,92.9,94.9,96.9,92.9,2
2003-01-03,LYNWOOD,ulp_91,91.5,93.5,95.5,91.5,2
2003-01-04,LYNWOOD,ulp_91,89.9,91.9,93.9,89.9,2
2003-01-05,LYNWOOD,ulp_91,88.9,90.9,92.9,88.9,2
2003-01-06,LYNWOOD,ulp_91,88.9,90.9,92.9,88.9,2
2003-01-07,LYNWOOD,ulp_91,89.9,91.9,93.9,89.9,2
2003-01-08,LYNWOOD,ulp_91,88.5,90.5,92.5,88.5,2
2003-01-09,LYNWOOD,ulp_91,89.5,91.5,93.5,89.5,2
2003-01-10,LYNWOOD,ulp_91,96.5,98.5,100.5,96.5,2
2003-01-11,LYNWOOD,ulp_91,92.9,94.9,96.9,92.9,2
2003-01-12,LYNWOOD,ulp_91,92.9,94.9,96.9,92.9,2
2003-01-13,LYNWOOD,ulp_91,92.9,94.9,96.9,92.9,2
2003-01-14,LYNWOOD,ulp_91,90.5,92.5,94.5,90.5,2
2003-01-15,LYNWOOD,ulp_91,89.9,91.9,93.9,89.9,2
2003-01-16,LYNWOOD,ulp_91,89.5,91.5,93.5,89.5,2
