date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-02,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-03,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-04,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-05,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-06,MAHOMETS FLATS,premium_98,100.4,100.4,100.4,100.4,1
2002-01-07,MAHOMETS FLATS,premium_98,99.7,99.7,99.7,99.7,1
2002-01-08,MAHOMETS FLATS,premium_98,99.7,99.7,99.7,99.7,1
2002-01-09,MAHOMETS FLATS,premium_98,99.7,99.7,99.7,99.7,1
2002-01-10,MAHOMETS FLATS,premium_98,99.1,99.1,99.1,99.1,1
2002-01-11,MAHOMETS FLATS,premium_98,99.1,99.1,99.1,99.1,1
2002-01-12,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-13,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-14,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-15,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-16,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-17,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-18,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-19,MAHOMETS FLATS,premium_98,97.2,97.2,97.2,97.2,1
2002-01-20,MAHOMETS FLATS,premium_98,97.2,97.2,97.2,97.2,1
2002-01-21,MAHOMETS FLATS,premium_98,97.2,97.2,97.2,97.2,1
2002-01-22,MAHOMETS FLATS,premium_98,97.2,97.2,97.2,97.2,1
2002-01-23,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-24,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-25,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
2002-01-26,MAHOMETS FLATS,premium_98,97.9,97.9,97.9,97.9,1
