date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2021-01-01,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-02,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-03,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-04,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-05,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-06,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-07,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-08,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-09,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-10,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-11,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-12,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-13,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-14,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-15,MALABAINE,premium_95,138.3,138.3,138.3,138.3,1
2021-01-16,MALABAINE,premium_95,117.8,117.8,117.8,117.8,1
2021-01-17,MALABAINE,premium_95,117.8,117.8,117.8,117.8,1
2021-01-18,MALABAINE,premium_95,117.8,117.8,117.8,117.8,1
2021-01-19,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-20,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-21,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-22,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-23,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-24,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-25,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-26,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-27,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-28,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-29,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-30,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
2021-01-31,MALABAINE,premium_95,134.8,134.8,134.8,134.8,1
