date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-02-24,MALAGA,premium_98,121.5,121.5,121.5,121.5,1
2007-02-25,MALAGA,premium_98,121.5,121.5,121.5,121.5,1
2007-02-26,MALAGA,premium_98,119.9,119.9,119.9,119.9,1
2007-02-27,MALAGA,premium_98,119.5,119.5,119.5,119.5,1
2007-02-28,MALAGA,premium_98,131.9,131.9,131.9,131.9,1
2008-01-01,MALAGA,premium_98,142.9,142.9,142.9,142.9,2
2008-01-02,MALAGA,premium_98,142.9,142.9,142.9,142.9,2
2008-01-03,MALAGA,premium_98,141.5,141.5,141.5,141.5,2
2008-01-04,MALAGA,premium_98,156.9,156.9,156.9,156.9,2
2008-01-05,MALAGA,premium_98,156.9,156.9,156.9,156.9,2
2008-01-06,MALAGA,premium_98,149.9,149.9,149.9,149.9,2
2008-01-07,MALAGA,premium_98,151.9,151.9,151.9,151.9,2
2008-01-08,MALAGA,premium_98,151.5,152.0,152.5,151.5,2
2008-01-09,MALAGA,premium_98,150.9,150.9,150.9,150.9,2
2008-01-10,MALAGA,premium_98,150.5,150.5,150.5,150.5,2
2008-01-11,MALAGA,premium_98,149.5,149.5,149.5,149.5,2
2008-01-12,MALAGA,premium_98,147.9,147.9,147.9,147.9,2
2008-01-13,MALAGA,premium_98,147.9,147.9,147.9,147.9,2
2008-01-14,MALAGA,premium_98,146.9,146.9,146.9,146.9,2
2008-01-15,MALAGA,premium_98,146.5,146.5,146.5,146.5,2
2008-01-16,MALAGA,premium_98,145.9,145.9,145.9,145.9,2
2008-01-17,MALAGA,premium_98,144.9,144.9,144.9,144.9,2
2008-01-18,MALAGA,premium_98,156.9,156.9,156.9,156.9,2
2008-01-19,MALAGA,premium_98,155.9,155.9,155.9,155.9,2
2008-01-20,MALAGA,premium_98,153.9,154.4,154.9,153.9,2
2008-01-21,MALAGA,premium_98,153.9,153.9,153.9,153.9,2
2008-01-22,MALAGA,premium_98,152.9,152.9,152.9,152.9,2
2008-01-23,MALAGA,premium_98,151.9,151.9,151.9,151.9,2
2008-01-24,MALAGA,premium_98,148.9,148.9,148.9,148.9,2
2008-01-25,MALAGA,premium_98,148.4,148.4,148.4,148.4,2
2008-01-26,MALAGA,premium_98,145.8,145.8,145.8,145.8,2
2008-01-27,MALAGA,premium_98,145.9,145.9,145.9,145.9,2
2008-01-28,MALAGA,premium_98,144.5,144.5,144.5,144.5,2
2008-01-29,MALAGA,premium_98,143.9,143.9,143.9,143.9,2
2008-01-30,MALAGA,premium_98,142.5,142.5,142.5,142.5,2
2008-01-31,MALAGA,premium_98,141.9,141.9,141.9,141.9,2
2008-02-01,MALAGA,premium_98,140.5,140.5,140.5,140.5,2
2008-02-02,MALAGA,premium_98,139.5,139.5,139.5,139.5,2
2008-02-03,MALAGA,premium_98,139.5,139.5,139.5,139.5,2
2008-02-04,MALAGA,premium_98,139.5,139.5,139.5,139.5,2
2008-02-05,MALAGA,premium_98,154.9,154.9,154.9,154.9,2
2008-02-06,MALAGA,premium_98,154.9,154.9,154.9,154.9,2
2008-02-07,MALAGA,premium_98,150.9,150.9,150.9,150.9,2
2008-02-08,MALAGA,premium_98,140.9,140.9,140.9,140.9,2
