date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MALAGA,ulp_91,82.5,84.5,87.3,82.5,10
2002-01-02,MALAGA,ulp_91,81.4,83.9,87.3,81.4,10
2002-01-03,MALAGA,ulp_91,80.4,82.8,87.3,80.4,10
2002-01-04,MALAGA,ulp_91,78.3,80.4,82.5,78.3,10
2002-01-05,MALAGA,ulp_91,77.5,79.3,81.3,77.5,10
2002-01-06,MALAGA,ulp_91,77.3,79.1,81.3,77.3,10
2002-01-07,MALAGA,ulp_91,76.5,78.7,81.3,76.5,10
2002-01-08,MALAGA,ulp_91,75.7,82.8,91.2,75.7,10
2002-01-09,MALAGA,ulp_91,78.3,87.0,90.9,78.3,10
2002-01-10,MALAGA,ulp_91,84.3,87.1,89.3,84.3,10
2002-01-11,MALAGA,ulp_91,83.3,85.7,88.2,83.3,10
2002-01-12,MALAGA,ulp_91,81.3,84.1,86.8,81.3,10
2002-01-13,MALAGA,ulp_91,80.9,83.0,85.3,80.9,10
2002-01-14,MALAGA,ulp_91,79.9,81.9,84.3,79.9,10
2002-01-15,MALAGA,ulp_91,78.7,80.6,82.6,78.7,10
2002-01-16,MALAGA,ulp_91,77.1,81.0,87.9,77.1,10
2002-01-17,MALAGA,ulp_91,79.3,85.3,88.8,79.3,10
2002-01-18,MALAGA,ulp_91,82.3,84.6,86.8,82.3,10
2002-01-19,MALAGA,ulp_91,81.3,83.4,85.5,81.3,10
2002-01-20,MALAGA,ulp_91,80.3,83.0,85.5,80.3,10
2002-01-21,MALAGA,ulp_91,79.6,82.2,85.3,79.6,10
2002-01-22,MALAGA,ulp_91,78.5,80.6,82.5,78.5,10
2002-01-23,MALAGA,ulp_91,77.5,79.7,82.5,77.5,10
2002-01-24,MALAGA,ulp_91,76.7,82.5,89.2,76.7,10
2002-01-25,MALAGA,ulp_91,79.5,85.5,88.9,79.5,10
2002-01-26,MALAGA,ulp_91,79.5,83.9,86.7,79.5,10
2002-01-27,MALAGA,ulp_91,79.5,82.6,84.7,79.5,10
2002-01-28,MALAGA,ulp_91,79.5,81.2,83.2,79.5,10
2002-01-29,MALAGA,ulp_91,78.9,80.9,83.2,78.9,10
2002-01-30,MALAGA,ulp_91,76.9,79.4,82.5,76.9,10
2002-01-31,MALAGA,ulp_91,76.3,78.6,82.5,76.3,10
2002-02-01,MALAGA,ulp_91,79.5,85.9,90.9,79.5,10
2002-02-02,MALAGA,ulp_91,79.5,85.9,90.9,79.5,10
2002-02-03,MALAGA,ulp_91,79.5,82.6,85.8,79.5,10
2002-02-04,MALAGA,ulp_91,77.8,80.3,82.5,77.8,10
2002-02-05,MALAGA,ulp_91,77.8,79.8,82.5,77.8,10
2002-02-06,MALAGA,ulp_91,76.9,79.4,82.5,76.9,10
2002-02-07,MALAGA,ulp_91,75.9,78.4,82.5,75.9,10
2002-02-08,MALAGA,ulp_91,75.9,78.4,82.5,75.9,10
2002-02-09,MALAGA,ulp_91,75.5,78.3,82.5,75.5,10
2002-02-10,MALAGA,ulp_91,75.5,80.5,90.9,75.5,10
2002-02-11,MALAGA,ulp_91,75.9,85.3,91.2,75.9,10
2002-02-12,MALAGA,ulp_91,86.9,88.7,90.5,86.9,10
2002-02-13,MALAGA,ulp_91,85.7,87.7,90.5,85.7,10
2002-02-14,MALAGA,ulp_91,84.3,86.0,87.8,84.3,10
2002-02-15,MALAGA,ulp_91,82.5,84.8,87.5,82.5,10
2002-02-16,MALAGA,ulp_91,80.7,83.0,85.5,80.7,10
2002-02-17,MALAGA,ulp_91,79.7,81.9,85.5,79.7,10
2002-02-18,MALAGA,ulp_91,78.6,81.5,85.5,78.6,10
2002-02-19,MALAGA,ulp_91,78.5,86.2,95.2,78.5,10
2002-02-20,MALAGA,ulp_91,89.5,92.5,94.9,89.5,10
2002-02-21,MALAGA,ulp_91,88.9,90.7,92.5,88.9,10
2002-02-22,MALAGA,ulp_91,85.9,88.1,90.5,85.9,10
2002-02-23,MALAGA,ulp_91,84.5,86.8,90.5,84.5,10
2002-02-24,MALAGA,ulp_91,82.5,84.9,87.1,82.5,10
2002-02-25,MALAGA,ulp_91,81.3,84.0,86.8,81.3,10
2002-02-26,MALAGA,ulp_91,80.3,82.8,85.5,80.3,10
2002-02-27,MALAGA,ulp_91,79.3,81.8,85.5,79.3,10
2002-02-28,MALAGA,ulp_91,78.9,81.2,85.5,78.9,10
2003-01-01,MALAGA,ulp_91,93.9,96.9,100.5,93.9,10
2003-01-02,MALAGA,ulp_91,93.5,96.0,100.5,93.5,10
