date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MANDURAH,lpg,44.9,45.4,45.7,44.9,7
2002-01-02,MANDURAH,lpg,44.9,45.6,45.9,44.9,7
2002-01-03,MANDURAH,lpg,44.9,45.6,45.9,44.9,7
2002-01-04,MANDURAH,lpg,44.5,45.2,45.9,44.5,7
2002-01-05,MANDURAH,lpg,44.5,44.9,45.9,44.5,7
2002-01-06,MANDURAH,lpg,44.5,44.9,45.9,44.5,7
2002-01-07,MANDURAH,lpg,44.5,44.9,45.9,44.5,7
2002-01-08,MANDURAH,lpg,44.3,44.7,45.3,44.3,7
2002-01-09,MANDURAH,lpg,44.3,46.3,48.9,44.3,7
2002-01-10,MANDURAH,lpg,43.9,46.2,48.9,43.9,7
2002-01-11,MANDURAH,lpg,43.9,46.0,47.9,43.9,7
2002-01-12,MANDURAH,lpg,43.9,46.7,49.9,43.9,7
2002-01-13,MANDURAH,lpg,43.9,46.6,49.9,43.9,7
2002-01-14,MANDURAH,lpg,43.9,46.5,49.9,43.9,7
2002-01-15,MANDURAH,lpg,43.9,45.7,49.9,43.9,7
2002-01-16,MANDURAH,lpg,43.9,45.8,49.9,43.9,7
2002-01-17,MANDURAH,lpg,43.9,45.6,49.9,43.9,7
2002-01-18,MANDURAH,lpg,43.9,45.5,49.9,43.9,7
2002-01-19,MANDURAH,lpg,43.9,45.1,49.9,43.9,7
2002-01-20,MANDURAH,lpg,43.7,45.0,49.9,43.7,7
2002-01-21,MANDURAH,lpg,43.7,44.9,49.9,43.7,7
2002-01-22,MANDURAH,lpg,43.5,44.7,49.9,43.5,7
2002-01-23,MANDURAH,lpg,43.5,44.6,49.9,43.5,7
2002-01-24,MANDURAH,lpg,43.5,43.8,44.5,43.5,7
2002-01-25,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-26,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-27,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-28,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-29,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-30,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-01-31,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-02-01,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-02,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-03,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-04,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-05,MANDURAH,lpg,41.9,44.5,45.9,41.9,7
2002-02-06,MANDURAH,lpg,41.9,43.9,45.9,41.9,7
2002-02-07,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-08,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-09,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-10,MANDURAH,lpg,41.9,44.2,45.9,41.9,7
2002-02-11,MANDURAH,lpg,43.5,43.8,44.5,43.5,7
2002-02-12,MANDURAH,lpg,41.9,43.6,44.5,41.9,7
2002-02-13,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-02-14,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-02-15,MANDURAH,lpg,41.9,43.5,44.5,41.9,7
2002-02-16,MANDURAH,lpg,41.9,43.4,44.5,41.9,7
2002-02-17,MANDURAH,lpg,41.9,43.2,44.5,41.9,7
2002-02-18,MANDURAH,lpg,41.9,43.2,44.5,41.9,7
2002-02-19,MANDURAH,lpg,41.9,43.1,44.5,41.9,7
2002-02-20,MANDURAH,lpg,41.9,43.0,44.5,41.9,7
2002-02-21,MANDURAH,lpg,41.9,42.6,44.5,41.9,7
2002-02-22,MANDURAH,lpg,40.9,42.4,44.5,40.9,7
2002-02-23,MANDURAH,lpg,40.9,42.3,44.5,40.9,7
2002-02-24,MANDURAH,lpg,40.9,42.3,44.5,40.9,7
2002-02-25,MANDURAH,lpg,40.9,42.8,46.9,40.9,7
2002-02-26,MANDURAH,lpg,40.9,42.6,46.9,40.9,7
2002-02-27,MANDURAH,lpg,40.9,43.8,45.9,40.9,7
2002-02-28,MANDURAH,lpg,40.9,43.9,45.9,40.9,7
2003-01-01,MANDURAH,lpg,47.9,48.1,48.9,47.9,6
2003-01-02,MANDURAH,lpg,47.9,48.1,48.9,47.9,6
2003-01-03,MANDURAH,lpg,47.9,48.1,48.9,47.9,6
2003-01-04,MANDURAH,lpg,47.9,48.1,48.9,47.9,6
2003-01-05,MANDURAH,lpg,47.9,50.4,54.9,47.9,6
2003-01-06,MANDURAH,lpg,47.9,51.6,54.9,47.9,6
2003-01-07,MANDURAH,lpg,47.9,52.7,54.9,47.9,6
2003-01-08,MANDURAH,lpg,47.9,53.4,54.9,47.9,6
2003-01-09,MANDURAH,lpg,47.9,53.3,54.9,47.9,6
2003-01-10,MANDURAH,lpg,47.9,52.2,53.9,47.9,6
2003-01-11,MANDURAH,lpg,51.9,52.4,52.9,51.9,6
2003-01-12,MANDURAH,lpg,49.9,51.6,51.9,49.9,6
2003-01-13,MANDURAH,lpg,49.5,51.5,51.9,49.5,6
2003-01-14,MANDURAH,lpg,48.9,50.7,51.9,48.9,6
