date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MANDURAH,ulp_91,81.4,83.6,86.8,81.4,14
2002-01-02,MANDURAH,ulp_91,79.9,82.1,84.2,79.9,14
2002-01-03,MANDURAH,ulp_91,79.5,81.4,83.2,79.5,14
2002-01-04,MANDURAH,ulp_91,78.3,80.4,82.9,78.3,14
2002-01-05,MANDURAH,ulp_91,77.3,79.7,82.9,77.3,14
2002-01-06,MANDURAH,ulp_91,76.5,79.2,82.9,76.5,14
2002-01-07,MANDURAH,ulp_91,75.9,78.7,82.9,75.9,14
2002-01-08,MANDURAH,ulp_91,75.3,81.0,90.1,75.3,14
2002-01-09,MANDURAH,ulp_91,76.9,85.6,90.1,76.9,14
2002-01-10,MANDURAH,ulp_91,84.3,86.7,88.9,84.3,14
2002-01-11,MANDURAH,ulp_91,83.5,85.8,87.9,83.5,14
2002-01-12,MANDURAH,ulp_91,82.5,85.0,87.5,82.5,14
2002-01-13,MANDURAH,ulp_91,81.7,84.5,87.5,81.7,14
2002-01-14,MANDURAH,ulp_91,80.9,83.2,85.5,80.9,14
2002-01-15,MANDURAH,ulp_91,79.9,81.9,84.9,79.9,14
2002-01-16,MANDURAH,ulp_91,78.9,81.6,87.9,78.9,14
2002-01-17,MANDURAH,ulp_91,78.2,84.0,87.7,78.2,14
2002-01-18,MANDURAH,ulp_91,80.9,83.3,85.2,80.9,14
2002-01-19,MANDURAH,ulp_91,80.9,82.7,84.5,80.9,14
2002-01-20,MANDURAH,ulp_91,80.2,82.3,84.5,80.2,14
2002-01-21,MANDURAH,ulp_91,79.9,81.8,83.9,79.9,14
2002-01-22,MANDURAH,ulp_91,78.9,80.8,83.9,78.9,14
2002-01-23,MANDURAH,ulp_91,77.5,79.6,81.4,77.5,14
2002-01-24,MANDURAH,ulp_91,76.9,80.9,88.1,76.9,14
2002-01-25,MANDURAH,ulp_91,77.2,83.5,87.5,77.2,14
2002-01-26,MANDURAH,ulp_91,81.9,84.0,86.5,81.9,14
2002-01-27,MANDURAH,ulp_91,80.9,83.1,86.5,80.9,14
2002-01-28,MANDURAH,ulp_91,79.5,82.1,86.5,79.5,14
2002-01-29,MANDURAH,ulp_91,78.3,81.0,86.5,78.3,14
2002-01-30,MANDURAH,ulp_91,77.3,79.2,81.5,77.3,14
2002-01-31,MANDURAH,ulp_91,76.5,79.8,84.5,76.5,14
2002-02-01,MANDURAH,ulp_91,76.9,82.9,89.1,76.9,14
2002-02-02,MANDURAH,ulp_91,79.9,83.4,89.1,79.9,14
2002-02-03,MANDURAH,ulp_91,79.2,82.0,85.8,79.2,14
2002-02-04,MANDURAH,ulp_91,78.8,80.9,83.9,78.8,14
2002-02-05,MANDURAH,ulp_91,77.9,80.2,83.9,77.9,14
2002-02-06,MANDURAH,ulp_91,77.1,79.0,81.5,77.1,14
2002-02-07,MANDURAH,ulp_91,76.5,78.5,81.5,76.5,14
2002-02-08,MANDURAH,ulp_91,75.9,78.7,81.5,75.9,14
2002-02-09,MANDURAH,ulp_91,75.9,78.7,81.5,75.9,14
2002-02-10,MANDURAH,ulp_91,76.5,80.4,90.9,76.5,14
2002-02-11,MANDURAH,ulp_91,77.5,86.4,91.2,77.5,14
2002-02-12,MANDURAH,ulp_91,78.5,86.7,90.0,78.5,14
2002-02-13,MANDURAH,ulp_91,83.5,86.4,88.7,83.5,14
2002-02-14,MANDURAH,ulp_91,83.5,85.4,87.3,83.5,14
2002-02-15,MANDURAH,ulp_91,82.7,84.5,86.5,82.7,14
2002-02-16,MANDURAH,ulp_91,81.9,83.7,86.5,81.9,14
2002-02-17,MANDURAH,ulp_91,80.9,83.2,86.5,80.9,14
2002-02-18,MANDURAH,ulp_91,78.9,82.3,86.5,78.9,14
2002-02-19,MANDURAH,ulp_91,78.5,85.1,94.1,78.5,14
2002-02-20,MANDURAH,ulp_91,80.5,87.0,93.2,80.5,14
2002-02-21,MANDURAH,ulp_91,82.9,88.0,91.2,82.9,14
2002-02-22,MANDURAH,ulp_91,85.5,87.3,89.2,85.5,14
2002-02-23,MANDURAH,ulp_91,84.5,86.3,88.9,84.5,14
2002-02-24,MANDURAH,ulp_91,83.5,85.4,88.9,83.5,14
2002-02-25,MANDURAH,ulp_91,82.5,84.9,88.9,82.5,14
2002-02-26,MANDURAH,ulp_91,81.5,83.4,85.9,81.5,14
2002-02-27,MANDURAH,ulp_91,80.7,82.6,85.9,80.7,14
2002-02-28,MANDURAH,ulp_91,79.9,81.9,85.9,79.9,14
2003-01-01,MANDURAH,ulp_91,93.3,97.0,100.5,93.3,11
2003-01-02,MANDURAH,ulp_91,91.9,95.0,98.7,91.9,11
2003-01-03,MANDURAH,ulp_91,90.9,93.4,96.0,90.9,11
2003-01-04,MANDURAH,ulp_91,89.7,92.0,94.4,89.7,11
2003-01-05,MANDURAH,ulp_91,88.9,91.3,93.9,88.9,11
2003-01-06,MANDURAH,ulp_91,88.7,91.1,93.9,88.7,11
2003-01-07,MANDURAH,ulp_91,88.7,91.0,93.4,88.7,11
2003-01-08,MANDURAH,ulp_91,88.7,94.5,102.4,88.7,11
2003-01-09,MANDURAH,ulp_91,91.9,99.0,102.9,91.9,11
2003-01-10,MANDURAH,ulp_91,96.7,98.8,101.9,96.7,11
2003-01-11,MANDURAH,ulp_91,95.7,97.6,99.9,95.7,11
2003-01-12,MANDURAH,ulp_91,94.5,96.6,98.9,94.5,11
2003-01-13,MANDURAH,ulp_91,93.5,95.4,97.7,93.5,11
2003-01-14,MANDURAH,ulp_91,91.9,94.1,96.5,91.9,11
2003-01-15,MANDURAH,ulp_91,90.7,93.0,95.5,90.7,11
2003-01-16,MANDURAH,ulp_91,90.3,92.2,94.7,90.3,11
2003-01-17,MANDURAH,ulp_91,89.2,93.8,102.8,89.2,11
2003-01-18,MANDURAH,ulp_91,89.5,98.5,102.9,89.5,11
