date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,MANJIMUP,premium_95,101.5,103.7,106.9,101.5,6
2004-01-02,MANJIMUP,premium_95,101.5,103.7,106.9,101.5,6
2004-01-03,MANJIMUP,premium_95,101.5,103.9,106.9,101.5,6
2004-01-04,MANJIMUP,premium_95,101.5,103.9,106.9,101.5,6
2004-01-05,MANJIMUP,premium_95,101.5,103.9,106.9,101.5,6
2004-01-06,MANJIMUP,premium_95,102.1,104.2,106.9,102.1,6
2004-01-07,MANJIMUP,premium_95,102.8,104.5,106.9,102.8,6
2004-01-08,MANJIMUP,premium_95,102.8,104.5,106.9,102.8,6
2004-01-09,MANJIMUP,premium_95,102.8,104.5,106.9,102.8,6
2004-01-10,MANJIMUP,premium_95,102.9,104.6,106.9,102.9,6
2004-01-11,MANJIMUP,premium_95,102.9,104.6,106.9,102.9,6
2004-01-12,MANJIMUP,premium_95,102.9,104.6,106.9,102.9,6
2004-01-13,MANJIMUP,premium_95,102.9,105.0,108.9,102.9,6
2004-01-14,MANJIMUP,premium_95,102.9,105.1,108.9,102.9,6
2004-01-15,MANJIMUP,premium_95,102.9,105.2,108.9,102.9,6
2004-01-16,MANJIMUP,premium_95,102.9,105.8,109.5,102.9,6
2004-01-17,MANJIMUP,premium_95,102.9,106.3,109.5,102.9,6
2004-01-18,MANJIMUP,premium_95,102.9,106.3,109.5,102.9,6
2004-01-19,MANJIMUP,premium_95,102.9,106.3,109.5,102.9,6
2004-01-20,MANJIMUP,premium_95,102.9,106.3,109.5,102.9,6
2004-01-21,MANJIMUP,premium_95,102.9,106.3,109.5,102.9,6
2004-01-22,MANJIMUP,premium_95,105.0,107.0,109.5,105.0,6
2004-01-23,MANJIMUP,premium_95,105.0,107.0,109.5,105.0,6
2004-01-24,MANJIMUP,premium_95,105.5,107.2,109.5,105.5,6
2004-01-25,MANJIMUP,premium_95,105.8,107.2,109.5,105.8,6
2004-01-26,MANJIMUP,premium_95,105.8,107.2,109.5,105.8,6
2004-01-27,MANJIMUP,premium_95,105.8,107.2,109.5,105.8,6
2004-01-28,MANJIMUP,premium_95,105.9,107.2,109.5,105.9,6
2004-01-29,MANJIMUP,premium_95,105.9,107.3,109.5,105.9,6
2004-01-30,MANJIMUP,premium_95,105.9,107.3,109.5,105.9,6
2004-01-31,MANJIMUP,premium_95,105.9,107.3,109.5,105.9,6
2004-02-01,MANJIMUP,premium_95,105.9,107.3,109.5,105.9,6
2004-02-02,MANJIMUP,premium_95,105.9,107.3,109.5,105.9,6
2004-02-03,MANJIMUP,premium_95,105.0,107.1,109.5,105.0,6
2004-02-04,MANJIMUP,premium_95,105.0,106.6,108.9,105.0,6
2004-02-05,MANJIMUP,premium_95,105.0,106.7,108.9,105.0,6
2004-02-06,MANJIMUP,premium_95,104.0,106.5,108.9,104.0,6
2004-02-07,MANJIMUP,premium_95,103.9,105.8,106.9,103.9,6
2004-02-08,MANJIMUP,premium_95,103.9,105.8,106.9,103.9,6
2004-02-09,MANJIMUP,premium_95,103.9,105.8,106.9,103.9,6
2004-02-10,MANJIMUP,premium_95,103.9,105.9,106.9,103.9,6
2004-02-11,MANJIMUP,premium_95,103.9,105.9,106.9,103.9,6
2004-02-12,MANJIMUP,premium_95,103.9,105.9,106.9,103.9,6
2004-02-13,MANJIMUP,premium_95,103.9,105.6,107.0,103.9,6
2004-02-14,MANJIMUP,premium_95,102.0,104.5,106.9,102.0,6
2004-02-15,MANJIMUP,premium_95,101.9,104.2,106.9,101.9,6
2004-02-16,MANJIMUP,premium_95,101.9,104.2,106.9,101.9,6
2004-02-17,MANJIMUP,premium_95,101.0,104.0,106.8,101.0,6
2004-02-18,MANJIMUP,premium_95,101.0,104.0,106.8,101.0,6
2004-02-19,MANJIMUP,premium_95,101.0,103.7,104.9,101.0,6
2004-02-20,MANJIMUP,premium_95,100.9,103.5,104.9,100.9,6
2004-02-21,MANJIMUP,premium_95,100.9,103.5,104.9,100.9,6
2004-02-22,MANJIMUP,premium_95,100.9,103.5,104.9,100.9,6
2004-02-23,MANJIMUP,premium_95,100.9,103.5,104.9,100.9,6
2004-02-24,MANJIMUP,premium_95,100.9,103.4,104.9,100.9,6
2004-02-25,MANJIMUP,premium_95,100.9,103.4,104.9,100.9,6
2004-02-26,MANJIMUP,premium_95,100.9,103.6,105.9,100.9,6
2004-02-27,MANJIMUP,premium_95,100.9,103.6,105.9,100.9,6
2004-02-28,MANJIMUP,premium_95,101.3,104.2,106.5,101.3,6
2004-02-29,MANJIMUP,premium_95,101.3,104.2,106.5,101.3,6
2005-01-01,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-02,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-03,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-04,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-05,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-06,MANJIMUP,premium_95,107.9,111.1,115.0,107.9,6
2005-01-07,MANJIMUP,premium_95,107.0,110.6,115.0,107.0,6
2005-01-08,MANJIMUP,premium_95,107.0,110.3,115.0,107.0,6
2005-01-09,MANJIMUP,premium_95,106.9,110.1,115.0,106.9,6
2005-01-10,MANJIMUP,premium_95,106.9,110.1,115.0,106.9,6
2005-01-11,MANJIMUP,premium_95,106.9,110.1,115.0,106.9,6
2005-01-12,MANJIMUP,premium_95,106.9,110.1,115.0,106.9,6
2005-01-13,MANJIMUP,premium_95,106.9,109.9,115.0,106.9,6
2005-01-14,MANJIMUP,premium_95,106.9,109.9,115.0,106.9,6
2005-01-15,MANJIMUP,premium_95,106.9,110.1,115.0,106.9,6
2005-01-16,MANJIMUP,premium_95,106.9,110.3,115.0,106.9,6
2005-01-17,MANJIMUP,premium_95,107.9,110.4,115.0,107.9,6
2005-01-18,MANJIMUP,premium_95,107.9,110.4,115.0,107.9,6
