date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MAYLANDS,diesel,85.5,86.7,88.9,85.5,3
2002-01-02,MAYLANDS,diesel,85.3,86.6,88.9,85.3,3
2002-01-03,MAYLANDS,diesel,85.3,86.6,88.9,85.3,3
2002-01-04,MAYLANDS,diesel,85.3,86.6,88.9,85.3,3
2002-01-05,MAYLANDS,diesel,84.3,86.3,88.9,84.3,3
2002-01-06,MAYLANDS,diesel,84.3,86.3,88.9,84.3,3
2002-01-07,MAYLANDS,diesel,84.3,86.3,88.9,84.3,3
2002-01-08,MAYLANDS,diesel,84.3,86.3,88.9,84.3,3
2002-01-09,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-10,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-11,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-12,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-13,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-14,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-15,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-16,MAYLANDS,diesel,84.3,85.6,86.9,84.3,3
2002-01-17,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-18,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-19,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-20,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-21,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-22,MAYLANDS,diesel,84.3,85.2,86.9,84.3,3
2002-01-23,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-24,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-25,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-26,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-27,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-28,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-29,MAYLANDS,diesel,83.7,85.0,86.9,83.7,3
2002-01-30,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-01-31,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-02-01,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-02-02,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-02-03,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-02-04,MAYLANDS,diesel,83.3,84.8,86.9,83.3,3
2002-02-05,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-06,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-07,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-08,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-09,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-10,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-11,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-12,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-13,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-14,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-15,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-16,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-17,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-18,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-19,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-20,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-21,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-22,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-23,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-24,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-25,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-26,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-27,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2002-02-28,MAYLANDS,diesel,83.3,83.5,83.9,83.3,3
2003-01-01,MAYLANDS,diesel,90.8,94.3,97.9,90.8,2
2003-01-02,MAYLANDS,diesel,90.8,94.3,97.9,90.8,2
2003-01-03,MAYLANDS,diesel,90.8,94.3,97.9,90.8,2
2003-01-04,MAYLANDS,diesel,90.8,95.3,99.9,90.8,2
2003-01-05,MAYLANDS,diesel,90.8,95.3,99.9,90.8,2
2003-01-06,MAYLANDS,diesel,90.8,95.3,99.9,90.8,2
2003-01-07,MAYLANDS,diesel,94.2,97.1,99.9,94.2,2
2003-01-08,MAYLANDS,diesel,94.2,97.1,99.9,94.2,2
2003-01-09,MAYLANDS,diesel,94.2,96.1,97.9,94.2,2
2003-01-10,MAYLANDS,diesel,94.2,96.1,97.9,94.2,2
2003-01-11,MAYLANDS,diesel,94.2,96.1,97.9,94.2,2
2003-01-12,MAYLANDS,diesel,94.2,96.1,97.9,94.2,2
2003-01-13,MAYLANDS,diesel,94.2,96.1,97.9,94.2,2
2003-01-14,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-15,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-16,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-17,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-18,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-19,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-20,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-21,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-22,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-23,MAYLANDS,diesel,92.9,95.4,97.9,92.9,2
2003-01-24,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-25,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-26,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-27,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-28,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-29,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-30,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-01-31,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-01,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-02,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-03,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-04,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-05,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-06,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-07,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-08,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-09,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-10,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-11,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-12,MAYLANDS,diesel,95.4,96.7,97.9,95.4,2
2003-02-13,MAYLANDS,diesel,95.4,97.7,99.9,95.4,2
2003-02-14,MAYLANDS,diesel,95.4,99.2,102.9,95.4,2
2003-02-15,MAYLANDS,diesel,95.4,99.2,102.9,95.4,2
2003-02-16,MAYLANDS,diesel,95.4,99.2,102.9,95.4,2
2003-02-17,MAYLANDS,diesel,97.5,100.2,102.9,97.5,2
2003-02-18,MAYLANDS,diesel,97.5,100.2,102.9,97.5,2
2003-02-19,MAYLANDS,diesel,97.5,100.2,102.9,97.5,2
2003-02-20,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-21,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-22,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-23,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-24,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-25,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-26,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-27,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2003-02-28,MAYLANDS,diesel,102.2,102.6,102.9,102.2,2
2004-01-01,MAYLANDS,diesel,89.4,89.4,89.4,89.4,1
2004-01-02,MAYLANDS,diesel,89.4,89.4,89.4,89.4,1
2004-01-03,MAYLANDS,diesel,89.4,89.4,89.4,89.4,1
2004-01-04,MAYLANDS,diesel,89.4,89.4,89.4,89.4,1
