date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MEADOW SPRINGS,lpg,44.9,44.9,44.9,44.9,2
2002-01-02,MEADOW SPRINGS,lpg,44.9,44.9,44.9,44.9,2
2002-01-03,MEADOW SPRINGS,lpg,44.9,44.9,44.9,44.9,2
2002-01-04,MEADOW SPRINGS,lpg,44.9,44.9,44.9,44.9,2
2002-01-05,MEADOW SPRINGS,lpg,44.5,44.7,44.9,44.5,2
2002-01-06,MEADOW SPRINGS,lpg,44.5,44.7,44.9,44.5,2
2002-01-07,MEADOW SPRINGS,lpg,44.5,44.7,44.9,44.5,2
2002-01-08,MEADOW SPRINGS,lpg,44.5,44.7,44.9,44.5,2
2002-01-09,MEADOW SPRINGS,lpg,44.3,44.6,44.9,44.3,2
2002-01-10,MEADOW SPRINGS,lpg,44.3,44.6,44.9,44.3,2
2002-01-11,MEADOW SPRINGS,lpg,44.3,46.1,47.9,44.3,2
2002-01-12,MEADOW SPRINGS,lpg,44.7,46.3,47.9,44.7,2
2002-01-13,MEADOW SPRINGS,lpg,44.7,46.3,47.9,44.7,2
2002-01-14,MEADOW SPRINGS,lpg,44.7,46.3,47.9,44.7,2
2002-01-15,MEADOW SPRINGS,lpg,46.3,46.6,46.9,46.3,2
2002-01-16,MEADOW SPRINGS,lpg,46.2,46.5,46.9,46.2,2
2002-01-17,MEADOW SPRINGS,lpg,46.2,46.5,46.9,46.2,2
2002-01-18,MEADOW SPRINGS,lpg,43.9,44.0,44.2,43.9,2
2002-01-19,MEADOW SPRINGS,lpg,43.9,44.0,44.2,43.9,2
2002-01-20,MEADOW SPRINGS,lpg,43.9,44.0,44.2,43.9,2
2002-01-21,MEADOW SPRINGS,lpg,43.9,44.0,44.2,43.9,2
2002-01-22,MEADOW SPRINGS,lpg,43.7,43.8,43.9,43.7,2
2002-01-23,MEADOW SPRINGS,lpg,43.7,43.8,43.9,43.7,2
2002-01-24,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-25,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-26,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-27,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-28,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-29,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-30,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-01-31,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-02-01,MEADOW SPRINGS,lpg,43.5,43.5,43.5,43.5,2
2002-02-02,MEADOW SPRINGS,lpg,43.5,44.7,45.9,43.5,2
2002-02-03,MEADOW SPRINGS,lpg,43.5,44.7,45.9,43.5,2
2002-02-04,MEADOW SPRINGS,lpg,43.5,44.7,45.9,43.5,2
2002-02-05,MEADOW SPRINGS,lpg,43.5,43.7,43.9,43.5,2
2002-02-06,MEADOW SPRINGS,lpg,43.7,43.8,43.9,43.7,2
2002-02-07,MEADOW SPRINGS,lpg,43.7,43.8,43.9,43.7,2
2002-02-08,MEADOW SPRINGS,lpg,43.7,44.8,45.9,43.7,2
2002-02-09,MEADOW SPRINGS,lpg,43.7,44.8,45.9,43.7,2
2002-02-10,MEADOW SPRINGS,lpg,43.7,44.8,45.9,43.7,2
2002-02-11,MEADOW SPRINGS,lpg,43.7,44.8,45.9,43.7,2
2002-02-12,MEADOW SPRINGS,lpg,43.5,43.6,43.7,43.5,2
2002-02-13,MEADOW SPRINGS,lpg,43.7,43.7,43.7,43.7,2
2002-02-14,MEADOW SPRINGS,lpg,43.5,43.5,43.5,43.5,2
2002-02-15,MEADOW SPRINGS,lpg,43.5,43.6,43.7,43.5,2
2002-02-16,MEADOW SPRINGS,lpg,43.3,43.4,43.5,43.3,2
2002-02-17,MEADOW SPRINGS,lpg,43.3,43.4,43.5,43.3,2
2002-02-18,MEADOW SPRINGS,lpg,43.3,43.4,43.5,43.3,2
2002-02-19,MEADOW SPRINGS,lpg,42.9,43.1,43.3,42.9,2
2002-02-20,MEADOW SPRINGS,lpg,42.7,42.8,42.9,42.7,2
2002-02-21,MEADOW SPRINGS,lpg,42.7,42.8,42.9,42.7,2
2002-02-22,MEADOW SPRINGS,lpg,41.9,41.9,41.9,41.9,2
2002-02-23,MEADOW SPRINGS,lpg,40.9,41.4,41.9,40.9,2
