date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2019-01-01,MERU,diesel,151.8,151.8,151.8,151.8,1
2019-01-02,MERU,diesel,151.8,151.8,151.8,151.8,1
2019-01-03,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-04,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-05,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-06,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-07,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-08,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-09,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-10,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-11,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-12,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-13,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-14,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-15,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-16,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-17,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-18,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-19,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-20,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-21,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-22,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-23,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-24,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-25,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-26,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-27,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-28,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-29,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-30,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-01-31,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-01,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-02,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-03,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-04,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-05,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-06,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-07,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-08,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-09,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-10,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-11,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-12,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-13,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-14,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-15,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-16,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-17,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-18,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-19,MERU,diesel,146.8,146.8,146.8,146.8,1
2019-02-20,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-21,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-22,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-23,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-24,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-25,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-26,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-27,MERU,diesel,147.8,147.8,147.8,147.8,1
2019-02-28,MERU,diesel,147.8,147.8,147.8,147.8,1
2020-01-01,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-02,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-03,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-04,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-05,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-06,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-07,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-08,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-09,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-10,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-11,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-12,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-13,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-14,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-15,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-16,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-17,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-18,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-19,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-20,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-21,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-22,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-23,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-24,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-25,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-26,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-27,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-28,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-29,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-30,MERU,diesel,152.8,152.8,152.8,152.8,1
2020-01-31,MERU,diesel,150.8,150.8,150.8,150.8,1
2021-01-01,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-02,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-03,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-04,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-05,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-06,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-07,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-08,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-09,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-10,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-11,MERU,diesel,109.9,116.8,123.8,109.9,2
2021-01-12,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-13,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-14,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-15,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-16,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-17,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-18,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-19,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-20,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-21,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-22,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-23,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-24,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-25,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-26,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-27,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-28,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-29,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-30,MERU,diesel,113.9,119.8,125.8,113.9,2
2021-01-31,MERU,diesel,113.9,119.8,125.8,113.9,2
2022-01-01,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-02,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-03,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-04,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-05,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-06,MERU,diesel,158.8,161.3,163.8,158.8,2
2022-01-07,MERU,diesel,158.8,162.3,165.8,158.8,2
2022-01-08,MERU,diesel,158.8,162.3,165.8,158.8,2
2022-01-09,MERU,diesel,158.8,162.3,165.8,158.8,2
2022-01-10,MERU,diesel,158.8,162.3,165.8,158.8,2
2022-01-11,MERU,diesel,158.8,162.3,165.8,158.8,2
2022-01-12,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-13,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-14,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-15,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-16,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-17,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-18,MERU,diesel,158.8,163.8,168.8,158.8,2
2022-01-19,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-20,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-21,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-22,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-23,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-24,MERU,diesel,158.8,165.8,172.8,158.8,2
2022-01-25,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-26,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-27,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-28,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-29,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-30,MERU,diesel,158.8,167.3,175.8,158.8,2
2022-01-31,MERU,diesel,158.8,167.3,175.8,158.8,2
2023-01-01,MERU,diesel,206.8,207.9,208.9,206.8,2
2023-01-02,MERU,diesel,206.8,207.9,208.9,206.8,2
2023-01-03,MERU,diesel,206.8,207.9,208.9,206.8,2
2023-01-04,MERU,diesel,204.8,206.9,208.9,204.8,2
2023-01-05,MERU,diesel,204.8,206.9,208.9,204.8,2
2023-01-06,MERU,diesel,202.8,205.9,208.9,202.8,2
2023-01-07,MERU,diesel,202.8,205.9,208.9,202.8,2
2023-01-08,MERU,diesel,202.8,205.9,208.9,202.8,2
2023-01-09,MERU,diesel,202.8,205.9,208.9,202.8,2
2023-01-10,MERU,diesel,202.8,205.9,208.9,202.8,2
2023-01-11,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-12,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-13,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-14,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-15,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-16,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-17,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-18,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-19,MERU,diesel,199.8,201.4,202.9,199.8,2
2023-01-20,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-21,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-22,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-23,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-24,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-25,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-26,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-27,MERU,diesel,201.8,202.4,202.9,201.8,2
2023-01-28,MERU,diesel,196.8,199.3,201.8,196.8,2
2023-01-29,MERU,diesel,196.8,199.3,201.8,196.8,2
2023-01-30,MERU,diesel,196.8,199.3,201.8,196.8,2
2023-01-31,MERU,diesel,196.8,199.3,201.8,196.8,2
2024-01-01,MERU,diesel,181.9,184.9,187.8,181.9,2
2024-01-02,MERU,diesel,181.9,184.9,187.8,181.9,2
2024-01-03,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-04,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-05,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-06,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-07,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-08,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-09,MERU,diesel,181.9,183.4,184.8,181.9,2
2024-01-10,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-11,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-12,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-13,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-14,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-15,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-16,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-17,MERU,diesel,181.9,184.4,186.8,181.9,2
2024-01-18,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-19,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-20,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-21,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-22,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-23,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-24,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-25,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-26,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-27,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-28,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-29,MERU,diesel,181.9,185.9,189.8,181.9,2
2024-01-30,MERU,diesel,186.9,190.9,194.8,186.9,2
2024-01-31,MERU,diesel,191.9,193.4,194.8,191.9,2
2025-01-01,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-02,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-03,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-04,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-05,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-06,MERU,diesel,177.8,178.9,179.9,177.8,2
2025-01-07,MERU,diesel,179.8,179.9,179.9,179.8,2
