date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2012-01-01,MIDDLE SWAN,premium_98,154.9,154.9,154.9,154.9,1
2012-01-02,MIDDLE SWAN,premium_98,152.9,152.9,152.9,152.9,1
2012-01-03,MIDDLE SWAN,premium_98,150.9,150.9,150.9,150.9,1
2012-01-04,MIDDLE SWAN,premium_98,148.9,148.9,148.9,148.9,1
2012-01-05,MIDDLE SWAN,premium_98,161.9,161.9,161.9,161.9,1
2012-01-06,MIDDLE SWAN,premium_98,159.9,159.9,159.9,159.9,1
2012-01-07,MIDDLE SWAN,premium_98,157.9,157.9,157.9,157.9,1
2012-01-08,MIDDLE SWAN,premium_98,155.9,155.9,155.9,155.9,1
2012-01-09,MIDDLE SWAN,premium_98,153.9,153.9,153.9,153.9,1
2012-01-10,MIDDLE SWAN,premium_98,151.9,151.9,151.9,151.9,1
2012-01-11,MIDDLE SWAN,premium_98,149.9,149.9,149.9,149.9,1
2012-01-12,MIDDLE SWAN,premium_98,163.9,163.9,163.9,163.9,1
2012-01-13,MIDDLE SWAN,premium_98,161.9,161.9,161.9,161.9,1
2012-01-14,MIDDLE SWAN,premium_98,159.9,159.9,159.9,159.9,1
2012-01-15,MIDDLE SWAN,premium_98,157.9,157.9,157.9,157.9,1
2012-01-16,MIDDLE SWAN,premium_98,155.9,155.9,155.9,155.9,1
2012-01-17,MIDDLE SWAN,premium_98,153.9,153.9,153.9,153.9,1
2012-01-18,MIDDLE SWAN,premium_98,151.9,151.9,151.9,151.9,1
2012-01-19,MIDDLE SWAN,premium_98,164.9,164.9,164.9,164.9,1
2012-01-20,MIDDLE SWAN,premium_98,163.9,163.9,163.9,163.9,1
2012-01-21,MIDDLE SWAN,premium_98,160.9,160.9,160.9,160.9,1
2012-01-22,MIDDLE SWAN,premium_98,158.9,158.9,158.9,158.9,1
2012-01-23,MIDDLE SWAN,premium_98,156.9,156.9,156.9,156.9,1
2012-01-24,MIDDLE SWAN,premium_98,154.9,154.9,154.9,154.9,1
2012-01-25,MIDDLE SWAN,premium_98,152.9,152.9,152.9,152.9,1
2012-01-26,MIDDLE SWAN,premium_98,164.9,164.9,164.9,164.9,1
2012-01-27,MIDDLE SWAN,premium_98,162.9,162.9,162.9,162.9,1
2012-01-28,MIDDLE SWAN,premium_98,160.9,160.9,160.9,160.9,1
2012-01-29,MIDDLE SWAN,premium_98,158.9,158.9,158.9,158.9,1
2012-01-30,MIDDLE SWAN,premium_98,156.9,156.9,156.9,156.9,1
2012-01-31,MIDDLE SWAN,premium_98,154.9,154.9,154.9,154.9,1
2012-02-01,MIDDLE SWAN,premium_98,152.9,152.9,152.9,152.9,1
2012-02-02,MIDDLE SWAN,premium_98,164.9,164.9,164.9,164.9,1
2012-02-03,MIDDLE SWAN,premium_98,162.9,162.9,162.9,162.9,1
2012-02-04,MIDDLE SWAN,premium_98,160.9,160.9,160.9,160.9,1
2012-02-05,MIDDLE SWAN,premium_98,158.9,158.9,158.9,158.9,1
2012-02-06,MIDDLE SWAN,premium_98,156.9,156.9,156.9,156.9,1
2012-02-07,MIDDLE SWAN,premium_98,154.9,154.9,154.9,154.9,1
2012-02-08,MIDDLE SWAN,premium_98,152.9,152.9,152.9,152.9,1
2012-02-09,MIDDLE SWAN,premium_98,163.9,163.9,163.9,163.9,1
2012-02-10,MIDDLE SWAN,premium_98,161.9,161.9,161.9,161.9,1
2012-02-11,MIDDLE SWAN,premium_98,159.9,159.9,159.9,159.9,1
2012-02-12,MIDDLE SWAN,premium_98,157.9,157.9,157.9,157.9,1
2012-02-13,MIDDLE SWAN,premium_98,155.9,155.9,155.9,155.9,1
2012-02-14,MIDDLE SWAN,premium_98,153.9,153.9,153.9,153.9,1
2012-02-15,MIDDLE SWAN,premium_98,151.9,151.9,151.9,151.9,1
2012-02-16,MIDDLE SWAN,premium_98,164.9,164.9,164.9,164.9,1
