date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2021-01-01,MIDLAND,premium_98,143.7,143.7,143.7,143.7,1
2021-01-02,MIDLAND,premium_98,131.7,131.7,131.7,131.7,1
2021-01-03,MIDLAND,premium_98,126.7,126.7,126.7,126.7,1
2021-01-04,MIDLAND,premium_98,125.7,125.7,125.7,125.7,1
2021-01-05,MIDLAND,premium_98,121.7,121.7,121.7,121.7,1
2021-01-06,MIDLAND,premium_98,165.7,165.7,165.7,165.7,1
2021-01-07,MIDLAND,premium_98,155.7,155.7,155.7,155.7,1
2021-01-08,MIDLAND,premium_98,140.9,140.9,140.9,140.9,1
2021-01-09,MIDLAND,premium_98,133.7,133.7,133.7,133.7,1
2021-01-10,MIDLAND,premium_98,127.7,127.7,127.7,127.7,1
2021-01-11,MIDLAND,premium_98,124.7,124.7,124.7,124.7,1
2021-01-12,MIDLAND,premium_98,122.7,122.7,122.7,122.7,1
2021-01-13,MIDLAND,premium_98,167.7,167.7,167.7,167.7,1
2021-01-14,MIDLAND,premium_98,153.7,153.7,153.7,153.7,1
2021-01-15,MIDLAND,premium_98,143.7,143.7,143.7,143.7,1
2021-01-16,MIDLAND,premium_98,135.9,135.9,135.9,135.9,1
2021-01-17,MIDLAND,premium_98,131.7,131.7,131.7,131.7,1
2021-01-18,MIDLAND,premium_98,123.7,123.7,123.7,123.7,1
2021-01-19,MIDLAND,premium_98,125.7,125.7,125.7,125.7,1
2021-01-20,MIDLAND,premium_98,170.9,170.9,170.9,170.9,1
2021-01-21,MIDLAND,premium_98,159.7,159.7,159.7,159.7,1
2021-01-22,MIDLAND,premium_98,149.7,149.7,149.7,149.7,1
2021-01-23,MIDLAND,premium_98,139.7,139.7,139.7,139.7,1
2021-01-24,MIDLAND,premium_98,131.7,131.7,131.7,131.7,1
2021-01-25,MIDLAND,premium_98,129.9,129.9,129.9,129.9,1
2021-01-26,MIDLAND,premium_98,127.7,127.7,127.7,127.7,1
2021-01-27,MIDLAND,premium_98,170.7,170.7,170.7,170.7,1
2021-01-28,MIDLAND,premium_98,161.7,161.7,161.7,161.7,1
2021-01-29,MIDLAND,premium_98,147.7,147.7,147.7,147.7,1
2021-01-30,MIDLAND,premium_98,137.7,137.7,137.7,137.7,1
2021-01-31,MIDLAND,premium_98,133.7,133.7,133.7,133.7,1
2022-01-01,MIDLAND,premium_98,192.9,192.9,192.9,192.9,1
2022-01-02,MIDLAND,premium_98,189.1,189.1,189.1,189.1,1
2022-01-03,MIDLAND,premium_98,186.9,186.9,186.9,186.9,1
2022-01-04,MIDLAND,premium_98,183.9,183.9,183.9,183.9,1
2022-01-05,MIDLAND,premium_98,179.9,179.9,179.9,179.9,1
