date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MIDVALE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-02,MIDVALE,premium_95,85.9,85.9,85.9,85.9,1
2002-01-03,MIDVALE,premium_95,85.9,85.9,85.9,85.9,1
2002-01-04,MIDVALE,premium_95,83.9,83.9,83.9,83.9,1
2002-01-05,MIDVALE,premium_95,83.2,83.2,83.2,83.2,1
2002-01-06,MIDVALE,premium_95,83.2,83.2,83.2,83.2,1
2002-01-07,MIDVALE,premium_95,82.5,82.5,82.5,82.5,1
2002-01-08,MIDVALE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,MIDVALE,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,MIDVALE,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,MIDVALE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-12,MIDVALE,premium_95,87.2,87.2,87.2,87.2,1
2002-01-13,MIDVALE,premium_95,86.3,86.3,86.3,86.3,1
2002-01-14,MIDVALE,premium_95,85.3,85.3,85.3,85.3,1
2002-01-15,MIDVALE,premium_95,83.8,83.8,83.8,83.8,1
2002-01-16,MIDVALE,premium_95,83.7,83.7,83.7,83.7,1
2002-01-17,MIDVALE,premium_95,90.6,90.6,90.6,90.6,1
2002-01-18,MIDVALE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-19,MIDVALE,premium_95,86.9,86.9,86.9,86.9,1
2002-01-20,MIDVALE,premium_95,86.9,86.9,86.9,86.9,1
2002-01-21,MIDVALE,premium_95,85.3,85.3,85.3,85.3,1
2002-01-22,MIDVALE,premium_95,84.3,84.3,84.3,84.3,1
2002-01-23,MIDVALE,premium_95,82.9,82.9,82.9,82.9,1
2002-01-24,MIDVALE,premium_95,90.9,90.9,90.9,90.9,1
2002-01-25,MIDVALE,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,MIDVALE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-27,MIDVALE,premium_95,86.9,86.9,86.9,86.9,1
