date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MINDARIE,lpg,44.1,44.3,44.5,44.1,2
2002-01-02,MINDARIE,lpg,44.1,44.3,44.5,44.1,2
2002-01-03,MINDARIE,lpg,44.1,44.3,44.5,44.1,2
2002-01-04,MINDARIE,lpg,44.1,44.3,44.5,44.1,2
2002-01-05,MINDARIE,lpg,43.3,43.9,44.5,43.3,2
2002-01-06,MINDARIE,lpg,43.3,43.9,44.5,43.3,2
2002-01-07,MINDARIE,lpg,43.3,43.9,44.5,43.3,2
2002-01-08,MINDARIE,lpg,43.3,43.9,44.5,43.3,2
2002-01-09,MINDARIE,lpg,43.3,43.9,44.5,43.3,2
2002-01-10,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-11,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-12,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-13,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-14,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-15,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-16,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-17,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-18,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-19,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-20,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-21,MINDARIE,lpg,44.3,44.4,44.5,44.3,2
2002-01-22,MINDARIE,lpg,44.2,44.2,44.2,44.2,2
2002-01-23,MINDARIE,lpg,44.2,44.2,44.2,44.2,2
2002-01-24,MINDARIE,lpg,43.7,44.0,44.2,43.7,2
2002-01-25,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-01-26,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-01-27,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-01-28,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-01-29,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-01-30,MINDARIE,lpg,43.3,43.6,43.9,43.3,2
2002-01-31,MINDARIE,lpg,43.3,43.6,43.9,43.3,2
2002-02-01,MINDARIE,lpg,43.3,43.6,43.9,43.3,2
2002-02-02,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-02-03,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-02-04,MINDARIE,lpg,43.7,43.8,43.9,43.7,2
2002-02-05,MINDARIE,lpg,43.7,44.0,44.2,43.7,2
2002-02-06,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-07,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-08,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-09,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-10,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-11,MINDARIE,lpg,44.0,44.1,44.2,44.0,2
2002-02-12,MINDARIE,lpg,43.9,43.9,43.9,43.9,2
2002-02-13,MINDARIE,lpg,43.9,44.0,44.0,43.9,2
2002-02-14,MINDARIE,lpg,43.5,43.7,43.9,43.5,2
2002-02-15,MINDARIE,lpg,43.5,43.8,44.0,43.5,2
2002-02-16,MINDARIE,lpg,41.7,42.6,43.5,41.7,2
2002-02-17,MINDARIE,lpg,41.7,42.6,43.5,41.7,2
2002-02-18,MINDARIE,lpg,41.7,42.6,43.5,41.7,2
2002-02-19,MINDARIE,lpg,41.7,41.7,41.7,41.7,2
2002-02-20,MINDARIE,lpg,41.7,41.7,41.7,41.7,2
2002-02-21,MINDARIE,lpg,41.7,41.7,41.7,41.7,2
2002-02-22,MINDARIE,lpg,41.7,41.7,41.7,41.7,2
2002-02-23,MINDARIE,lpg,41.7,41.7,41.7,41.7,2
2002-02-24,MINDARIE,lpg,40.9,41.3,41.7,40.9,2
2002-02-25,MINDARIE,lpg,40.9,41.3,41.7,40.9,2
2002-02-26,MINDARIE,lpg,39.9,40.2,40.5,39.9,2
2002-02-27,MINDARIE,lpg,39.9,40.2,40.5,39.9,2
2002-02-28,MINDARIE,lpg,45.9,45.9,45.9,45.9,2
2003-01-01,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-02,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-03,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-04,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-05,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-06,MINDARIE,lpg,47.9,49.9,51.9,47.9,2
2003-01-07,MINDARIE,lpg,47.9,51.4,54.9,47.9,2
2003-01-08,MINDARIE,lpg,47.9,51.4,54.9,47.9,2
