date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-02,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-03,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-04,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-05,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-06,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-07,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-08,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-09,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-10,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-11,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-12,MIRA MAR,premium_98,145.9,145.9,145.9,145.9,1
2015-01-13,MIRA MAR,premium_98,143.9,143.9,143.9,143.9,1
2015-01-14,MIRA MAR,premium_98,143.9,143.9,143.9,143.9,1
2015-01-15,MIRA MAR,premium_98,143.9,143.9,143.9,143.9,1
2015-01-16,MIRA MAR,premium_98,143.9,143.9,143.9,143.9,1
2015-01-17,MIRA MAR,premium_98,140.9,140.9,140.9,140.9,1
2015-01-18,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-19,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-20,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-21,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-22,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-23,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-24,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-25,MIRA MAR,premium_98,137.9,137.9,137.9,137.9,1
2015-01-26,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-01-27,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-01-28,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-01-29,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-01-30,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-01-31,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-01,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-02,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-03,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-04,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-05,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-06,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-07,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-08,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-09,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-10,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-11,MIRA MAR,premium_98,132.9,132.9,132.9,132.9,1
2015-02-12,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-13,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-14,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-15,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-16,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-17,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-18,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-19,MIRA MAR,premium_98,144.9,144.9,144.9,144.9,1
2015-02-20,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-21,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-22,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-23,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-24,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-25,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-26,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-27,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2015-02-28,MIRA MAR,premium_98,147.9,147.9,147.9,147.9,1
2016-01-01,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-02,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-03,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-04,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-05,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-06,MIRA MAR,premium_98,141.9,141.9,141.9,141.9,1
2016-01-07,MIRA MAR,premium_98,139.9,139.9,139.9,139.9,1
