date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-02,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-03,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-04,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-05,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-06,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-07,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-08,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-09,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-10,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-11,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-12,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-13,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-14,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-15,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-16,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-17,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-18,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-19,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-20,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-21,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-22,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-23,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-24,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-25,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-26,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-27,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-28,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-29,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-30,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-01-31,MOONYOONOOKA,diesel,93.3,93.3,93.3,93.3,1
2002-02-01,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-02,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-03,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-04,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-05,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-06,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-07,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-08,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-09,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-10,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-11,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-12,MOONYOONOOKA,diesel,93.2,93.2,93.2,93.2,1
2002-02-13,MOONYOONOOKA,diesel,93.9,93.9,93.9,93.9,1
2002-02-14,MOONYOONOOKA,diesel,93.9,93.9,93.9,93.9,1
2002-02-15,MOONYOONOOKA,diesel,93.9,93.9,93.9,93.9,1
2002-02-16,MOONYOONOOKA,diesel,93.9,93.9,93.9,93.9,1
2002-02-17,MOONYOONOOKA,diesel,93.9,93.9,93.9,93.9,1
