date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,MOORA,diesel,92.9,94.9,95.9,92.9,3
2004-01-02,MOORA,diesel,92.9,94.9,95.9,92.9,3
2004-01-03,MOORA,diesel,92.9,94.9,95.9,92.9,3
2004-01-04,MOORA,diesel,92.9,94.9,95.9,92.9,3
2004-01-05,MOORA,diesel,92.9,94.9,95.9,92.9,3
2004-01-06,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-07,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-08,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-09,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-10,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-11,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-12,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-13,MOORA,diesel,94.9,95.6,95.9,94.9,3
2004-01-14,MOORA,diesel,95.9,96.6,97.9,95.9,3
2004-01-15,MOORA,diesel,95.9,96.6,97.9,95.9,3
2004-01-16,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-01-17,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-01-18,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-01-19,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-01-20,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-21,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-22,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-23,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-24,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-25,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-26,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-27,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-28,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-29,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-30,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-01-31,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-01,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-02,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-03,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-04,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-05,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-06,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-07,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-08,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-09,MOORA,diesel,95.9,97.2,98.9,95.9,3
2004-02-10,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-11,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-12,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-13,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-14,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-15,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-16,MOORA,diesel,95.9,96.9,97.9,95.9,3
2004-02-17,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-18,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-19,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-20,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-21,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-22,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-23,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-24,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-25,MOORA,diesel,94.9,96.6,97.9,94.9,3
2004-02-26,MOORA,diesel,94.9,96.2,96.9,94.9,3
2004-02-27,MOORA,diesel,95.9,96.6,96.9,95.9,3
2004-02-28,MOORA,diesel,95.9,96.6,96.9,95.9,3
2004-02-29,MOORA,diesel,95.9,96.6,96.9,95.9,3
2005-01-01,MOORA,diesel,108.5,108.6,108.9,108.5,3
2005-01-02,MOORA,diesel,108.5,108.6,108.9,108.5,3
2005-01-03,MOORA,diesel,108.5,108.6,108.9,108.5,3
2005-01-04,MOORA,diesel,108.5,108.6,108.9,108.5,3
2005-01-05,MOORA,diesel,108.5,108.6,108.9,108.5,3
2005-01-06,MOORA,diesel,106.9,108.0,108.5,106.9,3
2005-01-07,MOORA,diesel,106.5,106.8,106.9,106.5,3
2005-01-08,MOORA,diesel,106.5,106.6,106.9,106.5,3
2005-01-09,MOORA,diesel,106.5,106.6,106.9,106.5,3
2005-01-10,MOORA,diesel,106.5,106.6,106.9,106.5,3
2005-01-11,MOORA,diesel,105.9,106.3,106.5,105.9,3
2005-01-12,MOORA,diesel,105.5,106.0,106.5,105.5,3
2005-01-13,MOORA,diesel,105.5,106.0,106.5,105.5,3
2005-01-14,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-15,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-16,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-17,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-18,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-19,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-20,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-21,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-22,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-23,MOORA,diesel,105.5,105.6,105.9,105.5,3
2005-01-24,MOORA,diesel,105.5,105.6,105.9,105.5,3
