date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MORLEY,ulp_91,82.6,84.5,87.0,82.6,10
2002-01-02,MORLEY,ulp_91,81.5,83.3,85.2,81.5,10
2002-01-03,MORLEY,ulp_91,80.5,82.2,84.1,80.5,10
2002-01-04,MORLEY,ulp_91,79.3,81.1,83.0,79.3,10
2002-01-05,MORLEY,ulp_91,78.3,80.0,81.8,78.3,10
2002-01-06,MORLEY,ulp_91,77.5,79.6,81.8,77.5,10
2002-01-07,MORLEY,ulp_91,76.9,78.9,80.8,76.9,10
2002-01-08,MORLEY,ulp_91,76.5,82.7,91.2,76.5,10
2002-01-09,MORLEY,ulp_91,86.9,88.8,90.7,86.9,10
2002-01-10,MORLEY,ulp_91,85.9,87.7,89.5,85.9,10
2002-01-11,MORLEY,ulp_91,84.7,86.5,88.3,84.7,10
2002-01-12,MORLEY,ulp_91,83.2,85.3,87.2,83.2,10
2002-01-13,MORLEY,ulp_91,81.3,84.0,86.2,81.3,10
2002-01-14,MORLEY,ulp_91,80.2,82.2,84.3,80.2,10
2002-01-15,MORLEY,ulp_91,78.9,80.9,83.2,78.9,10
2002-01-16,MORLEY,ulp_91,77.9,81.2,88.9,77.9,10
2002-01-17,MORLEY,ulp_91,83.5,86.3,88.9,83.5,10
2002-01-18,MORLEY,ulp_91,82.5,84.4,86.5,82.5,10
2002-01-19,MORLEY,ulp_91,81.9,83.6,85.5,81.9,10
2002-01-20,MORLEY,ulp_91,80.9,83.1,85.5,80.9,10
2002-01-21,MORLEY,ulp_91,79.9,82.1,84.2,79.9,10
2002-01-22,MORLEY,ulp_91,78.7,80.6,82.9,78.7,10
2002-01-23,MORLEY,ulp_91,76.9,79.3,81.7,76.9,10
2002-01-24,MORLEY,ulp_91,76.3,81.8,89.2,76.3,10
2002-01-25,MORLEY,ulp_91,83.9,86.3,88.9,83.9,10
2002-01-26,MORLEY,ulp_91,82.5,84.7,86.9,82.5,10
2002-01-27,MORLEY,ulp_91,81.3,83.2,85.5,81.3,10
2002-01-28,MORLEY,ulp_91,78.9,81.5,83.9,78.9,10
2002-01-29,MORLEY,ulp_91,77.5,79.8,82.2,77.5,10
2002-01-30,MORLEY,ulp_91,76.5,78.5,80.5,76.5,10
2002-01-31,MORLEY,ulp_91,75.5,80.2,85.5,75.5,10
2002-02-01,MORLEY,ulp_91,81.5,85.4,90.2,81.5,10
2002-02-02,MORLEY,ulp_91,80.9,85.0,90.2,80.9,10
2002-02-03,MORLEY,ulp_91,79.5,82.5,85.8,79.5,10
2002-02-04,MORLEY,ulp_91,78.9,80.8,82.8,78.9,10
2002-02-05,MORLEY,ulp_91,77.9,79.9,81.9,77.9,10
2002-02-06,MORLEY,ulp_91,77.3,79.2,80.9,77.3,10
2002-02-07,MORLEY,ulp_91,76.9,78.8,80.7,76.9,10
2002-02-08,MORLEY,ulp_91,76.9,79.3,81.9,76.9,10
2002-02-09,MORLEY,ulp_91,75.9,79.1,81.9,75.9,10
2002-02-10,MORLEY,ulp_91,75.9,81.5,91.9,75.9,10
2002-02-11,MORLEY,ulp_91,88.5,90.6,93.2,88.5,10
2002-02-12,MORLEY,ulp_91,85.3,88.9,91.5,85.3,10
2002-02-13,MORLEY,ulp_91,84.7,86.8,89.8,84.7,10
2002-02-14,MORLEY,ulp_91,83.5,85.5,87.7,83.5,10
2002-02-15,MORLEY,ulp_91,82.5,84.1,86.0,82.5,10
2002-02-16,MORLEY,ulp_91,81.3,83.0,84.8,81.3,10
2002-02-17,MORLEY,ulp_91,79.9,82.1,83.9,79.9,10
2002-02-18,MORLEY,ulp_91,79.5,81.7,83.6,79.5,10
2002-02-19,MORLEY,ulp_91,79.5,86.6,95.2,79.5,10
2002-02-20,MORLEY,ulp_91,88.9,91.8,94.7,88.9,10
2002-02-21,MORLEY,ulp_91,87.5,89.6,92.2,87.5,10
2002-02-22,MORLEY,ulp_91,85.9,87.8,89.7,85.9,10
2002-02-23,MORLEY,ulp_91,83.9,86.3,88.6,83.9,10
2002-02-24,MORLEY,ulp_91,82.9,84.7,87.2,82.9,10
2002-02-25,MORLEY,ulp_91,81.9,84.2,87.2,81.9,10
2002-02-26,MORLEY,ulp_91,81.3,83.0,84.8,81.3,10
2002-02-27,MORLEY,ulp_91,80.3,82.1,84.2,80.3,10
2002-02-28,MORLEY,ulp_91,79.7,81.6,83.2,79.7,10
2003-01-01,MORLEY,ulp_91,94.5,97.6,100.5,94.5,10
2003-01-02,MORLEY,ulp_91,92.3,95.1,98.3,92.3,10
2003-01-03,MORLEY,ulp_91,90.9,93.6,96.5,90.9,10
2003-01-04,MORLEY,ulp_91,90.5,92.8,95.3,90.5,10
2003-01-05,MORLEY,ulp_91,89.9,92.2,94.5,89.9,10
2003-01-06,MORLEY,ulp_91,89.5,92.0,94.0,89.5,10
2003-01-07,MORLEY,ulp_91,89.5,92.0,94.4,89.5,10
2003-01-08,MORLEY,ulp_91,88.9,95.7,103.4,88.9,10
2003-01-09,MORLEY,ulp_91,98.9,101.4,103.9,98.9,10
2003-01-10,MORLEY,ulp_91,97.9,99.8,101.9,97.9,10
2003-01-11,MORLEY,ulp_91,95.9,98.6,101.5,95.9,10
2003-01-12,MORLEY,ulp_91,93.5,96.8,99.9,93.5,10
2003-01-13,MORLEY,ulp_91,92.5,95.2,97.9,92.5,10
2003-01-14,MORLEY,ulp_91,91.9,94.2,96.9,91.9,10
2003-01-15,MORLEY,ulp_91,90.9,93.2,95.9,90.9,10
2003-01-16,MORLEY,ulp_91,89.9,92.6,94.9,89.9,10
2003-01-17,MORLEY,ulp_91,89.9,96.0,103.9,89.9,10
2003-01-18,MORLEY,ulp_91,98.9,101.4,103.9,98.9,10
2003-01-19,MORLEY,ulp_91,98.5,101.0,103.9,98.5,10
2003-01-20,MORLEY,ulp_91,96.9,100.3,103.9,96.9,10
2003-01-21,MORLEY,ulp_91,95.5,99.4,103.9,95.5,10
2003-01-22,MORLEY,ulp_91,93.5,98.2,103.9,93.5,10
2003-01-23,MORLEY,ulp_91,92.5,96.5,101.9,92.5,10
2003-01-24,MORLEY,ulp_91,91.9,96.0,100.9,91.9,10
2003-01-25,MORLEY,ulp_91,91.5,95.2,98.9,91.5,10
2003-01-26,MORLEY,ulp_91,92.3,95.1,98.9,92.3,10
