date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MOSMAN PARK,ulp_91,79.5,83.1,86.5,79.5,4
2002-01-02,MOSMAN PARK,ulp_91,78.7,80.5,82.4,78.7,4
2002-01-03,MOSMAN PARK,ulp_91,77.9,79.7,81.3,77.9,4
2002-01-04,MOSMAN PARK,ulp_91,77.3,78.9,80.6,77.3,4
2002-01-05,MOSMAN PARK,ulp_91,75.9,77.9,79.7,75.9,4
2002-01-06,MOSMAN PARK,ulp_91,75.5,77.3,79.2,75.5,4
2002-01-07,MOSMAN PARK,ulp_91,75.1,76.9,78.8,75.1,4
2002-01-08,MOSMAN PARK,ulp_91,74.5,82.8,91.2,74.5,4
2002-01-09,MOSMAN PARK,ulp_91,87.4,89.0,90.7,87.4,4
2002-01-10,MOSMAN PARK,ulp_91,85.9,87.8,89.5,85.9,4
2002-01-11,MOSMAN PARK,ulp_91,84.9,86.6,88.2,84.9,4
2002-01-12,MOSMAN PARK,ulp_91,82.9,85.2,87.3,82.9,4
2002-01-13,MOSMAN PARK,ulp_91,79.5,82.8,85.9,79.5,4
2002-01-14,MOSMAN PARK,ulp_91,77.9,81.4,84.7,77.9,4
2002-01-15,MOSMAN PARK,ulp_91,77.5,80.3,82.9,77.5,4
2002-01-16,MOSMAN PARK,ulp_91,77.3,83.2,88.9,77.3,4
2002-01-17,MOSMAN PARK,ulp_91,85.5,87.1,88.9,85.5,4
2002-01-18,MOSMAN PARK,ulp_91,82.9,85.0,86.9,82.9,4
2002-01-19,MOSMAN PARK,ulp_91,82.1,84.2,85.9,82.1,4
2002-01-20,MOSMAN PARK,ulp_91,81.7,83.6,85.9,81.7,4
2002-01-21,MOSMAN PARK,ulp_91,80.1,82.2,83.9,80.1,4
2002-01-22,MOSMAN PARK,ulp_91,79.5,81.3,83.2,79.5,4
2002-01-23,MOSMAN PARK,ulp_91,77.9,79.7,81.6,77.9,4
2002-01-24,MOSMAN PARK,ulp_91,76.9,83.1,89.5,76.9,4
2002-01-25,MOSMAN PARK,ulp_91,84.9,86.8,88.5,84.9,4
2002-01-26,MOSMAN PARK,ulp_91,82.9,84.9,86.6,82.9,4
2002-01-27,MOSMAN PARK,ulp_91,82.1,83.9,85.6,82.1,4
2002-01-28,MOSMAN PARK,ulp_91,80.9,82.7,84.7,80.9,4
2002-01-29,MOSMAN PARK,ulp_91,79.2,81.0,82.7,79.2,4
2002-01-30,MOSMAN PARK,ulp_91,77.9,79.7,81.7,77.9,4
2002-01-31,MOSMAN PARK,ulp_91,76.8,78.5,80.3,76.8,4
2002-02-01,MOSMAN PARK,ulp_91,82.5,86.3,90.3,82.5,4
2002-02-02,MOSMAN PARK,ulp_91,80.9,85.5,90.3,80.9,4
2002-02-03,MOSMAN PARK,ulp_91,80.4,83.0,85.8,80.4,4
2002-02-04,MOSMAN PARK,ulp_91,79.9,81.7,83.4,79.9,4
2002-02-05,MOSMAN PARK,ulp_91,78.5,80.1,81.9,78.5,4
2002-02-06,MOSMAN PARK,ulp_91,77.3,79.2,80.9,77.3,4
2002-02-07,MOSMAN PARK,ulp_91,76.7,78.5,80.7,76.7,4
2002-02-08,MOSMAN PARK,ulp_91,76.3,78.2,80.3,76.3,4
2002-02-09,MOSMAN PARK,ulp_91,76.2,77.9,79.7,76.2,4
2002-02-10,MOSMAN PARK,ulp_91,76.2,84.2,91.9,76.2,4
2002-02-11,MOSMAN PARK,ulp_91,88.5,90.3,92.4,88.5,4
2002-02-12,MOSMAN PARK,ulp_91,86.9,89.1,90.9,86.9,4
2002-02-13,MOSMAN PARK,ulp_91,86.3,88.0,89.9,86.3,4
2002-02-14,MOSMAN PARK,ulp_91,85.1,86.8,88.7,85.1,4
2002-02-15,MOSMAN PARK,ulp_91,83.5,85.3,87.5,83.5,4
2002-02-16,MOSMAN PARK,ulp_91,81.2,83.4,85.5,81.2,4
2002-02-17,MOSMAN PARK,ulp_91,80.5,82.2,83.9,80.5,4
2002-02-18,MOSMAN PARK,ulp_91,78.7,81.2,83.9,78.7,4
2002-02-19,MOSMAN PARK,ulp_91,78.2,86.8,95.5,78.2,4
2002-02-20,MOSMAN PARK,ulp_91,90.9,92.9,94.7,90.9,4
2002-02-21,MOSMAN PARK,ulp_91,88.5,90.4,92.5,88.5,4
2002-02-22,MOSMAN PARK,ulp_91,86.5,88.5,90.7,86.5,4
2002-02-23,MOSMAN PARK,ulp_91,85.2,86.9,88.7,85.2,4
2002-02-24,MOSMAN PARK,ulp_91,83.9,85.8,87.5,83.9,4
2002-02-25,MOSMAN PARK,ulp_91,82.5,85.0,87.7,82.5,4
2002-02-26,MOSMAN PARK,ulp_91,79.7,82.5,85.1,79.7,4
2002-02-27,MOSMAN PARK,ulp_91,79.5,81.3,83.3,79.5,4
2002-02-28,MOSMAN PARK,ulp_91,79.3,81.2,83.3,79.3,4
2003-01-01,MOSMAN PARK,ulp_91,95.5,97.7,99.9,95.5,4
2003-01-02,MOSMAN PARK,ulp_91,92.7,95.3,97.9,92.7,4
2003-01-03,MOSMAN PARK,ulp_91,91.5,93.6,95.7,91.5,4
2003-01-04,MOSMAN PARK,ulp_91,89.9,92.3,94.7,89.9,4
2003-01-05,MOSMAN PARK,ulp_91,89.7,91.8,93.9,89.7,4
2003-01-06,MOSMAN PARK,ulp_91,89.7,91.8,93.9,89.7,4
2003-01-07,MOSMAN PARK,ulp_91,89.5,91.6,93.7,89.5,4
2003-01-08,MOSMAN PARK,ulp_91,88.9,91.9,94.9,88.9,4
2003-01-09,MOSMAN PARK,ulp_91,99.9,101.9,103.9,99.9,4
2003-01-10,MOSMAN PARK,ulp_91,97.9,100.3,102.7,97.9,4
2003-01-11,MOSMAN PARK,ulp_91,96.7,98.8,100.9,96.7,4
2003-01-12,MOSMAN PARK,ulp_91,93.9,96.7,99.5,93.9,4
2003-01-13,MOSMAN PARK,ulp_91,92.7,95.1,97.5,92.7,4
2003-01-14,MOSMAN PARK,ulp_91,91.9,94.2,96.5,91.9,4
2003-01-15,MOSMAN PARK,ulp_91,89.9,92.7,95.5,89.9,4
2003-01-16,MOSMAN PARK,ulp_91,89.9,92.2,94.5,89.9,4
2003-01-17,MOSMAN PARK,ulp_91,89.9,96.9,103.9,89.9,4
2003-01-18,MOSMAN PARK,ulp_91,99.9,101.9,103.9,99.9,4
2003-01-19,MOSMAN PARK,ulp_91,98.7,101.3,103.9,98.7,4
2003-01-20,MOSMAN PARK,ulp_91,97.3,100.6,103.9,97.3,4
2003-01-21,MOSMAN PARK,ulp_91,96.7,100.3,103.9,96.7,4
2003-01-22,MOSMAN PARK,ulp_91,95.7,99.8,103.9,95.7,4
2003-01-23,MOSMAN PARK,ulp_91,95.7,98.3,100.9,95.7,4
2003-01-24,MOSMAN PARK,ulp_91,95.7,98.3,100.9,95.7,4
2003-01-25,MOSMAN PARK,ulp_91,92.5,95.7,98.9,92.5,4
2003-01-26,MOSMAN PARK,ulp_91,92.5,95.7,98.9,92.5,4
2003-01-27,MOSMAN PARK,ulp_91,91.9,95.4,98.9,91.9,4
2003-01-28,MOSMAN PARK,ulp_91,91.9,95.4,98.9,91.9,4
2003-01-29,MOSMAN PARK,ulp_91,91.9,98.9,105.9,91.9,4
