date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MOUNT LAWLEY,premium_95,86.7,87.5,87.9,86.7,4
2002-01-02,MOUNT LAWLEY,premium_95,85.8,86.7,87.5,85.8,4
2002-01-03,MOUNT LAWLEY,premium_95,84.9,85.9,87.5,84.9,4
2002-01-04,MOUNT LAWLEY,premium_95,83.9,84.8,87.5,83.9,4
2002-01-05,MOUNT LAWLEY,premium_95,82.7,84.0,87.5,82.7,4
2002-01-06,MOUNT LAWLEY,premium_95,81.9,83.7,87.5,81.9,4
2002-01-07,MOUNT LAWLEY,premium_95,81.5,83.4,87.5,81.5,4
2002-01-08,MOUNT LAWLEY,premium_95,81.5,85.9,92.9,81.5,4
2002-01-09,MOUNT LAWLEY,premium_95,83.9,88.8,91.9,83.9,4
2002-01-10,MOUNT LAWLEY,premium_95,87.5,89.7,90.9,87.5,4
2002-01-11,MOUNT LAWLEY,premium_95,87.5,89.2,89.9,87.5,4
2002-01-12,MOUNT LAWLEY,premium_95,87.5,87.9,88.4,87.5,4
2002-01-13,MOUNT LAWLEY,premium_95,86.8,87.0,87.5,86.8,4
2002-01-14,MOUNT LAWLEY,premium_95,85.2,86.0,87.5,85.2,4
2002-01-15,MOUNT LAWLEY,premium_95,83.5,84.8,87.5,83.5,4
2002-01-16,MOUNT LAWLEY,premium_95,82.7,84.0,87.5,82.7,4
2002-01-17,MOUNT LAWLEY,premium_95,82.1,87.5,90.5,82.1,4
2002-01-18,MOUNT LAWLEY,premium_95,82.1,86.6,88.5,82.1,4
2002-01-19,MOUNT LAWLEY,premium_95,86.5,87.0,87.5,86.5,4
2002-01-20,MOUNT LAWLEY,premium_95,85.7,86.4,87.5,85.7,4
2002-01-21,MOUNT LAWLEY,premium_95,82.9,85.1,87.5,82.9,4
2002-01-22,MOUNT LAWLEY,premium_95,82.7,84.2,87.5,82.7,4
2002-01-23,MOUNT LAWLEY,premium_95,81.5,83.2,87.5,81.5,4
2002-01-24,MOUNT LAWLEY,premium_95,81.3,85.3,90.9,81.3,4
2002-01-25,MOUNT LAWLEY,premium_95,81.5,87.2,89.9,81.5,4
2002-01-26,MOUNT LAWLEY,premium_95,86.5,87.6,88.8,86.5,4
2002-01-27,MOUNT LAWLEY,premium_95,84.6,86.2,87.5,84.6,4
2002-01-28,MOUNT LAWLEY,premium_95,83.5,85.1,87.5,83.5,4
2002-01-29,MOUNT LAWLEY,premium_95,82.6,84.1,87.5,82.6,4
2002-01-30,MOUNT LAWLEY,premium_95,81.5,83.2,87.5,81.5,4
