date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MOUNT PLEASANT,premium_95,87.5,88.4,89.3,87.5,2
2002-01-02,MOUNT PLEASANT,premium_95,83.9,86.6,89.3,83.9,2
2002-01-03,MOUNT PLEASANT,premium_95,83.3,86.3,89.3,83.3,2
2002-01-04,MOUNT PLEASANT,premium_95,81.5,85.4,89.3,81.5,2
2002-01-05,MOUNT PLEASANT,premium_95,80.7,85.0,89.3,80.7,2
2002-01-06,MOUNT PLEASANT,premium_95,79.9,84.6,89.3,79.9,2
2002-01-07,MOUNT PLEASANT,premium_95,79.3,84.3,89.3,79.3,2
2002-01-08,MOUNT PLEASANT,premium_95,78.7,84.0,89.3,78.7,2
2002-01-09,MOUNT PLEASANT,premium_95,89.3,90.4,91.5,89.3,2
2002-01-10,MOUNT PLEASANT,premium_95,89.3,89.9,90.5,89.3,2
2002-01-11,MOUNT PLEASANT,premium_95,88.5,88.9,89.3,88.5,2
2002-01-12,MOUNT PLEASANT,premium_95,87.3,88.3,89.3,87.3,2
2002-01-13,MOUNT PLEASANT,premium_95,86.9,88.1,89.3,86.9,2
2002-01-14,MOUNT PLEASANT,premium_95,84.9,87.1,89.3,84.9,2
2002-01-15,MOUNT PLEASANT,premium_95,83.9,86.6,89.3,83.9,2
2002-01-16,MOUNT PLEASANT,premium_95,89.3,89.6,89.9,89.3,2
2002-01-17,MOUNT PLEASANT,premium_95,89.3,89.4,89.5,89.3,2
2002-01-18,MOUNT PLEASANT,premium_95,87.3,88.3,89.3,87.3,2
2002-01-19,MOUNT PLEASANT,premium_95,86.9,88.1,89.3,86.9,2
2002-01-20,MOUNT PLEASANT,premium_95,85.9,87.6,89.3,85.9,2
2002-01-21,MOUNT PLEASANT,premium_95,84.9,87.1,89.3,84.9,2
2002-01-22,MOUNT PLEASANT,premium_95,83.5,85.2,86.9,83.5,2
2002-01-23,MOUNT PLEASANT,premium_95,82.5,84.7,86.9,82.5,2
2002-01-24,MOUNT PLEASANT,premium_95,80.7,83.8,86.9,80.7,2
2002-01-25,MOUNT PLEASANT,premium_95,86.9,88.2,89.5,86.9,2
2002-01-26,MOUNT PLEASANT,premium_95,86.9,87.2,87.4,86.9,2
2002-01-27,MOUNT PLEASANT,premium_95,85.5,86.2,86.9,85.5,2
2002-01-28,MOUNT PLEASANT,premium_95,84.3,85.6,86.9,84.3,2
2002-01-29,MOUNT PLEASANT,premium_95,83.9,85.4,86.9,83.9,2
2002-01-30,MOUNT PLEASANT,premium_95,81.5,84.2,86.9,81.5,2
2002-01-31,MOUNT PLEASANT,premium_95,81.7,84.3,86.9,81.7,2
2002-02-01,MOUNT PLEASANT,premium_95,86.9,87.2,87.5,86.9,2
2002-02-02,MOUNT PLEASANT,premium_95,85.5,86.2,86.9,85.5,2
2002-02-03,MOUNT PLEASANT,premium_95,84.5,85.7,86.9,84.5,2
2002-02-04,MOUNT PLEASANT,premium_95,84.4,85.7,86.9,84.4,2
2002-02-05,MOUNT PLEASANT,premium_95,83.5,85.2,86.9,83.5,2
2002-02-06,MOUNT PLEASANT,premium_95,82.3,84.6,86.9,82.3,2
2002-02-07,MOUNT PLEASANT,premium_95,81.5,84.2,86.9,81.5,2
2002-02-08,MOUNT PLEASANT,premium_95,80.9,83.9,86.9,80.9,2
