date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MOUNT PLEASANT,ulp_91,83.5,85.3,86.5,83.5,3
2002-01-02,MOUNT PLEASANT,ulp_91,79.9,82.9,85.9,79.9,3
2002-01-03,MOUNT PLEASANT,ulp_91,79.3,82.5,85.9,79.3,3
2002-01-04,MOUNT PLEASANT,ulp_91,77.5,81.3,85.9,77.5,3
2002-01-05,MOUNT PLEASANT,ulp_91,76.7,80.8,85.9,76.7,3
2002-01-06,MOUNT PLEASANT,ulp_91,75.9,80.2,85.9,75.9,3
2002-01-07,MOUNT PLEASANT,ulp_91,75.3,79.8,85.9,75.3,3
2002-01-08,MOUNT PLEASANT,ulp_91,74.7,79.4,85.9,74.7,3
2002-01-09,MOUNT PLEASANT,ulp_91,85.9,88.0,90.5,85.9,3
2002-01-10,MOUNT PLEASANT,ulp_91,85.9,87.3,89.5,85.9,3
2002-01-11,MOUNT PLEASANT,ulp_91,84.5,86.0,87.5,84.5,3
2002-01-12,MOUNT PLEASANT,ulp_91,83.3,85.2,86.3,83.3,3
2002-01-13,MOUNT PLEASANT,ulp_91,82.9,84.9,85.9,82.9,3
2002-01-14,MOUNT PLEASANT,ulp_91,80.9,83.6,85.9,80.9,3
2002-01-15,MOUNT PLEASANT,ulp_91,79.9,82.9,85.9,79.9,3
2002-01-16,MOUNT PLEASANT,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-17,MOUNT PLEASANT,ulp_91,85.5,86.6,88.5,85.5,3
2002-01-18,MOUNT PLEASANT,ulp_91,83.3,85.2,86.3,83.3,3
2002-01-19,MOUNT PLEASANT,ulp_91,82.9,84.9,85.9,82.9,3
2002-01-20,MOUNT PLEASANT,ulp_91,81.9,84.2,85.9,81.9,3
2002-01-21,MOUNT PLEASANT,ulp_91,80.9,83.6,85.9,80.9,3
2002-01-22,MOUNT PLEASANT,ulp_91,79.5,81.5,82.5,79.5,3
2002-01-23,MOUNT PLEASANT,ulp_91,78.5,80.8,82.4,78.5,3
2002-01-24,MOUNT PLEASANT,ulp_91,76.7,79.6,82.4,76.7,3
2002-01-25,MOUNT PLEASANT,ulp_91,82.4,85.5,88.5,82.4,3
