date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-02-25,MUNDARING,premium_95,95.9,95.9,95.9,95.9,1
2004-02-26,MUNDARING,premium_95,94.9,94.9,94.9,94.9,1
2004-02-27,MUNDARING,premium_95,93.9,93.9,93.9,93.9,1
2004-02-28,MUNDARING,premium_95,93.9,93.9,93.9,93.9,1
2004-02-29,MUNDARING,premium_95,93.9,93.9,93.9,93.9,1
2005-01-01,MUNDARING,premium_95,100.9,100.9,100.9,100.9,1
2005-01-02,MUNDARING,premium_95,100.9,100.9,100.9,100.9,1
2005-01-03,MUNDARING,premium_95,100.9,100.9,100.9,100.9,1
2005-01-04,MUNDARING,premium_95,108.8,108.8,108.8,108.8,1
2005-01-05,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-01-06,MUNDARING,premium_95,103.9,103.9,103.9,103.9,1
2005-01-07,MUNDARING,premium_95,100.9,100.9,100.9,100.9,1
2005-01-08,MUNDARING,premium_95,99.9,99.9,99.9,99.9,1
2005-01-09,MUNDARING,premium_95,99.9,99.9,99.9,99.9,1
2005-01-10,MUNDARING,premium_95,99.9,99.9,99.9,99.9,1
2005-01-11,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-01-12,MUNDARING,premium_95,105.9,105.9,105.9,105.9,1
2005-01-13,MUNDARING,premium_95,101.9,101.9,101.9,101.9,1
2005-01-14,MUNDARING,premium_95,98.9,98.9,98.9,98.9,1
2005-01-15,MUNDARING,premium_95,98.9,98.9,98.9,98.9,1
2005-01-16,MUNDARING,premium_95,98.9,98.9,98.9,98.9,1
2005-01-17,MUNDARING,premium_95,98.9,98.9,98.9,98.9,1
2005-01-18,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-01-19,MUNDARING,premium_95,105.9,105.9,105.9,105.9,1
2005-01-20,MUNDARING,premium_95,103.9,103.9,103.9,103.9,1
2005-01-21,MUNDARING,premium_95,101.9,101.9,101.9,101.9,1
2005-01-22,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-23,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-24,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-25,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-26,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-27,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-28,MUNDARING,premium_95,101.5,101.5,101.5,101.5,1
2005-01-29,MUNDARING,premium_95,102.9,102.9,102.9,102.9,1
2005-01-30,MUNDARING,premium_95,102.9,102.9,102.9,102.9,1
2005-01-31,MUNDARING,premium_95,102.9,102.9,102.9,102.9,1
2005-02-01,MUNDARING,premium_95,102.9,102.9,102.9,102.9,1
2005-02-02,MUNDARING,premium_95,111.9,111.9,111.9,111.9,1
2005-02-03,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-02-04,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-05,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-06,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-07,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-08,MUNDARING,premium_95,112.8,112.8,112.8,112.8,1
2005-02-09,MUNDARING,premium_95,111.9,111.9,111.9,111.9,1
2005-02-10,MUNDARING,premium_95,109.9,109.9,109.9,109.9,1
2005-02-11,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-12,MUNDARING,premium_95,104.5,104.5,104.5,104.5,1
2005-02-13,MUNDARING,premium_95,104.5,104.5,104.5,104.5,1
2005-02-14,MUNDARING,premium_95,104.5,104.5,104.5,104.5,1
2005-02-15,MUNDARING,premium_95,104.5,104.5,104.5,104.5,1
2005-02-16,MUNDARING,premium_95,104.5,104.5,104.5,104.5,1
2005-02-17,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-02-18,MUNDARING,premium_95,105.9,105.9,105.9,105.9,1
2005-02-19,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-20,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-21,MUNDARING,premium_95,104.9,104.9,104.9,104.9,1
2005-02-22,MUNDARING,premium_95,114.8,114.8,114.8,114.8,1
2005-02-23,MUNDARING,premium_95,114.8,114.8,114.8,114.8,1
2005-02-24,MUNDARING,premium_95,109.9,109.9,109.9,109.9,1
2005-02-25,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-02-26,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-02-27,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2005-02-28,MUNDARING,premium_95,106.9,106.9,106.9,106.9,1
2006-01-01,MUNDARING,premium_95,120.9,120.9,120.9,120.9,1
2006-01-02,MUNDARING,premium_95,120.5,120.5,120.5,120.5,1
2006-01-03,MUNDARING,premium_95,120.5,120.5,120.5,120.5,1
2006-01-04,MUNDARING,premium_95,127.9,127.9,127.9,127.9,1
2006-01-05,MUNDARING,premium_95,127.9,127.9,127.9,127.9,1
2006-01-06,MUNDARING,premium_95,127.9,127.9,127.9,127.9,1
2006-01-07,MUNDARING,premium_95,126.9,126.9,126.9,126.9,1
