date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2021-01-01,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-02,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-03,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-04,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-05,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-06,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-07,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-08,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-09,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-10,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-11,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-12,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-13,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-14,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-15,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-16,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-17,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-18,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-19,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-20,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-21,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-22,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-23,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-24,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-25,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-26,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-27,MUNDIJONG,premium_98,150.0,150.0,150.0,150.0,1
2021-01-28,MUNDIJONG,premium_98,159.0,159.0,159.0,159.0,1
2021-01-29,MUNDIJONG,premium_98,159.0,159.0,159.0,159.0,1
2021-01-30,MUNDIJONG,premium_98,159.0,159.0,159.0,159.0,1
2021-01-31,MUNDIJONG,premium_98,159.0,159.0,159.0,159.0,1
2022-01-01,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-02,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-03,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-04,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-05,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-06,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-07,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-08,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-09,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-10,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-11,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-12,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-13,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-14,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-15,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-16,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-17,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-18,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-19,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-20,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-21,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-22,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-23,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-24,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-25,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-26,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-27,MUNDIJONG,premium_98,190.0,190.0,190.0,190.0,1
2022-01-28,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2022-01-29,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2022-01-30,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2022-01-31,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2023-01-01,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2023-01-02,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2023-01-03,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2023-01-04,MUNDIJONG,premium_98,199.0,199.0,199.0,199.0,1
2023-01-05,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-06,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-07,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-08,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-09,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-10,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-11,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-12,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-13,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-14,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-15,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-16,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-17,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-18,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-19,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-20,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-21,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-22,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-23,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-24,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-25,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-26,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-27,MUNDIJONG,premium_98,207.0,207.0,207.0,207.0,1
2023-01-28,MUNDIJONG,premium_98,227.0,227.0,227.0,227.0,1
2023-01-29,MUNDIJONG,premium_98,227.0,227.0,227.0,227.0,1
2023-01-30,MUNDIJONG,premium_98,227.0,227.0,227.0,227.0,1
2023-01-31,MUNDIJONG,premium_98,227.0,227.0,227.0,227.0,1
2024-01-01,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-02,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-03,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-04,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-05,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-06,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-07,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-08,MUNDIJONG,premium_98,222.0,222.0,222.0,222.0,1
2024-01-09,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-10,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-11,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-12,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-13,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-14,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-15,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-16,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-17,MUNDIJONG,premium_98,212.0,212.0,212.0,212.0,1
2024-01-18,MUNDIJONG,premium_98,215.0,215.0,215.0,215.0,1
2024-01-19,MUNDIJONG,premium_98,215.0,215.0,215.0,215.0,1
2024-01-20,MUNDIJONG,premium_98,203.0,203.0,203.0,203.0,1
2024-01-21,MUNDIJONG,premium_98,203.0,203.0,203.0,203.0,1
2024-01-22,MUNDIJONG,premium_98,203.0,203.0,203.0,203.0,1
2024-01-23,MUNDIJONG,premium_98,203.0,203.0,203.0,203.0,1
2024-01-24,MUNDIJONG,premium_98,203.0,203.0,203.0,203.0,1
2024-01-25,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-26,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-27,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-28,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-29,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-30,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2024-01-31,MUNDIJONG,premium_98,219.0,219.0,219.0,219.0,1
2025-01-01,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-02,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-03,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-04,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-05,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-06,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-07,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-08,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-09,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-10,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-11,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-12,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-13,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-14,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-15,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-16,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-17,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-18,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
2025-01-19,MUNDIJONG,premium_98,218.0,218.0,218.0,218.0,1
