date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MURDOCH,premium_95,87.8,87.8,87.8,87.8,1
2002-01-02,MURDOCH,premium_95,86.9,86.9,86.9,86.9,1
2002-01-03,MURDOCH,premium_95,85.8,85.8,85.8,85.8,1
2002-01-04,MURDOCH,premium_95,82.5,82.5,82.5,82.5,1
2002-01-05,MURDOCH,premium_95,81.9,81.9,81.9,81.9,1
2002-01-06,MURDOCH,premium_95,81.9,81.9,81.9,81.9,1
2002-01-07,MURDOCH,premium_95,81.5,81.5,81.5,81.5,1
2002-01-08,MURDOCH,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,MURDOCH,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,MURDOCH,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,MURDOCH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-12,MURDOCH,premium_95,88.9,88.9,88.9,88.9,1
2002-01-13,MURDOCH,premium_95,87.9,87.9,87.9,87.9,1
2002-01-14,MURDOCH,premium_95,85.9,85.9,85.9,85.9,1
2002-01-15,MURDOCH,premium_95,83.5,83.5,83.5,83.5,1
2002-01-16,MURDOCH,premium_95,81.7,81.7,81.7,81.7,1
2002-01-17,MURDOCH,premium_95,91.9,91.9,91.9,91.9,1
2002-01-18,MURDOCH,premium_95,87.9,87.9,87.9,87.9,1
2002-01-19,MURDOCH,premium_95,86.9,86.9,86.9,86.9,1
2002-01-20,MURDOCH,premium_95,86.9,86.9,86.9,86.9,1
2002-01-21,MURDOCH,premium_95,86.1,86.1,86.1,86.1,1
2002-01-22,MURDOCH,premium_95,83.9,83.9,83.9,83.9,1
2002-01-23,MURDOCH,premium_95,82.5,82.5,82.5,82.5,1
2002-01-24,MURDOCH,premium_95,91.9,91.9,91.9,91.9,1
2002-01-25,MURDOCH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,MURDOCH,premium_95,87.9,87.9,87.9,87.9,1
2002-01-27,MURDOCH,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,MURDOCH,premium_95,84.9,84.9,84.9,84.9,1
2002-01-29,MURDOCH,premium_95,83.9,83.9,83.9,83.9,1
