date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-02,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-03,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-04,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-05,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-06,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-07,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-08,MYAREE,diesel,86.9,88.6,89.9,86.9,3
2002-01-09,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-10,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-11,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-12,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-13,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-14,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-15,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-16,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-17,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-18,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-19,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-20,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-21,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-22,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-23,MYAREE,diesel,86.9,87.9,89.9,86.9,3
2002-01-24,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-25,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-26,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-27,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-28,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-29,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-30,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-01-31,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-02-01,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-02-02,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-02-03,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-02-04,MYAREE,diesel,86.9,87.6,88.9,86.9,3
2002-02-05,MYAREE,diesel,83.9,86.6,88.9,83.9,3
