date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,MYAREE,lpg,41.9,41.9,41.9,41.9,3
2002-01-02,MYAREE,lpg,41.9,41.9,41.9,41.9,3
2002-01-03,MYAREE,lpg,41.9,41.9,41.9,41.9,3
2002-01-04,MYAREE,lpg,40.9,41.6,41.9,40.9,3
2002-01-05,MYAREE,lpg,40.9,41.2,41.9,40.9,3
2002-01-06,MYAREE,lpg,40.9,41.2,41.9,40.9,3
2002-01-07,MYAREE,lpg,40.9,41.2,41.9,40.9,3
2002-01-08,MYAREE,lpg,40.9,40.9,40.9,40.9,3
2002-01-09,MYAREE,lpg,40.9,43.2,47.9,40.9,3
2002-01-10,MYAREE,lpg,46.9,47.6,47.9,46.9,3
2002-01-11,MYAREE,lpg,46.9,47.6,47.9,46.9,3
2002-01-12,MYAREE,lpg,46.9,47.6,47.9,46.9,3
2002-01-13,MYAREE,lpg,46.9,47.6,47.9,46.9,3
2002-01-14,MYAREE,lpg,46.9,47.6,47.9,46.9,3
2002-01-15,MYAREE,lpg,46.5,47.1,47.9,46.5,3
2002-01-16,MYAREE,lpg,46.5,46.5,46.5,46.5,3
2002-01-17,MYAREE,lpg,46.5,46.5,46.5,46.5,3
2002-01-18,MYAREE,lpg,45.9,46.3,46.5,45.9,3
2002-01-19,MYAREE,lpg,43.9,45.3,46.5,43.9,3
2002-01-20,MYAREE,lpg,43.7,45.2,46.5,43.7,3
2002-01-21,MYAREE,lpg,43.7,45.2,46.5,43.7,3
2002-01-22,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-23,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-24,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-25,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-26,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-27,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-28,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-29,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-30,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-01-31,MYAREE,lpg,43.5,43.6,43.7,43.5,3
2002-02-01,MYAREE,lpg,43.5,44.4,45.9,43.5,3
2002-02-02,MYAREE,lpg,43.5,44.4,45.9,43.5,3
2002-02-03,MYAREE,lpg,43.5,44.4,45.9,43.5,3
2002-02-04,MYAREE,lpg,43.7,45.2,45.9,43.7,3
2002-02-05,MYAREE,lpg,45.9,45.9,45.9,45.9,3
2002-02-06,MYAREE,lpg,45.9,45.9,45.9,45.9,3
2002-02-07,MYAREE,lpg,45.9,45.9,45.9,45.9,3
