date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,NARROGIN,premium_95,93.0,93.1,93.2,93.0,2
2002-01-02,NARROGIN,premium_95,93.0,93.1,93.2,93.0,2
2002-01-03,NARROGIN,premium_95,93.0,93.1,93.2,93.0,2
2002-01-04,NARROGIN,premium_95,93.0,93.1,93.2,93.0,2
2002-01-05,NARROGIN,premium_95,93.0,93.1,93.2,93.0,2
2002-01-06,NARROGIN,premium_95,93.2,93.6,94.0,93.2,2
2002-01-07,NARROGIN,premium_95,93.2,93.6,94.0,93.2,2
2002-01-08,NARROGIN,premium_95,93.2,93.6,94.0,93.2,2
2002-01-09,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-10,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-11,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-12,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-13,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-14,NARROGIN,premium_95,93.8,93.9,94.0,93.8,2
2002-01-15,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-16,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-17,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-18,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-19,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-20,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-21,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-22,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-23,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-24,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-25,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-26,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-27,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-28,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-29,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-30,NARROGIN,premium_95,91.8,92.9,94.0,91.8,2
2002-01-31,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
2002-02-01,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
2002-02-02,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
2002-02-03,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
2002-02-04,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
2002-02-05,NARROGIN,premium_95,92.9,93.5,94.0,92.9,2
