date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,NAVAL BASE,premium_95,86.9,86.9,86.9,86.9,1
2002-01-02,NAVAL BASE,premium_95,84.9,84.9,84.9,84.9,1
2002-01-03,NAVAL BASE,premium_95,84.9,84.9,84.9,84.9,1
2002-01-04,NAVAL BASE,premium_95,84.9,84.9,84.9,84.9,1
2002-01-05,NAVAL BASE,premium_95,81.3,81.3,81.3,81.3,1
2002-01-06,NAVAL BASE,premium_95,81.3,81.3,81.3,81.3,1
2002-01-07,NAVAL BASE,premium_95,81.6,81.6,81.6,81.6,1
2002-01-08,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,NAVAL BASE,premium_95,91.8,91.8,91.8,91.8,1
2002-01-10,NAVAL BASE,premium_95,89.5,89.5,89.5,89.5,1
2002-01-11,NAVAL BASE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-12,NAVAL BASE,premium_95,87.9,87.9,87.9,87.9,1
2002-01-13,NAVAL BASE,premium_95,86.9,86.9,86.9,86.9,1
2002-01-14,NAVAL BASE,premium_95,86.9,86.9,86.9,86.9,1
2002-01-15,NAVAL BASE,premium_95,84.9,84.9,84.9,84.9,1
2002-01-16,NAVAL BASE,premium_95,83.9,83.9,83.9,83.9,1
2002-01-17,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-18,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-19,NAVAL BASE,premium_95,85.9,85.9,85.9,85.9,1
2002-01-20,NAVAL BASE,premium_95,85.9,85.9,85.9,85.9,1
2002-01-21,NAVAL BASE,premium_95,85.5,85.5,85.5,85.5,1
2002-01-22,NAVAL BASE,premium_95,83.9,83.9,83.9,83.9,1
2002-01-23,NAVAL BASE,premium_95,82.5,82.5,82.5,82.5,1
2002-01-24,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-25,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-26,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-27,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-28,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-29,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-30,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-01-31,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-02-01,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-02-02,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-02-03,NAVAL BASE,premium_95,92.9,92.9,92.9,92.9,1
2002-02-04,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2002-02-05,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2002-02-06,NAVAL BASE,premium_95,95.9,95.9,95.9,95.9,1
2002-02-07,NAVAL BASE,premium_95,95.9,95.9,95.9,95.9,1
2002-02-08,NAVAL BASE,premium_95,95.9,95.9,95.9,95.9,1
2002-02-09,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2002-02-10,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2002-02-11,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2002-02-12,NAVAL BASE,premium_95,96.9,96.9,96.9,96.9,1
2002-02-13,NAVAL BASE,premium_95,96.9,96.9,96.9,96.9,1
2002-02-14,NAVAL BASE,premium_95,96.9,96.9,96.9,96.9,1
2002-02-15,NAVAL BASE,premium_95,96.9,96.9,96.9,96.9,1
2002-02-16,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-17,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-18,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-19,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-20,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-21,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-22,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-23,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-24,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-25,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-26,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-27,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2002-02-28,NAVAL BASE,premium_95,99.9,99.9,99.9,99.9,1
2003-01-01,NAVAL BASE,premium_95,98.9,98.9,98.9,98.9,1
2003-01-02,NAVAL BASE,premium_95,95.9,95.9,95.9,95.9,1
2003-01-03,NAVAL BASE,premium_95,94.9,94.9,94.9,94.9,1
2003-01-04,NAVAL BASE,premium_95,93.9,93.9,93.9,93.9,1
2003-01-05,NAVAL BASE,premium_95,93.9,93.9,93.9,93.9,1
2003-01-06,NAVAL BASE,premium_95,93.9,93.9,93.9,93.9,1
