date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-03,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-04,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-05,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-06,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-07,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-08,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-09,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-10,NEERABUP,diesel,85.9,85.9,85.9,85.9,1
2002-01-11,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-12,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-13,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-14,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-15,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-16,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-17,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-18,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-19,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-20,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-21,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-22,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-23,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-24,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-25,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-26,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-27,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-28,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-29,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-30,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-31,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-02-01,NEERABUP,diesel,84.9,84.9,84.9,84.9,1
2002-02-02,NEERABUP,diesel,83.9,83.9,83.9,83.9,1
2002-02-03,NEERABUP,diesel,83.9,83.9,83.9,83.9,1
2002-02-04,NEERABUP,diesel,83.9,83.9,83.9,83.9,1
2002-02-05,NEERABUP,diesel,83.9,83.9,83.9,83.9,1
2002-02-06,NEERABUP,diesel,83.9,83.9,83.9,83.9,1
2002-02-07,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,NEERABUP,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-02,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-03,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-04,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-05,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-06,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-07,NEERABUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-08,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
2003-01-09,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
2003-01-10,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
2003-01-11,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
2003-01-12,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
2003-01-13,NEERABUP,diesel,97.9,97.9,97.9,97.9,1
