date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,NEERABUP,premium_95,95.9,96.2,96.5,95.9,2
2004-01-02,NEERABUP,premium_95,94.5,94.5,94.5,94.5,2
2004-01-03,NEERABUP,premium_95,93.6,93.7,93.7,93.6,2
2004-01-04,NEERABUP,premium_95,92.5,92.6,92.7,92.5,2
2004-01-05,NEERABUP,premium_95,92.4,92.5,92.5,92.4,2
2004-01-06,NEERABUP,premium_95,92.5,95.5,98.5,92.5,2
2004-01-07,NEERABUP,premium_95,95.9,96.7,97.4,95.9,2
2004-01-08,NEERABUP,premium_95,94.3,94.3,94.4,94.3,2
2004-01-09,NEERABUP,premium_95,93.4,93.4,93.4,93.4,2
2004-01-10,NEERABUP,premium_95,92.8,93.1,93.4,92.8,2
2004-01-11,NEERABUP,premium_95,93.2,93.3,93.4,93.2,2
2004-01-12,NEERABUP,premium_95,93.2,93.2,93.2,93.2,2
2004-01-13,NEERABUP,premium_95,96.5,97.2,97.9,96.5,2
2004-01-14,NEERABUP,premium_95,96.2,97.1,97.9,96.2,2
2004-01-15,NEERABUP,premium_95,96.5,97.2,97.9,96.5,2
2004-01-16,NEERABUP,premium_95,96.7,97.3,97.9,96.7,2
2004-01-17,NEERABUP,premium_95,96.5,96.7,96.9,96.5,2
2004-01-18,NEERABUP,premium_95,96.4,96.5,96.5,96.4,2
2004-01-19,NEERABUP,premium_95,96.4,96.4,96.4,96.4,2
2004-01-20,NEERABUP,premium_95,100.5,100.7,100.9,100.5,2
2004-01-21,NEERABUP,premium_95,99.2,99.5,99.8,99.2,2
2004-01-22,NEERABUP,premium_95,98.5,98.7,98.9,98.5,2
2004-01-23,NEERABUP,premium_95,97.2,97.5,97.8,97.2,2
2004-01-24,NEERABUP,premium_95,96.4,97.1,97.8,96.4,2
2004-01-25,NEERABUP,premium_95,95.7,96.1,96.4,95.7,2
2004-01-26,NEERABUP,premium_95,95.3,95.3,95.4,95.3,2
2004-01-27,NEERABUP,premium_95,94.5,94.6,94.7,94.5,2
2004-01-28,NEERABUP,premium_95,94.3,94.3,94.3,94.3,2
2004-01-29,NEERABUP,premium_95,94.2,94.2,94.3,94.2,2
2004-01-30,NEERABUP,premium_95,99.5,99.7,99.9,99.5,2
2004-01-31,NEERABUP,premium_95,98.3,98.3,98.3,98.3,2
2004-02-01,NEERABUP,premium_95,97.7,97.8,97.9,97.7,2
2004-02-02,NEERABUP,premium_95,96.2,96.6,96.9,96.2,2
2004-02-03,NEERABUP,premium_95,93.9,94.8,95.8,93.9,2
2004-02-04,NEERABUP,premium_95,92.7,94.2,95.8,92.7,2
2004-02-05,NEERABUP,premium_95,92.7,94.2,95.8,92.7,2
2004-02-06,NEERABUP,premium_95,92.4,94.1,95.8,92.4,2
2004-02-07,NEERABUP,premium_95,91.9,93.8,95.8,91.9,2
2004-02-08,NEERABUP,premium_95,91.9,93.8,95.8,91.9,2
2004-02-09,NEERABUP,premium_95,94.5,95.2,95.8,94.5,2
2004-02-10,NEERABUP,premium_95,94.5,96.9,99.3,94.5,2
2004-02-11,NEERABUP,premium_95,96.5,96.7,96.9,96.5,2
2004-02-12,NEERABUP,premium_95,93.9,94.4,94.9,93.9,2
2004-02-13,NEERABUP,premium_95,92.5,93.0,93.5,92.5,2
2004-02-14,NEERABUP,premium_95,90.7,91.7,92.7,90.7,2
2004-02-15,NEERABUP,premium_95,90.9,91.2,91.5,90.9,2
2004-02-16,NEERABUP,premium_95,90.3,90.9,91.5,90.3,2
2004-02-17,NEERABUP,premium_95,90.5,92.7,94.9,90.5,2
2004-02-18,NEERABUP,premium_95,94.7,94.8,94.9,94.7,2
2004-02-19,NEERABUP,premium_95,92.7,93.1,93.5,92.7,2
2004-02-20,NEERABUP,premium_95,90.5,91.4,92.3,90.5,2
2004-02-21,NEERABUP,premium_95,89.9,90.2,90.5,89.9,2
2004-02-22,NEERABUP,premium_95,88.9,89.4,89.9,88.9,2
2004-02-23,NEERABUP,premium_95,88.9,89.2,89.5,88.9,2
2004-02-24,NEERABUP,premium_95,89.5,92.2,94.9,89.5,2
2004-02-25,NEERABUP,premium_95,94.9,96.6,98.3,94.9,2
2004-02-26,NEERABUP,premium_95,94.9,95.2,95.5,94.9,2
2004-02-27,NEERABUP,premium_95,91.9,93.4,94.9,91.9,2
2004-02-28,NEERABUP,premium_95,91.7,93.3,94.9,91.7,2
2004-02-29,NEERABUP,premium_95,91.7,92.1,92.5,91.7,2
2005-01-01,NEERABUP,premium_95,96.9,97.2,97.5,96.9,2
2005-01-02,NEERABUP,premium_95,96.3,96.8,97.3,96.3,2
2005-01-03,NEERABUP,premium_95,96.1,96.7,97.3,96.1,2
2005-01-04,NEERABUP,premium_95,95.8,96.5,97.3,95.8,2
2005-01-05,NEERABUP,premium_95,96.2,96.8,97.3,96.2,2
2005-01-06,NEERABUP,premium_95,96.1,98.0,99.9,96.1,2
2005-01-07,NEERABUP,premium_95,96.7,97.6,98.4,96.7,2
2005-01-08,NEERABUP,premium_95,96.2,96.8,97.5,96.2,2
2005-01-09,NEERABUP,premium_95,96.2,96.5,96.7,96.2,2
2005-01-10,NEERABUP,premium_95,95.6,96.0,96.5,95.6,2
2005-01-11,NEERABUP,premium_95,94.9,95.7,96.5,94.9,2
2005-01-12,NEERABUP,premium_95,94.9,95.7,96.5,94.9,2
2005-01-13,NEERABUP,premium_95,96.5,98.2,99.9,96.5,2
2005-01-14,NEERABUP,premium_95,96.9,98.4,99.9,96.9,2
2005-01-15,NEERABUP,premium_95,96.9,97.2,97.5,96.9,2
2005-01-16,NEERABUP,premium_95,96.5,97.0,97.5,96.5,2
2005-01-17,NEERABUP,premium_95,96.5,97.0,97.5,96.5,2
2005-01-18,NEERABUP,premium_95,97.5,98.7,99.9,97.5,2
2005-01-19,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-20,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-21,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-22,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-23,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-24,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-25,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-26,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-27,NEERABUP,premium_95,99.9,100.4,100.9,99.9,2
2005-01-28,NEERABUP,premium_95,99.9,101.9,103.9,99.9,2
2005-01-29,NEERABUP,premium_95,102.5,103.2,103.9,102.5,2
2005-01-30,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-01-31,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-01,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-02,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-03,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-04,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-05,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-06,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-07,NEERABUP,premium_95,101.9,102.7,103.5,101.9,2
2005-02-08,NEERABUP,premium_95,103.5,103.5,103.5,103.5,2
2005-02-09,NEERABUP,premium_95,103.5,104.0,104.5,103.5,2
2005-02-10,NEERABUP,premium_95,103.5,104.0,104.5,103.5,2
2005-02-11,NEERABUP,premium_95,102.9,103.7,104.5,102.9,2
2005-02-12,NEERABUP,premium_95,102.9,103.2,103.5,102.9,2
2005-02-13,NEERABUP,premium_95,101.9,102.7,103.5,101.9,2
2005-02-14,NEERABUP,premium_95,101.9,102.2,102.5,101.9,2
2005-02-15,NEERABUP,premium_95,101.5,102.0,102.5,101.5,2
2005-02-16,NEERABUP,premium_95,101.5,102.0,102.5,101.5,2
2005-02-17,NEERABUP,premium_95,102.5,103.2,103.9,102.5,2
2005-02-18,NEERABUP,premium_95,102.9,103.8,104.6,102.9,2
2005-02-19,NEERABUP,premium_95,102.9,103.2,103.5,102.9,2
2005-02-20,NEERABUP,premium_95,102.5,103.0,103.5,102.5,2
2005-02-21,NEERABUP,premium_95,101.9,102.7,103.5,101.9,2
2005-02-22,NEERABUP,premium_95,103.5,103.5,103.5,103.5,2
2005-02-23,NEERABUP,premium_95,103.9,104.4,104.9,103.9,2
2005-02-24,NEERABUP,premium_95,104.9,104.9,104.9,104.9,2
2005-02-25,NEERABUP,premium_95,104.9,105.4,105.9,104.9,2
2005-02-26,NEERABUP,premium_95,104.9,105.4,105.9,104.9,2
