date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,NEWMAN,premium_98,179.9,179.9,179.9,179.9,2
2015-01-02,NEWMAN,premium_98,176.9,178.4,179.9,176.9,2
2015-01-03,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-04,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-05,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-06,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-07,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-08,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-09,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-10,NEWMAN,premium_98,174.9,175.9,176.9,174.9,2
2015-01-11,NEWMAN,premium_98,171.9,173.4,174.9,171.9,2
2015-01-12,NEWMAN,premium_98,171.9,173.4,174.9,171.9,2
2015-01-13,NEWMAN,premium_98,171.9,173.4,174.9,171.9,2
2015-01-14,NEWMAN,premium_98,169.9,170.9,171.9,169.9,2
2015-01-15,NEWMAN,premium_98,169.9,169.9,169.9,169.9,2
2015-01-16,NEWMAN,premium_98,169.9,169.9,169.9,169.9,2
2015-01-17,NEWMAN,premium_98,164.9,167.4,169.9,164.9,2
2015-01-18,NEWMAN,premium_98,164.9,167.4,169.9,164.9,2
2015-01-19,NEWMAN,premium_98,164.9,167.4,169.9,164.9,2
2015-01-20,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-21,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-22,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-23,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-24,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-25,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-26,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-27,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-28,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-29,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-30,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-01-31,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-01,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-02,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-03,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-04,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-05,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-06,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-07,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-08,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-09,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-10,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-11,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-12,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-13,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-14,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-15,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-16,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-17,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-18,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-19,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-20,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
2015-02-21,NEWMAN,premium_98,162.9,163.9,164.9,162.9,2
