date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2017-01-01,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-02,NOLLAMARA,premium_98,143.9,143.9,143.9,143.9,1
2017-01-03,NOLLAMARA,premium_98,143.9,143.9,143.9,143.9,1
2017-01-04,NOLLAMARA,premium_98,152.9,152.9,152.9,152.9,1
2017-01-05,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-06,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-07,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-08,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-09,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-10,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-11,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-12,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-13,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-14,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-15,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-16,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-17,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-18,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-19,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-20,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-21,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-22,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-23,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-01-24,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-01-25,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-01-26,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-27,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-28,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-29,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-01-30,NOLLAMARA,premium_98,143.7,143.7,143.7,143.7,1
2017-01-31,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-01,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-02,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-03,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-04,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-05,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-06,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-07,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-08,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-09,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-10,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-11,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-12,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-13,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-14,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-15,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-16,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-17,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-18,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-19,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-20,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2017-02-21,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-22,NOLLAMARA,premium_98,147.7,147.7,147.7,147.7,1
2017-02-23,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-02-24,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-02-25,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-02-26,NOLLAMARA,premium_98,145.9,145.9,145.9,145.9,1
2017-02-27,NOLLAMARA,premium_98,143.7,143.7,143.7,143.7,1
2017-02-28,NOLLAMARA,premium_98,145.7,145.7,145.7,145.7,1
2018-01-01,NOLLAMARA,premium_98,150.7,150.7,150.7,150.7,1
2018-01-02,NOLLAMARA,premium_98,148.7,148.7,148.7,148.7,1
2018-01-03,NOLLAMARA,premium_98,152.7,152.7,152.7,152.7,1
2018-01-04,NOLLAMARA,premium_98,152.7,152.7,152.7,152.7,1
2018-01-05,NOLLAMARA,premium_98,152.3,152.3,152.3,152.3,1
2018-01-06,NOLLAMARA,premium_98,150.7,150.7,150.7,150.7,1
2018-01-07,NOLLAMARA,premium_98,148.7,148.7,148.7,148.7,1
2018-01-08,NOLLAMARA,premium_98,146.7,146.7,146.7,146.7,1
2018-01-09,NOLLAMARA,premium_98,152.7,152.7,152.7,152.7,1
2018-01-10,NOLLAMARA,premium_98,152.7,152.7,152.7,152.7,1
2018-01-11,NOLLAMARA,premium_98,156.3,156.3,156.3,156.3,1
2018-01-12,NOLLAMARA,premium_98,152.5,152.5,152.5,152.5,1
