date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2019-01-01,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-02,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-03,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-04,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-05,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-06,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-07,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-08,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-09,NORTH BANNISTER,diesel,139.9,139.9,139.9,139.9,1
2019-01-10,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-11,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-12,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-13,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-14,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-15,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-16,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-17,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-18,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-19,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-20,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-21,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-22,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-23,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-24,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-25,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-26,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-27,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-28,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-29,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-30,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-01-31,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-01,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-02,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-03,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-04,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-05,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-06,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-07,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-08,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-09,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-10,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-11,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-12,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-13,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-14,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-15,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-16,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-17,NORTH BANNISTER,diesel,135.9,135.9,135.9,135.9,1
2019-02-18,NORTH BANNISTER,diesel,141.9,141.9,141.9,141.9,1
2019-02-19,NORTH BANNISTER,diesel,141.9,141.9,141.9,141.9,1
2019-02-20,NORTH BANNISTER,diesel,141.9,141.9,141.9,141.9,1
2019-02-21,NORTH BANNISTER,diesel,141.9,141.9,141.9,141.9,1
2019-02-22,NORTH BANNISTER,diesel,141.9,141.9,141.9,141.9,1
