date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-02,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-03,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-04,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-05,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-06,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-07,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-08,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-09,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-10,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-11,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-12,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-13,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-14,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-15,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-16,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-17,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-18,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-19,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-20,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-21,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-22,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-23,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-24,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-25,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-26,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-27,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-28,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-29,NORTH DANDALUP,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-30,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-01-31,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-01,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-02,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-03,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-04,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-05,NORTH DANDALUP,ulp_91,80.9,84.2,87.9,80.9,4
2002-02-06,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-07,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-08,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-09,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-10,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-11,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-12,NORTH DANDALUP,ulp_91,78.5,83.0,87.9,78.5,4
2002-02-13,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-14,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-15,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-16,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-17,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-18,NORTH DANDALUP,ulp_91,83.5,85.5,87.9,83.5,4
2002-02-19,NORTH DANDALUP,ulp_91,83.5,86.0,87.9,83.5,4
2002-02-20,NORTH DANDALUP,ulp_91,83.5,86.0,87.9,83.5,4
2002-02-21,NORTH DANDALUP,ulp_91,85.9,87.2,88.9,85.9,4
2002-02-22,NORTH DANDALUP,ulp_91,85.9,87.2,88.9,85.9,4
2002-02-23,NORTH DANDALUP,ulp_91,85.9,87.2,88.9,85.9,4
2002-02-24,NORTH DANDALUP,ulp_91,85.9,87.2,88.9,85.9,4
2002-02-25,NORTH DANDALUP,ulp_91,85.9,87.2,88.9,85.9,4
2002-02-26,NORTH DANDALUP,ulp_91,83.9,86.2,87.9,83.9,4
2002-02-27,NORTH DANDALUP,ulp_91,83.9,86.2,87.9,83.9,4
2002-02-28,NORTH DANDALUP,ulp_91,83.9,86.2,87.9,83.9,4
2003-01-01,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
2003-01-02,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
2003-01-03,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
2003-01-04,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
2003-01-05,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
2003-01-06,NORTH DANDALUP,ulp_91,95.7,97.5,98.5,95.7,4
