date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2026-01-01,OAKFORD,premium_98,170.3,172.4,174.5,170.3,2
2026-01-02,OAKFORD,premium_98,170.3,171.2,172.0,170.3,2
2026-01-03,OAKFORD,premium_98,170.3,171.2,172.0,170.3,2
2026-01-04,OAKFORD,premium_98,170.3,171.2,172.0,170.3,2
2026-01-05,OAKFORD,premium_98,170.3,171.2,172.0,170.3,2
2026-01-06,OAKFORD,premium_98,170.3,171.2,172.0,170.3,2
2026-01-07,OAKFORD,premium_98,169.9,170.0,170.1,169.9,2
2026-01-08,OAKFORD,premium_98,169.0,169.6,170.1,169.0,2
2026-01-09,OAKFORD,premium_98,168.1,168.5,168.9,168.1,2
2026-01-10,OAKFORD,premium_98,170.3,171.0,171.7,170.3,2
2026-01-11,OAKFORD,premium_98,170.3,170.7,171.0,170.3,2
2026-01-12,OAKFORD,premium_98,170.3,170.7,171.0,170.3,2
2026-01-13,OAKFORD,premium_98,168.9,169.1,169.3,168.9,2
2026-01-14,OAKFORD,premium_98,168.5,168.9,169.3,168.5,2
2026-01-15,OAKFORD,premium_98,169.0,169.2,169.3,169.0,2
2026-01-16,OAKFORD,premium_98,169.0,169.1,169.1,169.0,2
2026-01-17,OAKFORD,premium_98,169.1,170.1,171.2,169.1,2
2026-01-18,OAKFORD,premium_98,169.1,170.1,171.2,169.1,2
2026-01-19,OAKFORD,premium_98,168.0,168.6,169.1,168.0,2
2026-01-20,OAKFORD,premium_98,167.0,167.1,167.1,167.0,2
2026-01-21,OAKFORD,premium_98,166.0,166.6,167.1,166.0,2
2026-01-22,OAKFORD,premium_98,166.0,167.7,169.3,166.0,2
2026-01-23,OAKFORD,premium_98,168.3,168.6,168.9,168.3,2
2026-01-24,OAKFORD,premium_98,167.1,169.7,172.3,167.1,2
2026-01-25,OAKFORD,premium_98,172.3,174.2,176.0,172.3,2
2026-01-26,OAKFORD,premium_98,172.3,173.8,175.2,172.3,2
2026-01-27,OAKFORD,premium_98,169.1,171.3,173.5,169.1,2
2026-01-28,OAKFORD,premium_98,169.1,170.0,170.9,169.1,2
2026-01-29,OAKFORD,premium_98,169.1,170.0,170.9,169.1,2
2026-01-30,OAKFORD,premium_98,169.1,170.0,170.9,169.1,2
2026-01-31,OAKFORD,premium_98,170.3,171.4,172.5,170.3,2
