date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,OCEAN REEF,premium_95,87.8,87.8,87.8,87.8,1
2002-01-02,OCEAN REEF,premium_95,86.8,86.8,86.8,86.8,1
2002-01-03,OCEAN REEF,premium_95,84.8,84.8,84.8,84.8,1
2002-01-04,OCEAN REEF,premium_95,84.5,84.5,84.5,84.5,1
2002-01-05,OCEAN REEF,premium_95,82.7,82.7,82.7,82.7,1
2002-01-06,OCEAN REEF,premium_95,82.7,82.7,82.7,82.7,1
2002-01-07,OCEAN REEF,premium_95,82.5,82.5,82.5,82.5,1
2002-01-08,OCEAN REEF,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,OCEAN REEF,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,OCEAN REEF,premium_95,89.9,89.9,89.9,89.9,1
2002-01-11,OCEAN REEF,premium_95,89.5,89.5,89.5,89.5,1
2002-01-12,OCEAN REEF,premium_95,88.3,88.3,88.3,88.3,1
2002-01-13,OCEAN REEF,premium_95,87.3,87.3,87.3,87.3,1
2002-01-14,OCEAN REEF,premium_95,85.9,85.9,85.9,85.9,1
2002-01-15,OCEAN REEF,premium_95,84.5,84.5,84.5,84.5,1
2002-01-16,OCEAN REEF,premium_95,82.9,82.9,82.9,82.9,1
2002-01-17,OCEAN REEF,premium_95,90.5,90.5,90.5,90.5,1
2002-01-18,OCEAN REEF,premium_95,88.5,88.5,88.5,88.5,1
2002-01-19,OCEAN REEF,premium_95,87.2,87.2,87.2,87.2,1
2002-01-20,OCEAN REEF,premium_95,87.2,87.2,87.2,87.2,1
2002-01-21,OCEAN REEF,premium_95,85.9,85.9,85.9,85.9,1
2002-01-22,OCEAN REEF,premium_95,83.9,83.9,83.9,83.9,1
2002-01-23,OCEAN REEF,premium_95,82.5,82.5,82.5,82.5,1
2002-01-24,OCEAN REEF,premium_95,90.9,90.9,90.9,90.9,1
2002-01-25,OCEAN REEF,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,OCEAN REEF,premium_95,87.9,87.9,87.9,87.9,1
2002-01-27,OCEAN REEF,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,OCEAN REEF,premium_95,84.9,84.9,84.9,84.9,1
2002-01-29,OCEAN REEF,premium_95,83.9,83.9,83.9,83.9,1
2002-01-30,OCEAN REEF,premium_95,82.9,82.9,82.9,82.9,1
2002-01-31,OCEAN REEF,premium_95,81.6,81.6,81.6,81.6,1
2002-02-01,OCEAN REEF,premium_95,91.9,91.9,91.9,91.9,1
2002-02-02,OCEAN REEF,premium_95,91.9,91.9,91.9,91.9,1
2002-02-03,OCEAN REEF,premium_95,87.5,87.5,87.5,87.5,1
