date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,OCEAN REEF,ulp_91,82.8,85.2,87.3,82.8,6
2002-01-02,OCEAN REEF,ulp_91,81.5,83.8,86.5,81.5,6
2002-01-03,OCEAN REEF,ulp_91,79.8,81.8,83.5,79.8,6
2002-01-04,OCEAN REEF,ulp_91,79.5,81.0,82.8,79.5,6
2002-01-05,OCEAN REEF,ulp_91,77.7,79.8,81.7,77.7,6
2002-01-06,OCEAN REEF,ulp_91,77.7,79.6,81.5,77.7,6
2002-01-07,OCEAN REEF,ulp_91,76.7,78.9,80.9,76.7,6
2002-01-08,OCEAN REEF,ulp_91,76.3,81.8,91.2,76.3,6
2002-01-09,OCEAN REEF,ulp_91,86.9,88.8,90.7,86.9,6
2002-01-10,OCEAN REEF,ulp_91,84.9,87.5,89.5,84.9,6
2002-01-11,OCEAN REEF,ulp_91,84.5,86.5,88.5,84.5,6
2002-01-12,OCEAN REEF,ulp_91,83.3,85.1,86.9,83.3,6
2002-01-13,OCEAN REEF,ulp_91,82.3,84.1,85.7,82.3,6
2002-01-14,OCEAN REEF,ulp_91,80.9,83.0,84.9,80.9,6
2002-01-15,OCEAN REEF,ulp_91,79.5,81.4,83.5,79.5,6
2002-01-16,OCEAN REEF,ulp_91,77.9,82.3,88.9,77.9,6
2002-01-17,OCEAN REEF,ulp_91,83.5,86.0,88.8,83.5,6
2002-01-18,OCEAN REEF,ulp_91,82.9,85.2,87.5,82.9,6
2002-01-19,OCEAN REEF,ulp_91,81.7,83.6,85.5,81.7,6
2002-01-20,OCEAN REEF,ulp_91,80.9,83.1,85.5,80.9,6
2002-01-21,OCEAN REEF,ulp_91,80.3,82.1,84.2,80.3,6
2002-01-22,OCEAN REEF,ulp_91,78.9,81.0,82.9,78.9,6
2002-01-23,OCEAN REEF,ulp_91,77.5,79.7,81.7,77.5,6
2002-01-24,OCEAN REEF,ulp_91,76.9,81.6,89.2,76.9,6
2002-01-25,OCEAN REEF,ulp_91,83.9,86.3,88.5,83.9,6
2002-01-26,OCEAN REEF,ulp_91,82.7,84.5,86.3,82.7,6
2002-01-27,OCEAN REEF,ulp_91,81.3,83.2,84.9,81.3,6
2002-01-28,OCEAN REEF,ulp_91,79.9,81.8,83.5,79.9,6
2002-01-29,OCEAN REEF,ulp_91,78.9,80.9,82.9,78.9,6
2002-01-30,OCEAN REEF,ulp_91,77.9,79.8,81.5,77.9,6
2002-01-31,OCEAN REEF,ulp_91,76.6,80.4,85.5,76.6,6
2002-02-01,OCEAN REEF,ulp_91,81.5,85.2,90.2,81.5,6
2002-02-02,OCEAN REEF,ulp_91,80.9,84.6,90.2,80.9,6
2002-02-03,OCEAN REEF,ulp_91,80.5,82.8,85.8,80.5,6
2002-02-04,OCEAN REEF,ulp_91,79.5,81.3,82.9,79.5,6
2002-02-05,OCEAN REEF,ulp_91,77.5,80.3,82.5,77.5,6
2002-02-06,OCEAN REEF,ulp_91,77.2,79.3,81.5,77.2,6
2002-02-07,OCEAN REEF,ulp_91,76.5,78.5,80.7,76.5,6
2002-02-08,OCEAN REEF,ulp_91,76.3,78.8,81.9,76.3,6
2002-02-09,OCEAN REEF,ulp_91,76.2,78.7,81.9,76.2,6
2002-02-10,OCEAN REEF,ulp_91,76.2,82.9,91.9,76.2,6
2002-02-11,OCEAN REEF,ulp_91,88.5,90.2,92.2,88.5,6
2002-02-12,OCEAN REEF,ulp_91,86.7,88.9,90.7,86.7,6
2002-02-13,OCEAN REEF,ulp_91,85.5,87.5,89.3,85.5,6
2002-02-14,OCEAN REEF,ulp_91,83.7,85.6,87.5,83.7,6
2002-02-15,OCEAN REEF,ulp_91,82.5,84.3,86.2,82.5,6
2002-02-16,OCEAN REEF,ulp_91,80.7,82.9,85.0,80.7,6
2002-02-17,OCEAN REEF,ulp_91,79.9,81.9,83.7,79.9,6
2002-02-18,OCEAN REEF,ulp_91,78.7,81.2,83.2,78.7,6
2002-02-19,OCEAN REEF,ulp_91,78.5,85.3,95.2,78.5,6
2002-02-20,OCEAN REEF,ulp_91,88.9,92.0,94.7,88.9,6
2002-02-21,OCEAN REEF,ulp_91,87.5,89.8,91.9,87.5,6
2002-02-22,OCEAN REEF,ulp_91,86.3,88.2,90.2,86.3,6
