date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-02,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-03,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-04,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-05,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-06,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-07,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-08,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-09,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-10,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-11,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-12,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-13,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-14,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-15,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-16,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-17,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-18,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-19,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-20,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-21,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-22,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-23,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-24,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-25,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-26,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-27,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-28,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-29,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-30,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-01-31,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-02-01,ORELIA,diesel,86.9,86.9,86.9,86.9,1
2002-02-02,ORELIA,diesel,85.9,85.9,85.9,85.9,1
2002-02-03,ORELIA,diesel,85.9,85.9,85.9,85.9,1
2002-02-04,ORELIA,diesel,85.9,85.9,85.9,85.9,1
2002-02-05,ORELIA,diesel,85.9,85.9,85.9,85.9,1
2002-02-06,ORELIA,diesel,85.9,85.9,85.9,85.9,1
2002-02-07,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-08,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-09,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-10,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-11,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-12,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-13,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-14,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-15,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-16,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-17,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-18,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-19,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-20,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-21,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-22,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-23,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-24,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-25,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-26,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-27,ORELIA,diesel,83.9,83.9,83.9,83.9,1
2002-02-28,ORELIA,diesel,83.9,83.9,83.9,83.9,1
