date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,OSBORNE PARK,ulp_91,82.7,84.6,86.5,82.7,11
2002-01-02,OSBORNE PARK,ulp_91,81.6,83.8,86.5,81.6,11
2002-01-03,OSBORNE PARK,ulp_91,79.9,82.2,84.5,79.9,11
2002-01-04,OSBORNE PARK,ulp_91,78.8,80.9,83.0,78.8,11
2002-01-05,OSBORNE PARK,ulp_91,77.6,80.1,82.9,77.6,11
2002-01-06,OSBORNE PARK,ulp_91,77.6,79.9,82.9,77.6,11
2002-01-07,OSBORNE PARK,ulp_91,77.2,79.6,82.9,77.2,11
2002-01-08,OSBORNE PARK,ulp_91,76.3,80.8,91.2,76.3,11
2002-01-09,OSBORNE PARK,ulp_91,78.9,85.7,90.7,78.9,11
2002-01-10,OSBORNE PARK,ulp_91,85.5,87.3,89.4,85.5,11
2002-01-11,OSBORNE PARK,ulp_91,84.7,86.7,89.1,84.7,11
2002-01-12,OSBORNE PARK,ulp_91,82.7,85.3,87.9,82.7,11
2002-01-13,OSBORNE PARK,ulp_91,81.7,84.4,87.9,81.7,11
2002-01-14,OSBORNE PARK,ulp_91,80.3,82.3,84.9,80.3,11
2002-01-15,OSBORNE PARK,ulp_91,78.9,81.4,84.9,78.9,11
2002-01-16,OSBORNE PARK,ulp_91,77.7,80.4,83.5,77.7,11
2002-01-17,OSBORNE PARK,ulp_91,77.5,82.5,88.8,77.5,11
2002-01-18,OSBORNE PARK,ulp_91,82.9,85.0,87.4,82.9,11
2002-01-19,OSBORNE PARK,ulp_91,81.6,83.8,85.9,81.6,11
2002-01-20,OSBORNE PARK,ulp_91,80.7,83.1,85.9,80.7,11
2002-01-21,OSBORNE PARK,ulp_91,79.9,82.3,85.9,79.9,11
2002-01-22,OSBORNE PARK,ulp_91,77.6,80.4,82.8,77.6,11
2002-01-23,OSBORNE PARK,ulp_91,76.5,78.8,81.5,76.5,11
2002-01-24,OSBORNE PARK,ulp_91,76.3,80.2,89.1,76.3,11
2002-01-25,OSBORNE PARK,ulp_91,77.8,84.7,88.4,77.8,11
2002-01-26,OSBORNE PARK,ulp_91,82.6,84.5,86.4,82.6,11
2002-01-27,OSBORNE PARK,ulp_91,80.9,83.5,85.9,80.9,11
2002-01-28,OSBORNE PARK,ulp_91,78.9,82.2,85.9,78.9,11
2002-01-29,OSBORNE PARK,ulp_91,77.9,80.0,82.7,77.9,11
2002-01-30,OSBORNE PARK,ulp_91,76.5,79.0,81.8,76.5,11
2002-01-31,OSBORNE PARK,ulp_91,75.6,79.2,85.5,75.6,11
2002-02-01,OSBORNE PARK,ulp_91,76.9,82.7,90.2,76.9,11
2002-02-02,OSBORNE PARK,ulp_91,77.9,83.0,90.2,77.9,11
2002-02-03,OSBORNE PARK,ulp_91,77.9,81.3,85.8,77.9,11
2002-02-04,OSBORNE PARK,ulp_91,78.5,81.0,83.9,78.5,11
2002-02-05,OSBORNE PARK,ulp_91,77.3,80.0,82.9,77.3,11
2002-02-06,OSBORNE PARK,ulp_91,76.2,79.2,81.7,76.2,11
2002-02-07,OSBORNE PARK,ulp_91,75.6,78.7,81.7,75.6,11
2002-02-08,OSBORNE PARK,ulp_91,75.6,78.5,81.9,75.6,11
2002-02-09,OSBORNE PARK,ulp_91,75.6,78.7,81.9,75.6,11
2002-02-10,OSBORNE PARK,ulp_91,75.6,79.0,81.9,75.6,11
2002-02-11,OSBORNE PARK,ulp_91,75.6,84.0,93.1,75.6,11
2002-02-12,OSBORNE PARK,ulp_91,84.7,88.3,91.2,84.7,11
2002-02-13,OSBORNE PARK,ulp_91,84.5,86.9,89.2,84.5,11
2002-02-14,OSBORNE PARK,ulp_91,83.5,85.5,87.7,83.5,11
2002-02-15,OSBORNE PARK,ulp_91,82.3,84.4,86.7,82.3,11
2002-02-16,OSBORNE PARK,ulp_91,81.3,83.3,86.2,81.3,11
2002-02-17,OSBORNE PARK,ulp_91,79.9,82.7,86.2,79.9,11
2002-02-18,OSBORNE PARK,ulp_91,79.9,82.6,86.2,79.9,11
2002-02-19,OSBORNE PARK,ulp_91,80.5,84.5,95.2,80.5,11
2002-02-20,OSBORNE PARK,ulp_91,81.9,88.4,94.2,81.9,11
2002-02-21,OSBORNE PARK,ulp_91,85.5,89.1,92.2,85.5,11
2002-02-22,OSBORNE PARK,ulp_91,84.7,87.3,90.5,84.7,11
2002-02-23,OSBORNE PARK,ulp_91,83.7,85.8,88.2,83.7,11
2002-02-24,OSBORNE PARK,ulp_91,82.7,85.1,88.2,82.7,11
2002-02-25,OSBORNE PARK,ulp_91,81.5,84.1,86.7,81.5,11
2002-02-26,OSBORNE PARK,ulp_91,80.7,83.1,86.7,80.7,11
2002-02-27,OSBORNE PARK,ulp_91,79.4,82.4,86.7,79.4,11
2002-02-28,OSBORNE PARK,ulp_91,79.4,81.8,84.0,79.4,11
2003-01-01,OSBORNE PARK,ulp_91,91.7,95.9,98.4,91.7,10
2003-01-02,OSBORNE PARK,ulp_91,90.5,94.6,97.9,90.5,10
2003-01-03,OSBORNE PARK,ulp_91,90.9,93.4,95.9,90.9,10
2003-01-04,OSBORNE PARK,ulp_91,90.5,92.7,94.9,90.5,10
2003-01-05,OSBORNE PARK,ulp_91,89.9,92.8,95.9,89.9,10
2003-01-06,OSBORNE PARK,ulp_91,89.9,92.8,95.9,89.9,10
2003-01-07,OSBORNE PARK,ulp_91,89.5,92.9,95.9,89.5,10
2003-01-08,OSBORNE PARK,ulp_91,90.5,94.8,103.4,90.5,10
2003-01-09,OSBORNE PARK,ulp_91,90.9,96.9,103.9,90.9,10
2003-01-10,OSBORNE PARK,ulp_91,93.5,98.0,101.9,93.5,10
2003-01-11,OSBORNE PARK,ulp_91,94.7,97.6,100.5,94.7,10
2003-01-12,OSBORNE PARK,ulp_91,94.7,97.0,99.5,94.7,10
2003-01-13,OSBORNE PARK,ulp_91,92.8,95.7,99.5,92.8,10
2003-01-14,OSBORNE PARK,ulp_91,92.5,94.9,98.4,92.5,10
2003-01-15,OSBORNE PARK,ulp_91,91.5,94.4,98.4,91.5,10
2003-01-16,OSBORNE PARK,ulp_91,90.4,93.7,98.4,90.4,10
2003-01-17,OSBORNE PARK,ulp_91,91.4,95.8,103.9,91.4,10
2003-01-18,OSBORNE PARK,ulp_91,90.5,96.3,103.9,90.5,10
2003-01-19,OSBORNE PARK,ulp_91,91.4,98.3,103.9,91.4,10
2003-01-20,OSBORNE PARK,ulp_91,91.4,97.3,103.9,91.4,10
2003-01-21,OSBORNE PARK,ulp_91,94.6,98.1,103.9,94.6,10
2003-01-22,OSBORNE PARK,ulp_91,93.9,97.7,103.9,93.9,10
2003-01-23,OSBORNE PARK,ulp_91,92.9,97.0,101.9,92.9,10
2003-01-24,OSBORNE PARK,ulp_91,92.9,97.1,100.9,92.9,10
2003-01-25,OSBORNE PARK,ulp_91,92.5,96.2,99.9,92.5,10
2003-01-26,OSBORNE PARK,ulp_91,92.3,96.2,98.9,92.3,10
2003-01-27,OSBORNE PARK,ulp_91,92.3,96.2,98.9,92.3,10
2003-01-28,OSBORNE PARK,ulp_91,91.9,95.5,98.9,91.9,10
2003-01-29,OSBORNE PARK,ulp_91,93.5,98.2,105.9,93.5,10
2003-01-30,OSBORNE PARK,ulp_91,95.8,100.1,103.9,95.8,10
2003-01-31,OSBORNE PARK,ulp_91,96.9,99.2,102.9,96.9,10
2003-02-01,OSBORNE PARK,ulp_91,95.5,98.1,100.5,95.5,10
2003-02-02,OSBORNE PARK,ulp_91,94.3,97.3,99.9,94.3,10
2003-02-03,OSBORNE PARK,ulp_91,93.7,96.5,99.9,93.7,10
2003-02-04,OSBORNE PARK,ulp_91,93.5,96.3,99.5,93.5,10
2003-02-05,OSBORNE PARK,ulp_91,93.5,96.3,99.9,93.5,10
